embed_1,embed_2
-1.7823398,-3.2244766
1.6934271,1.5404077
-1.5018127,1.6252977
-2.2944958,-3.2790382
-2.40191,2.0884721
3.9994743,-2.497431
2.1757004,3.0808454
-1.6539316,-0.58414656
2.7898836,-0.391579
-0.4031765,-1.5932292
1.9703908,-3.7834876
-0.84464854,0.19820511
1.4404774,-1.6364825
-0.9560155,-0.8200603
2.676416,2.1159852
-0.49539983,-0.84633124
-1.7670546,3.0366452
-1.0662804,-0.34467524
4.02202,-2.954833
3.3221817,-2.7889824
-2.3681366,1.7754953
-1.7062192,1.0383307
3.3294828,-1.6506295
1.4754838,1.5978243
-1.7392936,-0.27813175
0.9334692,-1.995168
-0.0424337,1.7665414
0.89687186,0.64389944
0.76807594,2.717217
-2.0533948,2.7718282
2.4605389,2.4694235
1.8522122,1.5113562
4.1622505,-2.7936597
0.7543552,0.4471296
-3.33233,2.2144237
0.60915065,0.63265365
-2.457517,1.8343006
1.6368597,1.5829642
1.692167,1.513656
2.5147672,-0.9394834
-0.89975846,1.4228576
1.7771271,1.4592338
-1.4285624,-2.9241989
-1.9050609,-0.60722363
0.070929125,1.7613671
-1.6081953,1.4324425
-2.8625314,2.3694587
4.2913046,-3.0102146
-1.9754825,-3.3312259
-1.1509917,0.51562476
1.3901924,0.34924653
2.396243,3.3742597
-1.7232283,1.0508281
1.426408,3.3916466
1.0612342,-0.69287586
-1.4804349,1.38099
-2.6789753,-0.004107903
2.0890703,3.0701532
-1.9473423,3.0317652
-3.7302992,3.0636528
1.6397221,-3.7846448
1.6643071,-2.419937
2.0220962,-2.4278255
1.802695,-1.8365247
-0.04287658,2.7163646
3.3940353,-1.7243882
-2.293364,1.0593748
-0.118788525,2.8260398
-0.7839728,0.13904423
1.8576058,0.03493013
-2.013127,0.8574854
-3.2080698,1.8351144
3.8206189,-2.345952
3.780865,-2.8030481
3.2729626,-1.5500277
-2.2945518,1.0090348
2.245374,-2.000324
1.789573,-2.7475634
3.8655136,-2.9594433
2.6286082,-0.60012335
-1.8158576,-1.3907539
-2.2346504,-3.3911734
1.8749495,-1.9197812
0.044507317,1.5753298
-0.99011976,-0.20333241
-1.2154626,0.11543534
-2.7292464,1.4193838
-0.7601153,-0.23719649
-1.7235851,0.8413536
1.5411981,3.120212
3.7270987,-2.8055983
1.8235549,-1.4292377
2.1583822,-1.5424417
-2.2435982,0.9833717
-0.7384827,2.8156395
-1.7347666,-3.2311032
0.9084587,-0.7046662
-0.53842545,2.900961
-1.3968139,1.5942625
-0.7138443,0.11496858
0.6402358,-2.066637
-0.79333526,-0.30818686
-1.6959447,1.1853565
-1.60537,-2.713543
-1.8908594,-2.8341389
-1.3300499,0.27000687
-2.638253,-0.027342798
-0.8342838,-1.8247018
0.23359896,1.2601641
0.17449716,-0.7226346
-1.8112451,0.09236521
-3.8980112,-1.9225638
3.761928,-2.544455
-2.6298213,-1.8053652
-1.3983636,-0.46231222
1.1630665,0.71273786
-0.6596046,0.05119585
0.88951004,0.42420194
-1.2981021,-1.1582348
-2.0871866,-0.64874053
-1.2433075,0.42477295
-0.74139917,-1.8120321
2.592944,-0.72488374
-1.802304,2.703538
2.3525336,2.8641193
-1.0482548,-0.59369826
1.8845992,3.0692577
-2.1165655,-3.5948522
-2.2371519,1.1637663
-0.3462441,-0.044965547
-0.60895985,1.3085004
-3.0275552,3.76699
0.5991701,-1.8906748
1.7296854,3.538115
-2.1216116,2.9116764
0.9077564,-0.18945657
-0.6102204,1.637996
1.9187015,3.1708117
-1.721825,1.4436673
0.28822953,-0.40680075
-0.024798127,1.39702
0.6910234,-3.0691648
-1.1280538,0.31019935
1.2633444,0.5251464
4.2057805,-2.714219
0.5759384,-0.04053749
-1.2556998,0.08234983
4.2610598,-3.4120424
1.1024181,-1.2634875
-0.18970643,2.1343734
2.031045,2.797298
-3.2356334,1.9023194
0.578629,-2.1920667
-3.281017,1.482755
-1.1006304,2.9599493
-0.706208,-1.2486563
-2.8551073,2.248716
3.434685,-1.6799021
0.71625555,-0.56463206
-2.7577736,2.7988727
-3.22553,3.0988517
-4.1560993,2.7726965
-1.0792922,3.037054
1.0277841,0.48863372
-1.9895366,1.0783056
1.1565046,2.988773
-3.5022094,3.4501052
1.3355191,-0.7450718
0.9477371,-0.7243726
-3.5790205,1.8066077
1.6531471,2.894969
1.6866704,1.8093135
0.35243726,1.5586782
-3.1719537,2.3001673
-2.9770074,2.4205825
1.7389004,1.6807264
2.2297032,3.0215187
-1.6709012,-3.3510463
-1.3186518,1.3140434
-1.996627,0.8614693
-3.1466265,-1.6443702
-2.685236,1.8488352
-1.694681,-2.9841037
-2.5755293,2.543588
-0.86495644,-1.8804594
-1.0915527,1.1858108
-1.8803856,1.278631
-2.0822446,3.1964324
-1.604994,1.0569191
-2.5284963,3.5299215
-2.2415948,2.0978556
0.4874855,-0.59981084
3.0525477,-1.8198732
-0.003840353,3.3202186
-3.469385,1.231743
-0.81561995,-1.0274754
-0.5039105,-2.6661642
3.4601312,-2.094155
-1.0138563,-0.004813482
2.0335364,2.9027016
-0.5166784,-2.368889
-0.5214791,-1.7360348
1.0204858,2.9919045
2.525335,-1.2003336
2.3171592,-0.7430137
-2.2507052,-1.5324773
-0.18569985,-3.1274474
1.3853523,2.9612386
-3.101218,2.6294239
1.2541515,-0.44818625
2.129144,-2.110467
-1.315755,-1.7867062
2.6380868,-0.5908801
4.090846,-3.0670402
-1.9880528,1.007549
1.5540634,0.73430634
3.7326338,-2.2875068
-2.852931,-1.2402177
-0.51543504,-0.1395601
1.9530584,-1.8969946
1.4785287,0.67362344
-1.4254578,1.7565367
-0.7168071,-0.075944565
-2.629066,2.7144198
2.051489,-0.37904245
2.2778928,-0.80618405
-0.53103036,0.0250693
1.4914755,0.43160662
3.605315,-2.458958
-1.2054499,0.16865924
2.123145,-3.352652
4.531032,-2.809656
-0.30903113,3.2483032
-0.6472358,1.3240362
-0.6435906,-0.55837625
4.1557617,-3.2069705
0.06352809,2.0741913
-1.1528968,-0.9285258
1.796131,3.3785627
0.29820096,1.5085763
0.80161357,-2.2064369
-0.34406826,3.3217692
2.4905386,-0.4160587
-1.4840534,2.8821871
0.7657832,0.50503826
1.8801531,2.8857806
-0.7208252,0.121582724
1.1705947,-1.621529
-0.76955664,1.4507103
-0.73451173,1.6573713
2.7752542,-0.5480307
-3.3830984,2.3326023
-1.7194557,3.0723977
-1.9190531,-1.4682109
-2.9917326,3.7698598
-2.1505837,0.94010574
-3.218487,3.7228498
1.0602524,-0.6820369
3.324488,-2.7142107
-0.8742444,-1.8430437
0.32506856,0.28439534
-4.0363626,2.7912683
-2.732983,2.0572276
-0.5609171,0.09639398
0.7978647,-0.5305367
3.2674918,-3.1502662
-1.4238057,0.29512244
-3.9834442,2.6180573
-2.1266682,0.71117955
1.5330219,-3.689876
-0.02987497,3.1594903
-0.61538434,0.29865253
0.21566343,2.3284295
-2.3566053,0.6037855
-2.9108582,1.6254141
-2.899227,-1.2016485
-3.3905683,1.3589908
-3.343373,3.3864431
-2.2040963,2.8176703
-2.7131686,-1.7161779
1.581077,1.7041199
-2.128043,3.2687142
-1.6423647,-0.4078264
0.82208127,-2.1704254
-0.61785126,-1.5828443
-1.8698729,-0.5810961
2.215855,-1.7596183
-2.9730294,3.360406
-0.9242978,3.3533413
-0.31566158,3.218605
-1.4411492,1.4945025
0.042778976,1.9986806
-3.1830497,3.0824783
0.9629525,-0.7105116
3.4741955,-2.51739
-3.3798203,2.1270869
-2.3143053,0.8095814
-2.477667,1.9079477
-0.84479225,-0.015892094
-0.8457702,-1.6197906
1.6731848,1.7730528
-1.346494,-2.751599
-1.603797,-0.5142627
1.8728939,2.8454075
-0.90616596,-0.4383949
1.3658662,3.3423107
-0.9773337,-1.8298159
0.547223,-3.193933
-1.1777719,-0.500215
2.2767982,2.8683927
2.125614,2.6044827
-0.5560991,-1.7190045
1.9937954,-0.66572636
1.5906273,-3.474819
-1.0978066,0.29395688
-0.11244681,1.6800039
-1.6172948,1.4698678
1.6930194,-2.0174332
-0.25710887,1.896061
2.251134,-0.625213
-0.7820009,-0.044759195
0.93048644,-0.97242683
-1.7582462,-0.22405148
0.055255793,1.4565592
-2.0215907,3.5877538
-0.8500453,0.14374186
1.825455,1.7452307
-1.6547593,-0.31495532
-0.84107286,-1.8899322
-1.321903,1.207261
-1.6698928,-3.1485388
1.2462534,-0.798416
-0.9822081,0.043021385
-1.2950604,-0.8547084
-1.6308087,-0.4754071
-3.2132459,1.539368
1.0717739,-1.64572
-1.8735876,0.86637557
3.545362,-2.7098267
