embed_1,embed_2
3.1516764,-1.2421579
1.1246985,-0.9887464
0.07700882,2.1390176
3.4157603,-1.6077876
1.353018,1.691417
-3.2305582,-1.1640407
-0.60234684,3.2745144
0.9651264,-0.47867903
-1.8229362,-0.6657133
-1.0208317,-0.18716256
-1.6471987,-3.4298887
-0.059261974,-0.13863103
-0.16524012,-2.094799
-0.8373906,-0.76234037
0.19283739,2.513567
-0.15918104,-1.8768487
0.6563487,1.9546919
0.20136376,-0.6305062
-3.3881426,-1.4959325
-2.518155,-1.2542287
0.5052307,0.7002429
2.4524012,1.2381358
-2.693942,0.23978055
-1.9038641,1.8848692
0.24942638,0.7066871
-0.49916622,-3.1041262
-0.48836023,1.3540627
-1.4359622,1.1313702
0.14308678,0.70412344
0.35267344,0.897442
-1.0968901,2.6528058
-2.0338178,2.187017
-3.682823,-1.0033305
-1.5566665,1.104524
1.0119866,0.99355614
-1.4686283,1.1337095
0.62362343,0.72293985
1.1616968,-1.0158491
-1.8457772,1.9880402
-1.3821943,-0.9255516
-0.4890056,0.9046743
-1.7917111,2.0213675
-0.81099886,-0.78836465
0.9244035,-0.73866314
-0.61700153,1.6988302
2.1289787,1.1890217
0.5572551,0.53821313
-3.6533806,-1.8071216
3.0577464,-1.3622257
0.42882386,-0.035354547
-1.7124825,0.67466414
-0.46912128,3.2132115
2.8979955,1.441697
0.12994225,2.7232854
-1.363018,-0.04834951
2.0182395,1.5217136
2.17036,0.45914015
-0.26074228,3.0457523
0.9095765,1.5118363
1.1680214,1.1355228
-1.7558051,-3.43303
0.7798823,-2.252622
-1.4336066,-1.9693084
-1.2401545,-1.84149
-0.6724341,2.1118789
-2.8421242,-0.33593428
2.8921564,0.79113996
0.13674891,2.2671163
0.34419858,-0.009945461
-0.394238,0.6588424
2.3091218,0.8707516
0.33730188,0.8347206
-3.5085328,-0.90716606
-3.1014845,-1.7598696
-2.3944347,-0.34574825
2.8384504,0.5410214
-1.4128834,-1.7337117
1.1216506,-2.416848
