embed_1,embed_2
-2.004317e-20,1.3785551e-21
-8.469518e-22,-2.498904e-22
4.9904226e-21,-8.2949757e-22
2.2759917e-20,-2.3444783e-21
1.691195e-21,-1.3251833e-22
7.246605e-23,-2.57266e-25
1.5255614e-20,8.937197e-22
9.0443395e-21,-1.567698e-21
7.9706405e-21,3.535149e-22
-1.1484933e-20,1.2926498e-21
-1.2653127e-20,4.244319e-22
1.8741682e-20,1.1314032e-22
-1.0632168e-21,-1.4463416e-22
-4.685732e-22,1.9579622e-22
-6.538226e-21,9.169388e-22
-8.202607e-21,-1.2027319e-22
1.7414026e-20,7.2609853e-22
3.3392934e-22,3.3439688e-22
3.425339e-21,8.7449895e-23
5.533987e-21,-2.046557e-22
-1.5403706e-20,-1.6602404e-22
-1.3208352e-20,-7.6859715e-23
-1.6390807e-20,3.633674e-22
1.567547e-20,-7.072056e-24
2.6693926e-21,-2.7469096e-23
-1.1956819e-20,1.7523399e-22
3.5460853e-21,-7.3590145e-23
3.7403875e-23,-1.168405e-22
2.4330445e-20,3.7047377e-22
7.040944e-21,4.270952e-22
2.3345699e-21,-6.220287e-22
-4.4684054e-21,-3.911045e-22
5.1634427e-22,5.9318755e-23
1.7584642e-20,4.8400093e-22
-9.277129e-22,-1.4932014e-22
3.828596e-21,1.3459987e-23
-2.6875412e-20,-3.659796e-22
1.30902624e-20,-3.8992492e-23
-2.1304874e-20,3.8339256e-22
1.2905803e-21,-4.0126025e-22
-5.707976e-21,1.8477767e-23
3.4182168e-22,-1.0296562e-22
3.257205e-21,2.2331605e-22
2.0606507e-21,1.3414642e-22
-4.5310757e-22,-1.3892156e-23
2.1139746e-21,-3.0983871e-22
-6.4566027e-21,-1.4928939e-24
9.588639e-21,-2.4616396e-22
5.1126806e-21,-1.957712e-22
2.1801864e-21,1.6434132e-22
4.001458e-21,-8.620861e-24
7.567083e-22,1.075593e-22
-1.5737755e-21,-3.475885e-23
6.068599e-22,-3.8097826e-23
-6.4468332e-24,-1.0420487e-23
-2.8812246e-21,2.7573636e-23
7.952995e-22,-6.15036e-23
3.1416316e-23,-5.762504e-23
-1.7123446e-21,-7.689357e-24
-4.7758177e-21,8.124616e-23
-2.1223443e-21,7.172115e-22
3.1836578e-21,-9.072411e-23
6.5291317e-21,-5.428477e-24
-9.111625e-22,7.198078e-24
3.815465e-21,1.28504384e-23
1.8227725e-21,-1.5008104e-23
2.7258126e-21,2.1938096e-23
6.3504934e-21,-3.947983e-22
-3.398245e-21,2.6126768e-22
-2.8531002e-21,-9.1008516e-24
3.7397874e-21,-8.809041e-22
-3.6165665e-21,-2.4643848e-22
2.5856806e-21,2.3725816e-22
5.7599603e-21,1.8741011e-22
1.4704529e-21,-1.06753075e-23
5.821488e-21,-2.9516318e-22
-9.558608e-21,-1.1701251e-22
1.8141417e-20,-3.8456356e-22
9.668405e-21,-5.1345972e-23
6.3726725e-21,-8.045697e-23
-2.167718e-22,-4.3427336e-23
-1.1538774e-20,-1.146787e-21
1.0814434e-20,-3.21664e-22
-2.5669676e-21,3.398178e-22
3.4002713e-21,-6.964816e-22
1.5143593e-21,-1.5925602e-22
3.6606882e-21,-1.9993607e-23
4.923443e-22,-9.105368e-23
-4.308081e-22,4.4795908e-23
8.58302e-21,-1.2773791e-22
-1.12843745e-20,-1.5491386e-21
-8.937278e-21,-2.7022745e-22
1.22646926e-20,1.456664e-21
1.6357148e-20,1.7269657e-22
-1.4571074e-20,2.5625336e-21
-2.2720215e-20,-3.367345e-22
6.1890582e-21,9.9389305e-23
-1.23906696e-20,-2.476791e-21
2.2501837e-21,-4.3827e-22
1.17443556e-20,-1.147183e-21
-1.8477371e-20,-3.5506304e-22
3.3302772e-21,-3.8568154e-23
1.1892894e-21,7.605797e-22
-1.07031816e-20,-2.524718e-22
-1.8089012e-20,-9.972622e-22
