embed_1,embed_2
-3.1734283,2.8014767
-0.40699673,-1.7086929
-0.58010083,-0.81639475
-3.2251902,3.2177663
0.13007219,0.576083
1.8337244,-2.7928529
-1.8553157,-1.9699928
-1.8110838,0.53549176
2.4975526,-0.47299585
-2.1971967,1.7354213
-0.7337636,2.7402306
-2.5574393,-0.06529649
-0.14308874,1.6579936
-0.3623198,1.7431481
-0.93641603,-2.409459
1.4723641,1.8380938
0.8672998,0.48092008
-2.291145,0.7232464
2.2989683,-3.009312
-0.84484607,2.3178382
-0.045675516,0.23099928
-0.77188116,-0.04299516
0.7385529,-2.7218647
-0.44553977,-1.8647265
-0.721755,1.1113428
2.513857,2.7902825
-1.7289932,1.3190726
-1.8580863,1.6830475
-1.6636049,-1.3538421
1.1181902,0.268344
-1.3263565,-2.1076329
-0.43046823,-2.0599325
2.170675,-3.4670389
0.6683614,-1.4515971
-0.049271785,1.4090391
-1.4798398,1.377043
0.068470195,0.61952424
-0.43373907,-1.6094089
-0.66743076,-1.6256168
-2.673831,-1.1208495
-0.1486899,-0.41460904
-0.31461105,-1.9392023
-0.2505757,-0.41096774
-1.1314301,1.4323179
0.80224323,-0.7220615
-0.5063937,0.23932253
0.21200229,0.8752384
2.3677843,-2.8922737
-2.9172678,3.4456475
-2.0088828,-0.26151764
0.5052789,-1.5082961
-1.9560703,-2.0327291
-0.92848766,-0.4247605
-1.760892,-1.5274221
1.7453525,-1.2884835
-0.41599974,-0.014256348
-0.9487057,0.34929565
-1.6279929,-1.5721312
0.6942028,0.33439383
0.39381626,1.3994902
-0.9270673,2.8981695
-0.16541708,2.4635205
3.3600454,0.47730464
2.8306987,0.6343793
1.2232808,-0.53532594
1.4082369,-2.7099106
-1.1297525,-0.21811536
1.1906129,-0.39035258
-2.2401717,-0.41638252
0.97137755,-0.6204418
-0.90899146,-0.21865055
-0.2281923,1.3870002
1.8394948,-3.3275332
2.3480754,-2.7400846
1.1969093,-2.19618
-1.1614445,-0.28636366
2.7570972,0.56208485
-0.08094125,2.7682438
2.5342565,-3.0797615
2.845236,-0.28276128
0.049555197,2.3208897
-2.9961717,3.775819
2.9738352,0.68475693
0.39153042,-0.86903954
-2.3038507,0.811796
-1.9856147,-0.14426693
-0.24836932,0.44114166
1.4581268,-0.119583696
-0.68664825,-0.54391307
-1.9706147,-1.2831681
1.9357032,-2.6043532
2.370982,0.7629351
2.7036936,0.56324553
-1.1443477,-0.48900592
1.9936249,0.08413452
-3.1012566,3.0553918
1.801705,-1.4599828
1.6463856,0.6755705
-0.40114725,-0.5660072
-2.6214356,0.45610735
2.325078,2.8490534
-2.0977623,0.24328232
-0.6054662,-0.023234712
-3.4125204,2.6611063
-3.143553,2.8997972
-1.7257084,-0.01629026
-0.9365282,0.22213347
-2.494837,2.142546
0.574397,-0.8001722
1.2928971,-0.84202236
-0.27882525,0.5460983
-0.74501336,3.957108
1.9813796,-2.8787196
0.32840726,3.1875188
-0.30660534,1.0448406
0.55310583,-2.0577636
-2.2494643,-0.05831942
0.7300678,-1.726173
-0.30779365,1.3686612
-1.7139732,0.7513831
-1.9818531,-0.08658044
-2.3159943,2.0471768
2.7164254,-0.17410663
0.43753642,0.39256468
-1.739723,-1.9180031
-0.59378964,1.3300129
-1.8208065,-1.5620939
-3.1995215,3.3858514
-0.83259714,0.020692961
-2.5118177,0.6500596
-0.23052986,-0.9961453
0.8115892,0.8950821
2.1446826,2.9681144
-2.1461868,-1.7571064
0.42384624,0.44451767
-1.5709434,2.1638231
-0.2423892,-0.69177884
-1.9491147,-1.7193692
-1.0676659,-0.42161563
1.2659712,-1.1615076
0.8221255,-1.0630323
-1.2681767,1.9730988
-1.9586989,0.0894454
0.44975495,-1.6810907
2.1187387,-3.0551572
1.20924,-1.4727442
-1.6632589,0.31488788
2.5065725,-2.5300093
0.96594256,-0.6649039
0.3559655,-0.6680592
-1.3188592,-1.8632362
-0.05643263,0.8967812
1.7666203,3.270595
-0.46869028,1.0528444
0.57381517,-0.5120006
-2.0643566,1.3497876
0.22388348,0.6980947
0.9080898,-2.5761747
2.052259,-1.240052
0.6102454,0.8741022
0.8511239,0.8962077
0.45683193,1.1702263
1.083488,-0.073897384
0.49303973,-1.564309
-1.1185411,-0.4612581
-1.7994337,-1.3104475
0.6410326,1.0482876
1.834825,-1.0785167
2.080823,-1.4204255
0.31463894,1.0548507
-1.4953932,-1.4371558
-0.5649868,-1.5503805
0.65920025,-0.91080415
0.49412903,0.952747
0.6461858,0.8783373
-0.5429039,-1.9957749
-1.5036628,-1.8884695
-3.1373048,3.0162227
-0.5928536,-0.29761714
-0.9183427,-0.25887468
-1.4169028,3.0572982
0.119475536,0.7363277
-2.9560475,2.6899757
0.2414242,0.4280258
-2.2227123,1.9980067
-0.5578147,-0.4103115
-0.69443655,-0.5359377
1.2716482,0.49381426
-0.5658865,-0.5079625
1.1467144,0.65288514
0.25211883,0.249632
1.2318115,-1.2945713
1.2570779,-2.641831
1.3677675,0.19282211
-0.07287404,0.92323804
-0.34698954,1.4044691
-1.9664643,2.2713802
1.3854855,-2.9851189
-2.1974294,0.3917226
-1.5452113,-1.7912178
1.5897042,-1.2990559
-2.4501941,1.422022
-1.5166878,-1.0390471
2.0931516,-0.023906086
1.6626728,-0.16771004
0.22520626,2.7200606
-1.3814627,2.0497487
-1.6933448,-1.399135
0.7427994,1.0778651
2.2239273,-0.7571936
3.030435,0.84882283
0.735319,2.883854
2.6047916,-0.49791777
2.4615028,-2.8174727
-0.91736245,-0.039096724
0.42778885,-2.1684506
1.6181328,-3.0470903
-1.5046206,2.7599194
1.6424607,-0.31263474
2.502208,0.9802885
0.68296283,-1.9205122
-0.07484849,-0.42217895
-2.3055794,0.5968447
0.5718558,0.85505414
2.3310914,-0.76533914
2.133102,0.123845
1.4931766,-0.40791586
0.59618616,-2.0268157
1.8604134,-2.705
-1.9026775,-0.0961131
3.009055,-1.2798035
1.1906077,-3.5118673
1.3402215,-0.13383657
0.06659222,-0.59870267
2.0017483,0.93832594
2.4746156,-2.5913599
0.6976394,-0.62034905
-0.3108982,1.4767776
-1.9357252,-1.5312515
0.5812641,-0.8428646
1.9780401,2.9347599
1.4194323,0.40783
