embed_1,embed_2
0.51912653,-0.8397895
-0.06853874,0.18235262
-0.21252872,-0.36002517
0.54325014,-0.7929095
-0.2966598,-0.1140649
-0.36546305,0.68400353
-0.5745584,0.26076448
0.29278934,-0.26686007
0.04304534,0.5582933
0.29320103,0.22934064
0.49614957,0.917669
-0.14476272,-0.14352813
0.4212456,0.53131896
0.14640729,0.052853007
-0.37461773,0.00020495904
0.20365073,0.46199578
-0.38197666,-0.15513706
0.058323655,-0.17187531
-0.45955047,0.8020129
0.48413518,0.22142795
-0.044758458,-0.1874027
0.0487255,-0.5942501
0.12627187,0.32784268
-0.00941625,0.14684182
0.044672016,-0.22785021
0.8792527,0.4616922
0.03437706,-0.16058595
-0.0002719902,-0.033333197
-0.56167936,-0.20611034
-0.2866694,-0.10591627
-0.38577226,0.08959212
-0.11160844,0.2617934
-0.25198874,0.7162458
-0.07676481,0.022444898
-0.5489834,-0.65194076
0.09312016,-0.112669975
-0.1351394,-0.30004346
0.3861503,0.14218017
0.13622703,0.24603078
0.17391191,0.4938434
0.041937307,-0.423826
0.051923845,0.27128688
0.32025433,-0.1338984
0.37588388,-0.17987998
0.005496185,0.16421051
0.27447927,-0.39374533
-0.26895398,-0.5516022
-0.15208064,0.5895516
0.39864543,-1.0519111
0.15052418,-0.18060522
-0.14866614,0.029055959
-0.70768195,0.010213541
0.031477563,-0.59841245
-0.6408692,0.03880933
-0.05816506,0.15636583
0.078775495,-0.58939546
0.6580965,-0.44027218
-0.6500072,-0.004038525
-0.5051191,-0.35807166
-0.5993972,-0.7287002
0.5447791,0.89271986
0.7803251,0.39869967
0.6350038,0.38890234
0.5481219,0.35034925
-0.27894157,0.20278165
-0.20409825,0.710759
0.1802302,-0.6316096
-0.3825625,-0.07166753
-0.07926899,-0.21379574
-0.19108428,0.16127843
0.25541988,-0.6297487
0.35166058,-0.25841555
-0.31645256,0.72055465
0.019811798,0.627479
-0.09516133,0.53498375
-0.006352719,-0.2834456
0.488872,0.2728372
0.6176088,0.03708229
-0.09300175,0.7378391
0.41003826,0.30410022
0.72448486,0.480882
0.8756264,-0.74071985
0.2621951,0.48162276
0.07173562,-0.17166644
0.38903818,-0.26542884
0.30241486,-0.1271058
0.14825256,-0.13166139
-0.06795924,0.057991676
0.14902197,-0.42140892
-0.7395112,-0.0048703398
-0.30231065,0.72918427
0.31502357,0.33440936
0.36338928,0.30251646
-0.008954236,-0.6687447
-0.3043086,0.08716354
0.40561515,-0.72744143
0.16302954,0.4408083
-0.07996024,-0.22251853
0.08143483,-0.42890096
0.055041794,0.016652819
1.2126945,0.60985506
0.1220625,-0.21912564
-0.018387565,-0.4841098
0.57248116,-0.13233817
0.55555534,-0.9153753
0.19125505,-0.09650826
0.38614827,-0.4159028
0.5212052,0.16023022
-0.12558368,0.2635308
0.11241297,-0.16533457
0.11599484,0.009467304
0.7561931,-0.22236726
-0.16595757,0.46008277
0.6164864,-0.3201444
0.048665553,-0.013653661
-0.10655472,0.17532669
-0.28399447,0.10067495
-0.00010386217,0.23452324
0.51491904,-0.08882259
0.554467,-0.09263938
-0.05014509,-0.06346482
0.3596271,-0.14748226
0.4529476,0.3140143
-0.21553507,-0.39177158
-0.46973887,0.073040836
0.12153787,0.065282166
-0.686729,-0.007602542
0.5189401,-0.7500725
0.11646119,-0.49492487
-0.08902137,0.11389238
-0.19231844,-0.06678797
-0.5366024,-0.34816682
1.1275818,0.11562397
-0.5770219,0.14290082
-0.43585217,-0.3140034
0.09208157,0.2190749
-0.29757756,0.02044955
-0.46365908,0.06748689
-0.076103285,-0.5066287
0.08873926,0.34201163
-0.10958416,0.009317999
0.14451425,0.09471034
0.08637482,-0.20628035
0.0021662703,0.23370108
-0.17812932,0.6995123
-0.05241122,0.164984
0.07024655,0.03563089
-0.25401148,0.54740417
-0.18005799,0.051061854
-0.016343594,-0.2203064
-0.40332115,0.24369378
0.087526865,-0.32889962
1.3098035,0.40443304
0.16515507,-0.1237106
-0.06592155,-0.17578359
0.23452553,-0.033595443
-0.5295916,-0.45714763
-0.016149675,0.51865256
-0.09203999,0.1161755
-0.56522727,-0.21156408
-0.618682,-0.5250671
-0.7020284,-0.8063305
-0.14819986,-0.066845216
-0.1363858,-0.029522706
-0.112981446,-0.46699244
-0.27441958,0.010109115
-0.57561606,-0.37473604
0.02504586,0.17508712
0.17789291,0.4126339
-0.49450707,-0.3142014
-0.55842054,0.40167883
0.089286976,-0.14983732
-0.065689445,0.0918475
-0.5675051,-0.5974615
-0.5774458,-0.5799136
-0.10754528,-0.024008116
-0.689017,0.30748925
0.69204295,-0.906123
-0.18092053,-0.28629887
-0.1279473,-0.55171436
0.6564676,-0.1108916
-0.27922717,-0.12978657
0.18606254,-0.7876489
-0.46621042,-0.40968758
0.5107326,0.087866694
0.10544057,-0.5785277
-0.008291384,-0.6195097
-0.48979983,-0.36598077
-0.09401668,-0.23584366
-0.49952376,-0.4000178
-0.18422346,-0.32276902
-0.059439357,0.012759905
0.3421436,0.4943528
-0.35288706,-0.02447437
0.48266128,-0.11163089
0.37890232,0.05511837
0.53280103,0.02543354
-0.2127221,0.6644435
0.18923013,0.0027943098
-0.4567185,0.10544695
0.324426,0.31914073
0.4353329,0.09988784
-0.47504255,-0.11298446
0.57973266,0.28713825
-0.12551503,0.18934649
0.7786766,0.1877983
0.52411616,-0.13866328
0.18087253,-0.14981082
-0.45160618,-0.4799264
0.18452424,0.43868485
0.4789987,0.3635265
0.72896624,-0.009725555
0.3485877,0.5066595
-0.24263448,0.7514072
0.18180278,-0.5589745
0.06868462,0.033988424
-0.28810146,0.6007578
0.8776986,-0.108327545
0.21261811,-0.2141846
0.55591536,0.34128588
0.13202737,0.24303204
-0.039713062,-0.40638676
0.37182352,-0.26373714
-0.32099357,-0.60229385
0.37723675,0.24634464
0.38576382,0.5905492
0.18303901,-0.26763055
0.20465125,0.39161468
-0.27522892,0.7449431
0.31816456,-0.33937746
0.13012926,0.9604462
-0.063860424,0.7506015
-0.17466363,0.02586297
0.11599902,-0.42610556
0.011355763,-0.21775393
-0.3977439,0.84509504
-0.039495293,-0.22256517
0.522289,0.022880305
-0.3012424,-0.052522045
0.07024604,0.019450301
0.94667894,0.8355147
-0.005718997,-0.25303102
0.37654358,0.45842487
-0.5447081,-0.28282052
0.19965549,0.152103
-0.5353953,0.34815955
0.052199047,0.14831685
0.23894975,-0.39016172
0.16194832,-0.17041266
-0.017048726,-0.1299547
0.080551535,0.48154882
-0.41640761,-0.5507606
-0.28113398,-0.020276228
0.49366903,0.2702893
-0.24181144,-0.45045567
0.17894204,-0.53702414
-0.5833752,-0.5146511
0.037295915,0.4130908
-0.05511089,0.7929848
0.48733702,0.024525354
-0.27941793,-0.0154588055
-0.53300655,-0.6009279
-0.27384976,-0.31423035
0.072455384,0.11886038
0.087827235,0.2624225
-0.1294571,0.8760393
0.02304318,-0.17440017
-0.45086694,-0.5818305
-0.01953836,-0.4217341
0.38552377,0.31535769
-0.17405382,0.123637035
-0.32613134,0.04271619
-0.40304485,0.1622104
0.040001515,-0.34644362
-0.24467254,-0.27153322
0.48221865,-0.14825895
0.21139954,-0.050787024
-0.5897692,-0.5387336
-0.3338681,-0.40170193
0.6959295,0.1724945
-0.21375535,0.022401495
-0.3146734,-0.08987964
0.15811484,-0.12198705
1.0784702,0.84154093
0.108969204,0.16450804
0.32121375,-0.20940371
0.3653069,0.25671884
-0.28929397,-0.11208045
-0.309493,-0.23118661
-0.13892053,0.053722136
-0.22788972,-0.6188955
-0.23033568,-0.023139833
-0.37617895,-0.29182526
-0.08659184,0.11085913
-0.25305286,0.49750692
-0.46655247,-0.42009616
-0.13265835,-0.24454165
-0.27901068,0.02066281
-0.108599104,0.0198138
0.25857037,0.11844197
-0.19442073,-0.05971002
0.13732891,0.18365203
0.35728365,-0.013058802
-0.74125975,0.006572834
0.04616249,-0.11929414
-0.61920005,-0.0014183763
0.375296,-0.1926821
0.26029807,0.11040271
0.06499431,-0.1797233
-0.58783257,0.065613456
-0.47362158,-0.016769588
0.01912189,-0.23065595
0.08461115,0.26863682
0.13988027,0.24283838
-0.20054838,0.062106073
-0.21871969,0.09256782
-0.12289859,-0.3491908
0.42369074,0.4500093
-0.29197177,0.14981982
0.14143986,0.45258436
-0.13267548,-0.15381211
0.094499804,0.08121832
0.20176311,-0.07028366
-0.15740167,-0.17446746
-0.6014894,-0.022739109
-0.24274114,-0.24290378
0.14438078,0.14430833
0.23764832,-0.3499956
0.46684045,0.112453036
-0.008966104,-0.5453651
0.4392816,-1.0216199
-0.11311582,0.3562913
-0.043658003,-0.09333659
0.23328428,-0.22939627
0.22852045,-0.031405795
0.20922312,-0.32593015
0.24100311,0.47006014
-0.045594025,-0.26127547
-0.29789218,0.8855986
0.28576106,0.46595627
0.03197568,-0.08842183
-0.11534097,0.4013051
1.0568702,0.16629444
-0.037559398,-0.22114442
-0.62387884,0.34186408
-0.099334754,0.7399087
0.13392149,0.23484355
0.41573805,-0.28334284
0.44341248,0.19586809
0.04039727,-0.24632756
0.41457704,-0.25187752
-0.5642003,-0.6494272
-0.031149603,-0.15281098
-0.39001113,-0.5140973
-0.055268336,0.13375051
-0.63623,-0.6001507
0.16560425,-0.16667587
0.5301426,-0.26238632
0.45404804,-0.14877383
0.27075353,0.2089867
0.8817743,0.06893614
1.068382,0.52292675
0.355923,0.09011856
-0.66731787,-0.7520716
0.21847787,-0.042065483
-0.42110574,-0.44679993
0.62721616,-0.19429591
1.1311965,-0.43214118
0.38066468,-0.107433684
0.24783616,0.14625783
0.35871235,0.10936979
