embed_1,embed_2
1.0027312,3.2697382
1.5019602,0.9457634
-2.351618,1.834984
1.4158244,3.5333982
-0.045183394,0.5099188
-2.076382,-2.9344573
-2.2538342,0.0059308494
1.0474087,0.32229573
0.84402925,-2.1570015
0.32093194,1.9761586
0.06763544,-3.4127607
-1.3245355,-0.4905487
2.5368338,-1.2964797
1.1359686,-1.2673917
-3.26822,-0.39311385
1.9509634,-1.077411
-0.8149257,0.2590236
1.1393311,-0.16630305
-1.857641,-3.221905
1.9142147,0.5028723
-1.1639969,0.7948537
-1.1033876,1.5808253
-2.6096544,-1.8105628
-1.9118768,-0.9892976
0.34386826,0.030354341
3.741898,-1.6354074
0.19123076,-0.9377266
-0.5989466,-1.2489268
-1.687688,0.41478977
0.260769,0.035622805
-2.7453198,0.24409401
-2.0003376,-1.2785935
-2.1015456,-2.900764
-0.78365624,-1.0242865
-0.12413838,0.7790789
-0.6463506,-1.2384175
-1.129183,0.42190605
-1.9048247,-1.1638465
-1.6821775,-1.2825408
1.3034571,-1.807572
-1.5328126,1.119128
-1.7666483,-1.3033881
0.23378655,3.3449717
1.4973985,1.1838583
0.23299757,-0.61375874
-0.9044752,1.4918736
0.17740147,0.46680453
-1.9155962,-3.4850538
1.2990264,3.5978522
0.95129234,-0.06172757
-0.77354395,-1.2217727
-2.642974,-0.09728653
-1.8213873,2.1270123
-2.1364615,-0.014663728
-0.06450102,-2.1061158
-1.3626543,1.6512891
-0.40120044,1.9365032
-2.4548237,0.26242808
-0.42881355,0.33435503
-0.2653606,0.89106894
2.6730459,1.3271552
2.534607,0.30330148
2.6957932,0.010758729
1.8043278,-2.596558
0.45561084,-0.91997576
-2.3591375,-2.2314534
-1.250894,2.2460845
-1.663247,0.42108104
-1.478319,-0.31832862
0.30133393,-1.1235775
-1.2210454,1.9534127
0.25122064,0.046045978
-1.8185112,-2.6568367
-1.7296834,-2.8519027
-1.9228902,-1.8908513
-1.0256705,2.2525368
1.4550627,-2.2969224
2.823029,0.38422558
-1.5272386,-3.174992
1.0152415,-2.4073193
2.6112528,0.16749756
1.8277681,3.7323601
1.7906797,-2.615485
-0.12226695,-0.53883237
1.009034,-0.0823919
1.0419862,0.13629012
0.47502017,0.33555886
0.5689443,0.17689584
-2.081141,2.2128718
-2.1768534,-0.11486809
-1.6715387,-2.658346
1.9952288,-2.1902559
1.5341767,-2.0389051
-1.5592892,2.2535434
-0.3512235,-0.109798536
0.9784969,3.502599
0.20499317,-1.8681244
1.7843597,-0.8453061
-1.3975478,1.6709142
0.8545196,-0.5158514
3.7229855,-1.7164621
0.7933367,-0.2475232
-1.3157145,1.4293162
0.6402536,3.3709116
0.7203972,3.1253076
0.6810524,0.27400377
-0.7300278,1.754945
0.42400336,2.395021
0.124928415,-1.0223596
0.40417516,-0.96563214
0.22210234,0.68152034
4.207463,2.8851264
-1.9523977,-2.789363
