embed_1,embed_2
-3.494058,1.8636446
0.71629965,-0.13587321
-0.7868356,-1.3814498
-3.5646873,2.2511032
-1.881437,-2.0324945
4.3755894,2.5737314
1.1641567,-1.8959447
-0.7195186,0.98845154
2.9448707,1.1763301
1.0044636,1.6667199
2.7982435,3.7282312
0.00082178216,-0.5323123
1.5695933,2.5341735
-0.10220335,0.5618004
1.5354979,-1.5000038
1.9252579,2.0661616
-1.4035196,-2.9250546
-0.36896628,-0.049192034
4.549057,2.711933
3.5110025,3.2435174
-1.622861,-1.7086165
-1.2620875,-0.87037224
3.9041445,1.6824654
0.8386201,-0.33275965
-0.075873286,-0.59658366
1.5374005,2.56172
0.7187851,0.74125475
0.8804396,0.70056194
0.32093272,-1.3595445
-1.4600755,-2.395987
1.5863354,-1.8874393
1.3225737,-0.78342
4.6774664,2.32318
1.5101521,-0.036917675
-2.5335884,-2.174751
0.7574798,0.7572805
-1.4603579,-2.208003
0.6190219,-0.056596767
0.93670005,-0.36518154
2.6377432,1.264229
-0.6220264,-1.4772792
1.1019839,-0.46317413
-3.6978438,0.64725184
0.29535195,0.3993953
-0.21827795,-1.9422033
-1.4830953,-0.83113205
-2.012142,-2.0577965
4.4632683,2.7551305
-3.5391705,1.6768997
-0.15958764,-0.46313697
1.428214,0.18782558
1.4175174,-2.1284182
-1.3211094,-1.0406111
0.8940449,-2.0130465
1.3914642,1.116142
-1.2806969,-1.0307671
-2.191199,0.6849286
1.2221284,-1.9835488
-1.6442627,-2.8082535
-2.9162743,-2.7101479
2.4323456,4.102789
1.7460309,3.3759437
1.9455522,3.1920917
2.0253694,2.9101193
0.091032125,-2.3103616
3.5863922,2.0929627
-1.7864614,-0.569937
-0.20473026,-2.2833896
0.030239094,-0.71382207
2.4354835,-0.3774445
-1.794362,-0.47475797
-2.4364364,-1.9224722
4.197947,2.5500743
3.869449,3.1415262
3.2815115,1.9209245
-2.027088,-0.21552764
2.337767,2.1454399
1.344315,3.9031901
4.1304417,3.1280708
2.8037176,1.3766314
1.8144788,3.382676
-3.59211,1.9090705
2.2733486,2.1273491
-0.48343453,-0.8560309
-0.63739395,0.2765035
-0.6788272,0.09375545
-2.0305514,-1.6471062
-0.26656565,-0.50273234
-1.4304657,-0.84248805
0.9382075,-1.6296523
4.003359,2.604411
1.9919448,2.166218
2.0053973,2.5976348
-1.6890618,-0.7215647
-0.6313305,-2.45202
-3.7914107,1.2751664
1.4278067,0.91770595
-0.29303056,-1.0422766
-1.2369227,-1.2725353
-0.24644037,-0.6913609
1.3104522,2.3485253
-0.28525844,-0.32989043
-1.8072674,-1.078614
-3.7221143,0.9432389
-3.6326275,1.1148746
-0.4862618,-0.2685462
-2.1330426,0.11730786
0.52646434,1.6512963
1.6129087,-0.38856465
1.3599017,1.058688
-0.5847947,-0.30015868
-1.3544031,3.6036727
3.960714,2.3555288
0.82192636,4.047863
-0.7213162,0.040059518
1.2798141,-0.12547879
-0.12770164,-0.82593554
1.3583624,-0.14925593
0.58970493,2.4723463
-1.1516012,0.9920035
-0.4747092,-0.71077776
0.120615356,2.1294532
2.7281547,0.9505116
-1.5894705,-3.0713968
1.1351982,-2.312007
-0.13284095,-1.448259
1.0414119,-2.1118352
-3.9943686,1.8938739
-1.8736045,-1.0472893
-0.22871777,-0.68963796
-0.65904653,-1.9758613
-2.2459018,-3.7350683
1.2048616,2.4724517
0.8626323,-2.6818166
-2.212027,-2.7502842
1.0011677,0.6224945
-0.48364297,-2.1706839
1.0640967,-2.1760876
-1.3333143,-1.3856539
1.0684114,0.9718869
1.5547969,-0.24509084
2.1789477,2.9983797
-0.36890563,-0.47257587
1.3053514,-0.2750716
4.274532,2.1514082
1.0090092,0.52236533
-0.5394147,-0.04047793
3.988518,3.0850651
1.6368529,1.6373135
-0.42461795,-1.5209405
0.90587705,-2.21195
-2.997135,-2.1584044
0.99320644,2.5154767
-1.3865293,0.25955862
-0.8274441,-3.1717634
0.4880212,1.5936259
-2.6263168,-2.6114657
3.2650762,1.1974355
1.2324368,1.0022975
-2.5825646,-2.898447
-2.8426335,-3.471694
-3.7983165,-3.178154
-1.6088095,-2.7743216
0.92849606,-0.049700454
-1.7182064,-1.0190313
0.2776546,-1.7774328
-3.0259318,-3.6033285
1.6322151,0.72518474
1.0907984,1.0845573
-3.265359,-2.1508763
0.7286896,-1.6503904
0.23991857,0.008174446
0.43600237,0.15109704
-2.84524,-2.6567042
-2.729173,-2.802221
0.7031098,-0.6973348
1.2034789,-2.3754418
-3.8701909,1.7199888
-1.3902624,-1.6356305
-1.9280525,-0.9701974
-1.061169,3.1011655
-2.1045794,-2.23289
-3.7161117,1.3776559
-2.5484514,-2.5256553
-0.061600745,1.8526993
-1.810298,-0.8713021
-1.793573,-1.1863781
-1.9643669,-3.212613
-1.7517505,-1.2460704
-2.2048945,-3.520972
-2.2871933,-2.1893718
0.66118383,0.7898919
3.0131147,1.9631351
-0.198694,-1.94572
-1.6299884,0.69595903
-0.37707016,0.72432846
-0.35194933,1.5979102
3.44217,1.8212466
-0.90734553,-0.28890818
0.6641862,-2.0600805
0.48477098,0.93991446
0.06205272,1.344463
0.06483618,-1.8721659
1.9105806,1.6244128
1.8624364,0.7518664
0.75339895,3.6326287
-0.5925825,1.7326139
0.15680934,-1.4817622
-2.960946,-2.6848457
1.5902568,0.3182898
1.8751863,2.1438227
-0.3898315,2.0734026
2.3015723,0.57959104
3.9226968,2.9218774
-1.9791816,-0.86643463
0.70631665,-0.20418693
3.915441,2.3541698
-0.65983427,2.304553
-0.58941233,-0.51371413
1.6656094,2.123562
0.5922027,0.0026526358
-1.1487821,-1.7504958
-0.8610674,-0.29438764
-2.5384789,-2.769607
1.0619158,0.40315402
2.2571733,1.0172127
-0.60003823,-0.7483687
0.9417447,-0.30278242
3.759643,2.2018764
-0.8743702,-0.3021434
2.5981796,2.8913143
4.415542,1.6957016
-0.27045327,-1.7801273
-1.4420264,-1.2807162
1.6996638,1.5008371
4.0659165,2.6947136
-0.41857332,-2.0483239
-0.7954296,0.6642311
0.69775075,-2.386251
1.5353128,-0.2413861
1.0099249,2.1477156
-0.225063,-1.1429065
2.3232925,1.034825
-1.421196,-3.0630455
0.2504509,0.44148853
0.7377387,-1.9840904
-0.41095608,-1.0937873
-1.5077987,-0.533534
-1.1209159,-1.0910398
1.8280499,-0.37460235
2.8014498,0.6174059
-2.8664682,-2.3059072
-1.425005,-3.165545
1.5016567,2.8966682
-2.2465584,-3.641084
-1.964623,-0.8350132
-2.5267706,-3.600144
1.4703399,0.39672434
3.6801152,2.3209355
-0.049287774,1.9153335
1.6235262,-0.6289757
-3.3547046,-3.0251417
-1.832038,-2.4254117
-0.5935147,-0.35478723
1.2128965,0.67348707
3.6099095,3.3984203
-0.5550687,-0.5227967
-3.2292564,-2.6246984
-1.9060699,-0.87597966
2.389897,3.5606127
-0.13850869,-1.1302257
-0.072520785,-1.2316568
0.045517854,-1.9865147
-1.4914639,-0.74124736
-2.1352532,-2.0970879
-0.7019116,1.9107414
-2.5960944,-1.6385093
-2.7428641,-2.8003807
-2.0686908,-2.6192026
-0.28022152,2.5999455
0.42650634,-0.69305223
-1.6796049,-3.0663326
-1.1442802,0.5481727
1.0436137,2.2468903
0.6811058,1.3571233
-0.8280705,0.7676265
2.3766475,1.4295874
-2.167828,-3.2698176
-1.0287572,-3.0477676
-0.051050212,-1.535381
-1.5909383,-1.1712178
-0.6965993,-0.8270995
-2.508748,-2.7682462
1.0571055,0.85604745
3.690697,2.861381
-2.5942578,-1.9259754
-1.9659795,-0.796585
-1.6186622,-1.9500875
-0.52065563,-0.4270661
0.04308481,1.4366307
0.5573777,-0.8494661
-3.5271823,0.7922463
-1.1841552,0.7379601
0.61643356,-2.039906
-0.88005865,-0.10498822
0.5466201,-2.180315
-0.5228047,2.2946045
1.7077628,3.176503
-0.8791716,0.111136235
1.0561992,-2.2475178
0.80708575,-2.038177
-0.0069055115,1.3014628
1.9941463,1.2499762
2.445902,3.5216544
-0.21291989,-0.81596136
0.44628105,0.004081299
-1.354904,-1.4420186
1.6530664,2.6230624
-0.43768144,-2.0400345
2.3866274,0.8205207
-0.41904524,-0.66951644
0.92150277,1.4837716
-1.1688644,0.6130695
0.45323905,0.09459374
-1.5679188,-3.2995462
-0.27176613,-0.6329627
0.46561512,-0.613724
-1.0993122,0.7072608
-0.20026904,2.5343783
-1.4182816,-0.6695662
-3.5670044,1.448541
1.4520011,0.6662218
-0.49347782,-0.18638568
-1.3445784,0.4929498
-0.7377847,0.8794856
-1.286577,0.3225547
1.1574656,2.0778518
-1.8229187,-0.7291221
3.979908,3.1678576
1.742184,1.9181226
0.7667073,1.3410959
1.2874633,-0.39205307
1.078819,2.3446875
-0.2696904,-0.42342487
1.1812948,-2.115284
4.2136393,3.0340357
0.5939251,-0.7655216
-3.175066,0.7876645
0.34618393,1.7856897
0.31514013,-0.46959502
-0.065544695,-0.2824532
-3.081528,-2.626136
-1.5766604,-1.6860781
-2.3135288,-2.2568412
1.0915314,-0.18394034
-2.579324,-2.811598
0.7491241,-1.4641337
-1.3166492,1.0045689
-1.0605104,0.02585725
0.52982396,-0.6876309
1.2329293,3.4870958
1.1900324,2.335587
0.32795095,0.55110306
-3.1204116,-2.7453945
0.5392961,1.7187676
-2.0882583,-2.3500106
0.0030545392,1.9271559
-1.2943112,2.9897313
-0.7188481,-0.20654167
