embed_1,embed_2
3.2764742,0.41351575
-1.9477106,-1.4543178
1.914327,-3.2937682
3.4327016,0.7411322
0.54355395,-1.4462298
-2.9192984,1.583738
-1.0586145,-2.36547
1.1004102,0.50813246
-1.243256,1.7064506
-0.87915134,0.78178394
-1.7543705,3.2684472
0.2476731,0.095870495
0.283948,1.6226133
0.5542496,0.9878426
-1.0222617,-2.409853
0.27327907,1.3930534
0.2761859,-2.0877323
0.36369586,0.49995667
-3.0477178,1.8212017
-2.6187758,1.3317982
0.27956682,-0.690169
1.9536127,-2.395944
-2.2879407,1.4351281
-2.0208824,-1.6471294
-0.6557617,-1.5847758
0.21653093,1.9690752
-0.6227721,-0.41863725
-1.311041,-0.2789125
-0.50336796,-1.8056998
0.2627304,-0.80372816
-0.92506284,-2.2493422
-2.0157726,-1.7223036
-3.0480683,1.6389573
-1.4074742,-0.26841378
0.8583232,-0.95237434
-1.3219924,-0.26328152
0.22774,-0.9016655
-2.0634465,-1.5033566
-2.0073988,-1.4647443
-1.1595067,1.6473002
1.6637522,-2.5814123
-2.052226,-1.3648393
2.974883,-0.7589043
1.0060422,0.26525724
-0.45523402,-0.43524525
1.8796313,-1.9088038
0.43159443,-0.8719082
-3.2286437,1.9402869
3.079381,0.5285802
-0.006979787,0.15623301
-1.6332831,-0.17313491
-1.1097939,-2.3876245
2.2438395,-2.66136
-0.8909903,-2.1838217
-0.9926481,0.7790522
1.8158855,-2.245223
2.1100338,-0.39176717
-0.9720865,-2.1359224
0.2107052,-1.8064444
1.0712601,-1.4242172
-1.5963328,3.4208205
-0.32827094,2.857031
-0.5397339,2.7250128
-0.6160969,2.6644015
-0.600475,-1.4272112
-2.5303285,1.3578365
2.3769825,-2.2018416
-0.37910154,-1.4625158
0.0957327,0.1711494
-0.810541,-2.6550443
2.0659747,-1.9890563
0.7833357,-0.36767203
-3.1262615,1.8801495
-3.0624483,2.031275
-2.074605,1.1374745
2.40315,-1.8876475
-0.6877008,2.4101605
-0.002321721,2.991039
-3.272574,2.1838307
-1.4948434,1.8754165
-0.24540783,2.7834175
3.3022661,1.0529321
-0.5901506,2.3105853
-0.6430943,-0.3854547
0.52421504,0.6336134
0.82031244,0.45058626
0.74318737,-0.5880124
0.38593444,-0.25133318
1.9740626,-2.1957905
-1.1874858,-1.7941593
-2.9686148,1.7864007
-0.62623084,2.1850393
-0.66577876,2.3700876
2.3287861,-2.2790923
-0.5026709,-1.8729165
2.9756129,0.35026565
-1.1366013,0.9768332
0.2019029,0.88237786
1.790272,-2.476286
0.21611796,0.286109
0.0895613,1.9631008
0.33067587,0.46707493
1.620404,-2.0826573
3.1920264,-0.06870307
2.8074133,0.13258588
0.44205004,0.26710844
1.7888833,-1.2023703
1.6146461,1.3667233
-1.036436,-0.028276049
-0.7545528,0.9224142
0.69401133,-0.2685269
2.3273213,2.5948026
-2.9259734,1.669099
0.26712304,3.3329847
0.7322744,-0.007574866
-1.7672743,-0.1318584
0.003719568,0.42780623
-1.7074686,-0.075403504
0.7313787,1.4254525
1.0893996,0.6246683
0.11040635,0.18489832
1.4404118,1.5611681
-1.5656803,1.8697511
0.11655445,-1.9733092
-1.1370064,-1.977368
-0.8525222,-1.2060629
-1.2505301,-1.9440356
3.1549187,0.6945744
1.8166684,-2.2177653
0.008900668,0.4573239
-0.5717304,-0.5381081
0.5299487,-1.8074025
0.11238959,1.9988105
-1.0019299,-2.1878574
0.54275626,-1.119023
-1.3173262,0.23727265
-0.5867259,-2.875985
-1.270777,-2.1599252
2.045532,-2.8502853
-0.82960165,0.49288428
-1.0097138,-0.16013023
-1.072146,2.591588
0.38504967,0.4819043
-1.7375791,-0.01616388
-3.1022646,1.8205327
-1.1075897,0.52047926
0.6074966,0.6609653
-3.0426579,2.1087542
-0.28954846,1.4555889
-0.6056038,-0.41883066
-1.1002363,-1.9213582
0.9217595,-0.8496755
0.3358249,1.9791714
1.1604867,-0.33678117
-0.20337808,-2.4552486
0.9182899,1.193733
0.728223,-1.3370788
-2.1966941,1.4565034
-1.2048256,0.9789041
0.5841889,-1.3197876
0.68547946,-1.6290617
0.90527034,-1.0256423
-0.050609887,-1.0237334
-1.6509473,0.03828968
2.1950426,-2.5212183
-0.9472748,-1.5766282
0.7083591,-1.5359639
-1.0724138,1.1957549
-1.2330695,1.0542641
1.0343925,-0.8579509
-1.3668205,-1.6707575
-2.2743802,-1.1230476
-0.7101803,-0.36402506
0.7832346,-1.1007557
0.69956505,-1.3223108
-2.2630086,-1.3779508
-1.2098174,-2.1883955
3.2329292,0.34765673
1.6240957,-2.6499836
2.2114675,-2.401463
2.018075,1.8718171
0.2786111,-0.5972701
3.0896206,0.27861628
0.6481927,-1.2300038
1.494001,1.4708002
1.6184372,-1.7794952
1.9831806,-2.2783375
0.4516722,-2.0828755
1.8769405,-2.2719753
0.4053453,-1.8631545
0.25897616,-0.93412805
-1.1854612,0.6742696
-2.3075264,1.4111204
-0.43298164,-2.006278
1.3921208,-0.07802863
0.58189243,1.5278122
1.6869786,1.1047175
-2.484269,1.5047106
0.420621,0.46436155
-1.0910934,-1.9671358
1.4293053,1.4245763
1.4400878,1.4276465
-0.7434223,-1.6884128
-0.93174297,2.0089042
-0.37123197,0.69843537
0.58141774,3.179333
1.8736393,1.12803
-1.1041559,-1.5976852
0.88469815,-1.2759336
-1.2389306,1.2623516
-0.7523511,2.5220342
1.7013612,1.4249578
-1.4394968,1.7004553
-2.9527097,2.0444686
2.119698,-2.0697482
-1.7486311,0.023416342
-2.729545,1.7516124
1.7727361,1.4561021
0.23229674,0.5085088
-0.5800791,2.3161767
-1.8834738,0.07534859
1.6168337,-2.581053
0.4886406,0.5041403
0.6980147,-1.3528748
-1.3696783,1.4714577
-1.2535367,1.943707
0.07511771,0.36609697
-1.7572459,0.06813252
-2.580368,1.4704082
0.5643712,0.25714839
-1.8683326,3.0043533
-2.7835398,1.6603779
-0.068838686,-1.0244945
1.6620541,-1.8299872
-0.052727196,1.6700661
-2.9062033,2.0522363
-0.5423571,-0.5468414
0.9869693,1.7497259
-0.851953,-2.246574
-0.8213957,-0.16488096
0.21704535,2.1777606
0.18869284,0.22355163
-1.4103228,1.8430191
0.3957395,-2.0373755
1.1974957,0.9242294
-0.97008914,-1.8922921
-0.06717591,0.42510438
0.723922,1.5202509
1.8528863,-1.6823534
-0.7377674,-0.33555648
-1.319432,1.9732541
1.142162,-1.1088876
0.5462984,-2.2557986
1.1279676,-0.8876567
0.7610884,-1.9547764
2.4383757,-2.1215663
0.83034956,-1.8685824
-1.1544365,0.9768624
-2.5565653,1.3959754
1.6091937,1.5468962
-0.1388391,-2.0327013
1.1549511,-1.317822
0.569711,-0.95650643
0.5462358,0.53581274
-1.0834588,0.90311104
-2.709993,2.0207763
0.52859473,0.2612385
1.1887898,-1.2269055
2.4991293,-2.2708526
-1.6932513,3.1899242
0.0028521188,0.395048
0.23270568,0.2141459
-0.6161542,-1.3848432
2.3921885,-2.0875869
0.78810054,-0.79765445
1.6819388,1.1735262
1.235594,-0.4639557
1.1190261,-1.1271248
0.6761805,-1.2873038
1.7500858,1.9912176
-1.9844661,-1.6570901
0.7772365,-1.947
1.1717646,0.51474446
0.3514439,2.1037319
-0.97678673,0.9441302
1.4061297,0.20058657
-0.70831084,2.2156725
0.8633669,-1.8201704
0.21682355,-1.9653367
0.14123867,-0.6104696
2.0258985,-2.1373372
-0.23580675,-0.5643466
0.9283449,-1.7153419
-1.0454526,0.76098543
-2.5781925,1.5567713
1.198873,-0.69498825
2.4273274,-1.9825379
0.39273074,-0.8414474
0.527308,0.37887082
1.308661,1.1423438
-2.1072276,-1.6310962
3.1911755,-0.06930654
1.1328052,0.5425847
-0.7405799,-2.0384102
0.5436539,0.986348
-0.6243921,-2.073805
1.9315434,1.4803351
-0.77776396,3.0102634
0.7379886,0.45477054
-0.9301729,-2.4291272
-0.85670614,-2.2341459
2.3162348,-1.2439667
-0.9095562,1.4691857
-1.5609831,3.0072432
0.31206658,-0.060468465
-0.7489516,-0.4961113
1.893542,-2.6548219
-0.3905035,2.453153
-0.47277477,-0.65367967
-1.061742,1.575973
0.36014545,0.054262877
-0.45800292,0.94804704
1.1582795,-0.17481264
-0.49580866,-0.6240094
0.51375866,-2.1427498
0.14010768,0.20489958
-2.2291172,-1.5974952
1.0446582,0.2667205
1.6623265,1.3849585
-0.6196225,-0.36535427
3.1509721,0.45182607
-0.90588623,0.7685157
0.6340412,0.18750386
1.3050306,-0.18874939
1.2849382,-0.08597538
1.30352,-0.38232785
0.3075258,1.5686523
2.1703181,-2.2528994
-2.7812371,1.7427635
-0.6010702,1.4889897
-0.7342066,0.40046757
-1.347774,-0.22021718
0.3412671,1.951906
0.11552969,0.06635488
-0.87834215,-2.3607385
-2.8408902,1.8517146
-2.1755216,-1.5640252
2.7954912,-0.035011653
1.4384025,1.0824081
-2.0872276,-1.5813786
0.82833904,-0.04169172
1.3140523,-1.2291236
1.3843145,-2.2054832
0.77203923,-1.24934
-1.5632097,-0.27382395
0.97449064,-1.5305969
-0.92259204,-1.8427938
1.2425957,0.25754488
1.0892274,-0.34146574
-2.1737676,-1.5352619
0.08719046,2.829991
0.39854926,1.900187
-0.39275917,-0.5479053
1.2447085,-1.327192
1.4498646,1.0230888
0.82146204,-1.2915081
1.4643956,1.2530806
2.1377296,1.886185
0.4927039,0.097201705
-1.0517166,0.7092453
0.65229964,0.60285693
1.8525316,-2.4931679
1.4467745,-0.7002541
2.9642737,0.116914704
1.1402824,-1.3765442
0.39446443,-0.70623326
-0.02762868,2.6565778
-0.07269345,-1.4596491
-1.472086,2.9511986
-0.99331063,-1.7700331
-0.84960324,1.7514341
1.1188589,0.32572937
1.9751672,-1.6840802
-2.7835577,1.5465639
-0.419699,-0.44132316
2.4035041,-2.2352068
-0.99125427,-1.9071972
0.7011061,-1.6855574
2.4082928,-2.1289284
-0.39598817,-1.111276
-0.6904463,0.55364436
-2.9039567,1.9402752
3.154561,0.08722458
0.6384411,-1.3868432
2.2949846,-0.8446315
-0.7716064,-1.9701703
0.8229867,-0.7322135
-0.27386314,-0.6137824
-1.0637318,-2.0964375
3.2183824,0.3381186
-1.3969003,-0.22779307
1.1265906,0.55796623
-0.15947548,-0.88158804
2.3908398,-1.7710214
1.2434868,0.25096408
-0.9144215,-1.8323026
-0.9533303,0.5143526
0.33519906,0.32176068
0.6591233,-0.14507753
-1.0325722,-2.227199
-1.0079106,0.8737911
2.4088557,-2.0012014
2.0561886,0.5971924
0.038915355,-1.4264855
0.56171596,1.445676
-0.54492617,-0.20748731
-0.8474548,-2.2107882
-0.48287797,-0.28240874
-0.30826285,-0.49092805
-0.7445344,-1.9184943
-1.1319498,-2.1801925
2.314143,-1.8142883
0.37741065,0.41519567
0.28456083,1.2973698
-0.48248234,-0.17062865
-0.7930912,-0.22950283
1.2577977,-2.0306063
0.32475278,0.38056758
-1.3914032,1.665695
-0.5275795,2.2565966
-0.90552783,0.4863298
2.344688,-1.6974303
1.710779,1.2861706
1.948667,-3.0662005
0.23301493,0.08314392
0.14779814,0.17295736
-1.9024026,-1.3620692
-0.79847527,1.6317282
-0.18126166,-2.3057797
0.39264503,-0.6355512
0.8377913,-1.4067228
0.4199614,-1.757288
-0.2753964,1.1151776
-1.3674816,1.875349
-0.9201418,2.922928
0.6795224,-1.1917273
1.3492708,1.0550745
-1.0821625,-2.047647
1.678668,-1.5310628
-2.0117314,-1.3219289
-1.9362572,-1.3817127
3.0087662,-0.21611027
-1.2112738,-2.5871117
-0.6027619,-0.32370493
1.7038835,-1.6453183
-1.4976813,-0.10337337
-1.2797397,-1.7963209
-0.43898332,2.4300723
-0.9491808,-2.0061157
-3.0412881,2.4720654
0.23753206,0.5689805
0.19574495,0.6324653
-0.7295986,-0.13616386
-0.6309341,-0.21075496
-0.43548334,-0.5709129
1.2823167,-1.7170868
-2.724278,2.4624236
-1.9541527,-1.4680353
1.3048797,1.368695
0.53272724,0.54527944
-0.21314608,0.37021285
0.90938,-1.1872032
2.182593,-2.4314268
0.8864785,1.3194437
1.3355899,1.0904734
1.6158398,-0.826805
0.83680195,-1.3770088
1.5866591,1.5429062
-0.8667412,0.771373
2.093465,-2.2460973
1.7374065,1.5805427
-0.04575846,1.5356485
0.011417902,0.7259743
1.9964758,-1.9759077
-0.5356468,2.582372
-1.0890038,0.9345403
-1.2906338,-2.2842183
0.8162702,1.9511073
-0.9207279,0.8851862
0.14765823,-0.8380857
-3.1025822,2.3329256
-0.30435446,1.4745674
0.2767883,1.9795631
2.868808,0.55340004
-1.400758,-2.3913093
0.4435378,0.6605854
1.419179,-2.3124712
0.54936975,0.01842887
-1.3168775,0.96220666
1.0783988,1.2638956
0.09827618,0.4973976
0.7640442,0.89852667
-0.9710566,-1.5158048
1.2556282,1.321451
-2.0585716,-1.3961052
1.9498526,-1.896111
-1.7290598,0.17120828
-2.9280503,2.0504322
0.8863958,-1.9116726
1.0150151,0.52217305
-1.066858,1.9448692
0.041784026,-0.30910072
1.4039431,-2.8410761
-0.55776745,1.10365
0.14395048,-1.6143394
0.4891045,-0.26945385
0.68913317,1.8218403
0.65028876,-1.4522208
-0.43628314,2.9198198
-1.2854202,0.087547414
2.0155842,-1.7962997
1.6931548,-2.5762303
2.0052688,-1.9579518
-0.18143223,1.2266495
0.68954396,0.69403505
-0.37010565,-0.48450994
1.5408233,-2.1441777
-2.7779558,1.6563681
0.010522429,0.512073
-1.4725704,-1.8256608
0.25590414,1.5856435
-1.5625874,-1.361526
0.63380754,-1.1770376
2.8694956,0.79300326
0.1607285,-0.16907023
1.5189408,-1.9779704
3.093316,0.42649022
-1.339443,-2.1762755
0.90890527,0.7718881
0.10365019,-0.15660648
0.31358194,-0.76154345
-1.5829072,0.14374761
-2.4027798,-1.1200904
-2.9711967,2.0022857
0.40851283,0.71063006
-3.1695101,2.0936906
1.3768029,0.6610609
-0.89399403,2.7132378
0.02527356,-1.3651223
1.2866117,1.4963672
1.3833508,1.6930121
1.2402053,0.5739589
-1.6420712,2.081402
-0.2568925,-0.9750336
0.58279234,0.6043243
1.9286283,-2.692204
1.1358854,-0.09054847
-1.2387819,0.7978482
-2.8577447,1.7040637
-1.1375495,-2.1260805
-1.8595965,0.15841347
2.1222644,-2.6489213
-0.65552616,-2.36415
-0.525384,2.5721817
-1.3775,-2.2391655
0.73036015,-1.2917112
0.563252,0.65211844
0.10657437,-1.865766
-3.1610184,2.013018
-0.600926,-0.32694316
-1.3311273,1.1845994
-0.84353673,-0.4460244
-1.159853,0.7940165
-0.22693549,-2.6198974
0.7401233,-0.8883586
-0.025124742,0.6364322
-1.3693156,-1.897347
-0.1139119,2.0678074
-0.4630753,2.578311
0.39157537,-1.1169556
-0.090880334,0.5169063
0.786219,-1.185279
0.034580942,2.6641352
