embed_1,embed_2
3.4722686,0.08183508
-1.0830512,-1.0825497
1.288202,-1.8045461
3.50475,0.5705606
0.5870563,-1.064355
-3.3764722,0.37980232
-0.63202024,-1.6520729
0.96067476,1.2435455
-0.9798707,1.7197158
2.2403138,-0.21287674
1.9104688,2.9804544
0.18352044,-2.3510575
0.12573418,2.7848694
0.5599811,1.6998289
-0.7000692,-1.460123
0.12218753,2.7084286
0.20209147,-0.8990707
0.35443833,0.90755564
-3.7051804,0.4327051
1.3639307,2.778411
0.6617553,-1.168061
1.272027,-1.311643
-2.5681727,-0.6151238
-1.1403868,-1.2281
-0.1372914,0.50178987
-0.48669493,3.5752487
-0.81233007,0.01365803
-1.7131021,-0.041095402
0.021856222,0.44322184
0.092779316,-0.020873612
-0.9612069,-2.2647848
-1.1421181,-1.0033141
-3.3349438,-0.31494555
-1.7928065,-0.1613098
0.39422393,-0.025417147
1.5319201,0.79113066
0.070977725,0.24247584
1.4680651,1.3462718
-1.1207516,-1.149286
-0.89890367,1.6466924
-0.8178044,0.62419355
-1.111046,-1.125783
3.115077,-0.6707617
1.1068429,1.3364345
-0.7301712,0.20005117
1.2692609,-1.0533124
0.2596723,-0.22866166
-3.4869018,0.19024286
3.2864876,0.45095
0.11216306,1.0005423
-1.9158916,-0.35603735
-0.5644974,-1.9825616
1.4726315,-1.709488
-0.3479685,-1.7957327
-1.6643106,1.0472401
1.1844616,-1.1635911
1.5115854,-0.22479285
-0.53117085,-2.0319076
0.028410753,-0.9821145
0.56786263,-0.30897874
2.225332,2.791971
1.3651301,2.0049505
-0.57521933,2.3320441
-0.7587264,2.136449
-0.39642614,0.6939455
-2.6021032,-0.10491628
1.5854952,-1.5638956
-0.35738912,0.27437747
0.3190232,-2.5543737
-1.0121056,0.884974
1.371677,-1.222714
0.383777,0.14875369
-3.3554275,-0.3241741
-3.113433,0.47986785
-2.394679,0.27350885
1.6037812,-1.4404223
-0.56558436,1.9568609
1.3659714,1.8999228
-3.4341846,0.28838205
-1.1340414,1.6215948
1.1289489,1.9892207
3.60623,0.8835437
-0.85137165,2.0733528
-0.58300537,-0.095063336
0.26137617,0.98547757
0.3820138,0.8858881
0.26979676,0.25281736
0.27751276,0.6462637
1.9280368,-1.6046554
-0.746301,-1.8621002
-3.154008,0.4902213
-0.8806864,1.8878051
-0.62925535,2.1387446
1.5381819,-1.680151
-0.658465,1.4092175
3.5285358,0.1689948
-1.6700122,1.0363487
-0.07755248,1.8689376
1.3321526,-1.4316586
-0.045715306,0.8368735
-0.41090798,3.5582864
0.11930103,1.1671398
1.1460245,-1.2579505
3.5353928,-0.30033696
3.4412355,0.10196351
0.2997615,0.73892784
1.3738949,-0.62624335
2.4835632,0.026546331
-1.106562,0.045674585
-0.8939566,0.76439
0.53985864,0.4451923
5.0429144,-1.1487136
-3.0232992,0.18900046
1.1013193,1.9413446
0.49233344,0.47483602
-2.1002858,-0.63377494
-0.022552093,0.99662983
-1.9936148,-0.19961356
0.88346845,1.5597545
0.88121,0.8274821
0.13518308,0.7290206
2.406125,0.1753165
-0.8729391,1.5875058
-0.12566876,-0.6448409
-0.7999708,-1.8134294
-0.33880824,0.33307236
-0.8083305,-1.8317113
3.4087975,0.60778195
1.4428012,-1.582829
-0.15144569,0.8889163
-0.9030167,0.6217173
0.2038595,-0.6748562
-0.14593963,3.46228
-0.6268859,-1.990548
0.26609346,-0.927469
-1.5429626,0.5544603
-0.8814666,0.5275936
-0.8077625,-2.1213973
1.6458344,-2.0228364
-1.6686954,0.67394173
-1.0949152,0.058853894
-1.361769,1.9475852
0.57251173,0.9270137
-2.0159307,-0.53804445
-3.4213943,0.29474473
-1.5656137,0.38806683
0.4792188,1.2335598
-3.7231834,0.9353147
-0.73038024,0.5075978
-0.30389422,0.047174722
-0.84071875,-2.2125757
0.738342,-0.07501423
-0.115717754,3.7368715
0.93977076,0.14582303
-0.3808113,-0.27906
1.9001307,0.015554241
0.6646501,-0.6825541
-2.5457435,-0.3066895
-1.458077,0.9736621
0.4649175,-0.40050918
0.40829682,-0.73311317
0.8398791,-0.5218721
0.2550393,-1.5443025
-1.866054,-0.4061583
1.8414499,-1.9804406
-0.54289407,-2.024125
0.5562837,-0.3431564
-1.2807795,1.0795206
-1.47235,1.0234332
0.8503634,-0.04329192
-0.94106364,-2.0429704
1.194529,1.2726558
-0.65031064,-0.097607315
0.6562042,-0.68109554
0.37836003,-0.84130484
-1.431444,-1.3053142
-0.8551332,-1.7646772
3.3248906,0.049935453
1.2592783,-1.7524468
1.4922515,-1.8820295
2.567665,1.2982877
0.29722562,0.082996875
3.140093,-0.021371778
0.2331601,-0.9288893
2.2644618,0.031158963
1.5682249,-1.0239892
1.5127188,-1.7500166
0.04115135,-1.0162977
1.4324058,-1.5871435
0.19468622,-0.7103893
0.29306552,-0.007703939
-1.547885,0.6583722
-2.7722158,0.4347959
-0.028550813,-1.8139668
0.7605884,0.3006713
0.5484633,1.7449303
1.9464256,0.73519707
-2.988555,0.027482042
0.36477214,1.2095594
-0.93251175,-2.2646194
2.3580267,-0.31553036
2.2719831,-0.41837227
-0.31344923,-1.6011323
-0.4853967,1.8972977
-0.4405717,1.5055652
1.013478,2.3316092
2.0212033,1.3603243
-0.7338903,-2.1415167
0.46022326,-0.23587051
-1.034154,1.4645259
-0.62901145,2.525281
2.3164167,0.5693519
-0.8290805,1.8062427
-3.7201662,0.715051
1.5933576,-1.2687935
-2.0744684,-0.54219663
-3.3779664,0.04855568
2.443449,1.5747378
0.21567549,1.3055186
-0.39911124,2.5179033
-2.1268637,-0.4781265
0.8406193,-1.6320773
0.35146448,1.1849729
0.553461,-0.6373469
1.7996781,0.6669595
-0.89033645,1.8597264
0.16535088,1.1369007
-2.0553784,-0.4187692
-3.1276429,0.30206493
0.56496453,1.1793276
-2.4339845,2.3779993
-3.6792293,-0.6146959
0.14674117,0.58078825
1.3564364,-0.7531606
-0.11548803,2.0570185
-3.5761235,0.5070854
-0.4459925,0.0060461503
0.76595014,1.8621688
-0.65835935,-1.9644338
-0.88063604,0.38773623
-0.46646097,3.3328357
0.17725144,1.3619345
1.6783943,1.8945553
0.011307379,-0.35994714
1.7627242,0.9592991
-0.7061571,-1.9621587
-0.043449305,1.1750301
1.6629276,-0.6377005
1.8313239,-0.4062414
-0.75486803,0.85217834
-0.67932135,1.9090422
0.87733054,-0.33125553
-0.018862806,-1.235929
0.87178224,2.178123
0.11120672,-0.35434395
1.7944702,-1.6009012
0.53824294,-0.3659797
-1.4284328,1.1603451
-2.9590776,0.3361502
2.2818625,0.08628182
-0.57749885,-0.089160174
0.7823918,-0.3347429
0.5095288,-1.2868015
0.08171868,1.1099163
-1.706248,1.1580849
1.4343628,3.0286875
0.56923425,1.1190748
0.76778287,-0.26546884
1.8091394,-1.6754415
2.0025854,3.0390542
0.38466924,-2.511122
0.3970492,-2.3356822
-0.51061165,0.6929662
1.7239274,-1.1441619
0.3714938,0.114831656
2.3155847,1.4498227
0.86917,0.34583923
0.4686353,0.016116146
0.23920028,-1.1174929
2.2337809,2.200199
-1.4915636,-0.9724776
0.30703008,-0.74440205
0.8649475,1.1622276
-0.41022867,3.3609035
2.4447153,-0.017439367
1.1730533,1.3241313
-0.845264,2.0956612
0.42899495,-0.39373922
-0.2398703,-1.2207845
