embed_1,embed_2
1.5381765,3.6843493
-1.5747365,-2.1167889
-1.0914065,1.3060989
1.7573752,3.9159453
-2.41896,2.188663
2.2223701,-3.5968063
-2.7610226,-2.7548978
0.04695873,1.5291246
0.52137583,-2.477065
0.7318992,-1.1231897
4.035192,-1.7975681
-0.33713764,0.56488705
1.950834,0.27234048
0.9932619,0.4026224
-1.0542414,-3.4372904
1.2063909,0.16359195
-3.3920841,0.97337675
0.39787626,0.4945437
3.1482499,-4.251364
2.291386,-2.8386521
-1.9625331,1.2324945
-1.6887532,1.6006093
1.1363156,-3.5703108
-1.4514437,-2.0250807
-0.79818857,0.34606716
2.4064968,-0.38857254
-1.6997392,-0.47194284
-0.8173742,-0.6211955
-2.6661859,-1.3179004
1.0160552,0.40126833
-1.8455133,-3.225308
-1.3618107,-2.4220252
2.6065383,-4.109962
-0.5679868,-0.89650327
-2.3695788,2.723075
-0.92143506,-0.7435148
-2.2021713,2.4242039
0.39670557,2.3965826
-1.2419915,-2.3231335
0.7935961,-2.0197706
-1.5467844,0.5617897
-1.2679249,-2.437197
1.0092624,-0.14914753
0.5626609,2.054002
-1.6011914,-0.3961082
-1.5031275,1.2212477
-2.282117,1.9996786
3.1577578,-4.218171
1.5529811,3.6320848
-0.5583761,1.1101794
-0.34818643,-1.3718019
-2.7226472,-3.3507116
-0.940802,1.3675215
-3.2214556,-1.7228234
0.3361981,-0.82480234
-1.6256789,0.87133837
-0.34441164,2.9383092
-2.84568,-2.9677665
-3.1837537,0.95517975
-3.560871,2.8193755
4.0923805,-1.6576328
3.4387553,-0.079834774
2.6525595,-1.6971109
2.156924,-1.4444253
-2.6885154,-0.5693742
1.4362984,-3.2639782
-1.2201436,1.8170534
-2.7133164,-0.5443124
-0.4547459,0.98432887
-1.2272639,-3.5912018
-1.4341624,1.9882959
-2.1458511,2.9148524
2.1543915,-4.14967
2.9586794,-3.3215692
1.4527262,-2.8515112
-1.0602299,2.2436318
2.0533223,-1.8733202
3.6336343,0.1784288
2.8591747,-4.1252427
0.32004315,-2.4578946
3.2783847,0.68813884
2.257808,4.022021
1.9710704,-1.6647995
-1.7823267,-0.6895807
0.29031917,0.6621915
-0.28315723,1.0783726
-0.9330943,0.5288371
-2.9593928,-0.5600084
-1.0550818,1.5554582
-3.4670699,-2.0952537
2.439658,-3.6092377
1.6213422,-1.7873247
1.5827966,-1.8462044
-1.1839666,1.7748344
1.108048,-1.8101158
1.5064529,3.310843
0.48034498,-1.2131429
-3.595715,-0.29948685
-1.5740476,0.93064135
0.0027741662,0.3622042
2.2099319,-0.2777041
