embed_1,embed_2
-1.5663836,-1.5205659
-0.89393646,-0.41169167
0.96122664,-1.4519672
-1.7936976,-1.4885336
0.5739918,-0.36926243
-0.31111923,1.935558
1.1809889,0.17309093
-0.27263317,-0.32233894
-0.54099977,1.0539719
0.06711334,0.63239884
-2.3313906,1.4200735
-0.32091746,0.12527359
-0.7465847,0.20611288
-0.9111579,-0.1992922
0.84705746,0.45051062
-0.82294095,0.33328032
0.92333335,-0.43368003
-0.34271964,-0.28621688
-0.41946945,2.1530924
-0.39833525,1.7280538
0.42544577,-0.34463114
0.413532,-1.2245771
0.055097286,1.3803829
1.2407055,0.91306806
0.10402435,0.03195699
-1.1980739,0.15861271
0.3933743,0.46026877
0.30868113,0.9131152
0.13150895,-0.121207416
0.20205438,-0.41232616
1.1331161,0.17587522
1.0137929,0.79906905
0.006534686,2.054185
0.34289137,0.71349174
0.30942437,-0.76812
0.6238074,0.7375062
0.13204087,-0.16068006
-0.6531497,-0.7200533
1.2284822,1.1324004
-0.53088754,0.8423987
0.35303172,0.30374765
1.0283971,1.0603882
0.44853985,0.32055077
-0.5494314,-0.7574914
0.7929491,0.079330355
-0.13777794,-1.3583691
0.31528422,-0.566757
-0.17582114,2.0495768
-1.5512738,-1.4602276
-0.06167419,-0.17973374
0.35565028,0.63451767
1.4012429,0.10579942
0.42566597,-1.6115459
1.2124099,-0.17181651
-0.19955535,0.7439499
-0.20290084,-1.3781714
-0.28025332,-1.1750104
1.2309465,0.13246574
0.5595567,-0.67718995
0.35033312,-0.93975073
-2.172847,1.139107
-1.5364802,0.56920516
-1.3054738,0.7333047
-1.2279539,0.7659255
0.72577083,0.07854062
0.103282675,1.560573
-0.11318078,-1.4178817
0.8616892,-0.18762948
1.4102715,-0.5521399
0.99894696,0.45970425
-0.08555358,-1.1945103
0.27735153,-0.61804277
-0.27179497,1.6778275
-0.5651402,1.6763415
0.16292116,1.4196284
-0.2677955,-1.4966654
-1.2408861,0.76627266
-1.9450747,0.41571084
-0.61472166,1.9318067
-0.78241795,0.98384166
-1.6342393,0.6956737
-1.6806552,-1.3680321
-1.2372408,0.8929767
0.62721765,0.0827405
-0.23365709,-0.2735271
-0.18324615,-0.21942483
0.09278572,-0.122065954
0.17761445,-0.027060514
0.11153288,-1.458462
1.7357965,0.21095504
-0.05121623,1.974409
-0.9973092,0.79258585
-0.98731565,0.9690728
0.13764697,-1.8012441
0.7381586,0.02305236
-1.2187041,-1.3847187
-0.2347342,0.8454446
-0.5928895,0.13991217
0.5894401,-1.2243865
-0.33477834,-0.15577154
-1.1397015,0.077601254
-0.104830734,0.10182011
0.35583767,-1.3607043
-1.0201979,-1.4101044
-1.1181577,-1.1987159
-0.2711284,-0.022706002
-0.29684517,-0.9338999
-1.178165,-0.9401057
0.75404835,0.24437486
0.25361714,0.06702628
0.30182153,-0.4214968
-2.4894295,-0.31394172
-0.03810741,1.8744607
-2.2190905,0.42383558
0.053075537,-0.5231257
0.63253504,1.1694316
-0.42326194,-0.117145784
0.68422467,1.000374
-0.63721246,-0.06674398
-0.27977332,-0.762335
-0.33411458,-0.18114306
-1.6428514,-0.89282125
-0.48561844,1.2250603
0.62435853,-0.32982457
1.0198097,0.39931846
0.19260423,0.10469139
1.5169502,0.33844492
-1.9062955,-1.4498955
0.31301713,-1.4340382
0.018978525,-0.14535514
0.47625646,0.101718895
0.4365548,-0.5200848
-1.4121143,0.13531148
1.4169842,0.15914862
0.5595054,-0.817481
0.15210712,0.679862
0.54515,0.3118861
1.645282,0.28055495
0.51769674,-1.6468005
0.07272968,0.4583889
0.45640922,0.4481185
-1.2392998,-0.46724802
-0.42814198,-0.032944255
0.44218132,0.900936
-0.03584714,1.7934849
-0.15478653,0.6593449
-0.48986253,-0.122129984
-0.46401644,2.0789118
-0.9163743,0.69143665
0.3837996,0.056644626
0.95104414,0.31146994
-0.03462646,-0.47198895
-1.3424845,0.21987359
-0.023134647,-0.76781845
0.832499,0.12557858
-1.0007793,-0.54400676
0.27576077,-0.73457015
-0.020461414,1.244902
-0.17862642,0.8167411
0.35869536,-0.73188466
0.36770144,-0.91558975
0.16028236,-0.63910615
0.8784474,-0.4266318
0.42250583,1.0706643
0.54557055,-1.7796934
1.6242486,-0.29446584
0.5179808,-0.7385267
-0.21976344,0.8098322
-0.17562263,0.8460503
-0.03368777,-0.5651546
1.5893064,0.34524345
-0.6638204,-0.68773645
0.6423353,0.20647034
0.51071006,-0.4919729
0.5897312,-0.5206234
1.222027,1.1452588
1.1521093,0.42895347
-1.4934205,-1.6324058
0.8788293,-1.0715804
0.51000804,-1.6772367
-1.8430126,-0.26144075
0.35136983,-0.3588937
-1.3759246,-1.5401604
0.55466396,-0.36092198
-0.88397133,-0.68226874
0.07189595,-1.0722408
0.64269817,-1.3226674
0.82258284,-0.73215365
0.61231315,-1.2028413
0.5235579,-0.6135748
0.41311872,-0.4609134
0.045363076,0.32480174
-0.296392,1.2217078
1.0815275,-0.5621185
-0.0934166,-0.75763786
-0.5740774,-0.1578228
-1.3367583,-0.76077133
-0.23443234,1.4331607
-0.17223881,-0.2651173
1.0939393,0.18017042
0.22841112,0.4986161
-0.9247759,-0.6649728
1.2622218,-0.24480414
-0.75867015,1.0232737
0.25099286,0.20391054
-2.00178,0.40847003
-1.210582,-0.5258002
1.9607381,-0.22167468
0.208912,-0.77206534
-0.19678693,0.7418901
-1.0917792,0.9923673
-1.4665734,-0.83994925
-0.5096519,1.0363823
-0.57601726,1.9121605
-0.037766553,-1.5261284
0.65307605,0.90595645
-0.099780016,1.6976986
-1.498524,-0.34465337
-0.2519178,0.11667077
-1.2716211,0.8845463
0.4672144,1.072088
0.8212925,-1.2192734
-0.3652446,-0.30412388
0.59279245,-0.55304515
-0.43408206,0.8941813
-0.8432987,1.078372
-0.29917845,-0.19773334
0.69793737,0.8787387
-0.09803918,1.7390501
-0.38891032,-0.3534622
-1.9768822,1.702671
0.17485127,2.0611236
1.2814523,-0.39123726
0.22156098,-1.0695273
-0.5713418,0.19268388
-0.44265264,2.3152385
0.68577886,0.0045824233
-0.79273075,-0.050575934
