embed_1,embed_2
2.5695384,2.7570374
-1.9840004,-1.3244213
-0.7505818,1.3174441
3.092169,2.8224378
-1.723528,2.6587615
1.9782478,-3.9140468
-3.5051143,-1.6949507
0.649196,1.0689456
-0.4740798,-2.6772327
0.5288448,-1.2517807
4.433485,-2.379427
-0.11298661,0.79920536
1.8430319,-0.29104748
0.8545048,-0.19124408
-2.0276883,-2.7258277
1.179822,-0.48177305
-2.8601828,1.8323663
0.5845722,0.26705775
2.3810523,-4.1798863
2.1223657,-3.3438308
-1.7156371,2.04135
-1.0463232,2.0121524
0.37026522,-3.3344166
-2.1206253,-1.1619728
1.0699714,1.6201422
2.2891235,-0.8862707
-1.5475136,0.11398018
-1.159444,-0.3278757
-2.7267036,-0.14233354
1.0793414,0.2755334
-2.8713655,-2.4315004
-2.0923882,-1.6633427
1.6716949,-4.5232277
-1.0710785,-0.7854374
-1.8613571,3.5262134
-1.0631579,-0.4511608
-1.424673,2.8840883
-2.1205375,-1.0963614
-1.9586221,-1.4990087
0.5995171,-2.4026775
-1.3135287,1.1791025
-1.746222,-1.901839
0.558174,-0.626303
1.187427,1.5690669
-1.2960855,0.27266374
-0.99642783,1.6439673
-1.9084389,2.905337
2.3760362,-4.557365
3.0075228,2.983945
-0.07454303,1.2299054
-0.75797313,-1.1517192
-3.7753515,-1.718371
-0.5494239,1.6400387
-3.6650581,-0.4393689
0.10845634,-1.0787098
-1.1994742,1.4975235
1.0492661,3.0453124
-3.9069312,-1.7854745
-2.6968613,1.7855754
-2.843412,3.6141381
4.2593546,-2.359637
3.008564,-1.2653421
2.2211838,-1.753453
2.1643746,-2.0867922
-2.9301014,0.48387593
0.8368786,-3.5362685
-0.31409281,2.052269
-2.955384,0.51534593
-0.109428726,1.11266
-2.0102248,-3.4569933
-0.34168547,2.5380836
1.2112851,0.5741084
1.6841251,-4.245182
2.5550218,-3.5477388
1.184381,-2.8745172
-0.18805057,2.5186327
1.7423241,-1.9664062
3.383879,-1.0047275
2.6599205,-4.1083536
-0.44840467,-2.6230643
3.4197052,-1.0964683
3.5669394,3.057843
1.9458816,-1.8185914
-1.908981,-0.21332222
0.85036963,0.6695852
0.5376237,1.3285586
-0.7779761,3.088791
-2.953288,0.21684396
-0.3932191,1.8412527
-3.1689901,-0.7398314
1.959138,-3.5696094
1.49899,-1.8974726
1.5779258,-2.096821
-0.12691163,2.3279407
1.0219843,-1.8509247
2.9308994,2.7284596
0.46301603,-1.046334
-3.341622,0.6263881
-1.0947005,1.7228277
0.43251383,0.55576485
2.3250403,-0.84681857
0.17227109,0.6293254
-0.9467906,1.7988603
2.3785589,2.5516522
2.210755,2.676315
0.124997035,1.0950812
0.59375954,2.887404
2.2747767,1.2766429
-1.0848559,-0.002911882
0.8590304,-0.35015678
-0.7882694,2.9260826
1.7590998,4.771098
1.5934979,-3.8507292
3.7958682,-0.5854853
0.8258351,0.5314011
-0.9890558,-1.335795
0.14548488,0.63897425
-0.64253306,-0.73927253
1.3458679,0.29085958
1.148034,1.2096786
-0.028284889,1.3213574
2.2065866,0.9597706
-0.07376665,-2.4621263
-2.2179267,1.4683065
-3.5264218,-2.6017387
1.2925599,0.14091362
-3.5820136,-1.782575
3.294459,2.6879761
-0.65131885,2.2732832
0.15914163,0.47552657
-1.0407875,0.67051953
-3.8863533,3.1291077
2.449822,-0.81478906
-4.061825,-1.1294773
-2.7952397,1.790793
-0.3004066,-0.5388834
-1.021417,0.70876145
-3.5737123,-1.5842676
-0.30683628,1.8606632
0.3213153,-0.69610536
-1.1246405,-0.018801767
3.2862377,-2.3043041
0.4351657,1.2550726
-0.79488444,-1.2330096
2.3189518,-4.128886
-0.26851007,-0.5182415
0.6427916,1.3091336
2.8461044,-3.7665148
1.1359613,-0.40054345
-2.1852512,0.18701777
-3.1539016,-1.8685243
-1.370014,3.5636272
2.2156706,-0.50084364
1.4540107,0.51673466
-2.125795,1.096399
1.9705356,0.97960514
-1.8989993,2.7231798
0.51894826,-3.0629942
0.2471081,-0.9820375
-3.2415347,3.0220907
-2.810501,3.191464
-2.9198856,4.2272215
-3.0055525,1.0257717
-0.81315935,-0.9489635
-0.2616116,2.1681542
-3.1167464,-0.32939574
-3.7963004,3.7087843
0.27342266,-1.3955036
0.19980066,-1.2421905
-1.3797026,3.6075864
-3.2296875,-1.2502322
-2.105859,-1.2765776
-1.6080599,0.025101546
-1.9637066,2.8590012
-2.3144135,2.8604238
-1.929055,-1.5188279
-3.5969684,-2.18951
3.0322583,2.9650588
-0.8197077,1.4544504
-0.066439524,2.014567
3.8056395,1.0437222
-1.7976272,1.4661918
2.6486685,2.925772
-2.4345956,1.9286971
2.1213617,0.63174015
-0.97037023,1.2728397
-0.6798267,2.0221052
-3.4497955,2.171342
-0.61291534,1.7145768
-3.8997016,2.6926644
-1.6171135,1.7821921
0.2594012,-0.6480543
0.8429684,-3.2130876
