embed_1,embed_2
-2.689996,2.4079733
1.8627442,-0.8664609
-1.641538,-1.90593
-2.6471214,2.4588506
-2.420048,-2.8337593
3.5037334,3.0437386
3.2670078,-1.9620271
-2.1805744,-0.039941527
3.0792036,0.8134345
0.5657246,1.9255836
1.2097243,3.4295428
-0.73399854,-0.41083884
-0.90174997,0.8140053
-1.5651642,0.4119044
3.5019026,-0.521906
-0.5720226,0.47543344
-0.65386146,-3.420929
-1.2755889,-0.021019032
3.64465,3.5086167
2.7970562,2.8491976
-2.1972363,-2.2110238
-1.781481,-1.6354831
3.4592462,1.7923785
1.9268607,-0.9153788
1.6511539,-1.9907225
-0.32791927,1.0821226
1.0498973,0.44357687
0.70875466,0.14531183
1.9970497,-2.3284276
-1.2129769,-2.8955824
3.522859,-1.1240433
2.100614,-0.8073411
3.7124329,2.9129097
0.8764873,0.053814523
-2.9932945,-2.8834932
0.6904075,0.087740235
-2.0140257,-2.3812468
1.8910182,-0.92317647
2.0131254,-1.0449047
2.8876498,0.84800524
-0.81397545,-1.5843692
1.9059726,-0.9612499
-1.7790258,2.0552135
1.8221759,-0.9468201
0.37067592,-2.0693226
-1.4940692,-1.5731199
-2.4403565,-2.8548613
3.603661,3.2716186
-2.6556156,2.4841812
-1.0778917,-0.6279161
1.0261973,-0.032716453
3.4675822,-2.0022562
-1.8850689,-1.4453857
2.8628967,-2.4702573
0.62045616,1.8975029
-1.2689658,-1.5195386
-3.3362517,-0.5437326
3.1515737,-2.1462214
-0.8219568,-3.2842183
-2.7766092,-3.664596
0.8009765,3.4342067
-1.9883451,1.3077272
-1.8504953,1.027752
2.3279476,1.4981664
0.8225938,-2.6255724
2.8547564,2.0673919
-2.3997726,-1.3526349
1.0298895,-2.728797
-0.9750931,-0.5936464
3.0880735,-0.528717
-2.7025168,-1.4856987
-3.0134187,-2.5978944
3.326675,2.7214983
2.8932786,3.1660833
2.5815184,1.9564493
-2.8851466,-1.2800333
2.0648537,1.2812153
-0.49584445,3.424484
3.1753273,3.3218148
2.8555782,0.4850838
-2.0698698,0.9198009
-2.7558858,2.4995165
2.043552,1.2980489
0.53749347,-1.424134
-1.6934963,-0.055452537
-1.7924166,-0.761996
-2.912967,-2.3793921
-1.3085978,0.087302156
-2.1665754,-1.3124793
2.4395943,-2.2067018
3.1960511,3.1115837
1.8722922,1.2420073
-1.6766958,0.8118458
-2.5794792,-1.4877176
0.34607115,-2.8096793
-2.2475598,2.4795806
0.71485496,1.8192786
-0.76876557,0.23898037
-1.3797487,-1.6236609
-1.0895727,-0.5116495
-0.30794597,0.85427785
-1.4205631,-0.4371141
-1.8239502,-1.6861949
-2.3259525,2.2356968
-2.4166806,2.2836256
-1.713213,-0.800285
-3.1667671,-0.9576449
-0.7228936,2.0368001
0.15541103,-1.5461667
-1.5933348,1.8276997
-2.428825,-0.65680337
-1.6914171,4.011792
3.3837836,2.9119906
-2.9807634,1.2420039
-1.9714648,0.0341358
1.464162,-0.25665605
-1.0621406,-0.6959104
1.0129137,-0.12189554
-1.9935503,0.35318995
-2.6607969,-0.18373913
-1.434408,-0.6306228
-1.0008361,2.2551007
2.9063318,0.5728875
-0.7917278,-2.8322282
3.1354277,-1.6321006
-1.7255725,0.16252176
3.0521364,-2.1538153
-2.8118777,2.739966
-2.3804035,-1.6577947
-1.2845826,-0.3191112
-0.680454,-1.7497891
-1.784358,-3.9589531
-0.63651735,0.9276434
3.1001346,-2.5478234
-1.1177042,-3.3177109
-0.47066608,2.9267588
-0.7086445,-1.8148041
3.1322083,-2.0977697
-1.8999876,-1.7430167
-0.19242792,2.1534488
0.9447636,0.5496381
0.08149514,3.2149844
-1.7381753,-0.71521914
1.0654296,-0.23093191
3.7943513,3.306331
0.0003035917,2.5520203
-1.9867727,-0.525639
3.284742,3.7861466
-0.015243893,0.42513204
0.24985231,0.12765655
3.0969946,-1.7919383
-3.360973,-2.7727456
-0.690398,0.89226806
-2.7052598,-0.2994644
-0.067016125,-2.622536
-2.15265,0.3570936
-2.7060554,-3.0700266
3.3133643,1.980469
0.3016444,1.9184492
-2.6068578,-3.0941818
-2.6148777,-3.8533266
-3.7350342,-4.183139
0.024023008,-2.6832283
0.84858876,-0.20968574
-2.5750384,-1.3757912
2.1486022,-2.0984704
-2.6588511,-4.077385
0.8033862,1.5673229
0.51677233,1.7406421
-3.6335683,-2.731367
2.542197,-1.7166252
1.6875224,-1.1635456
0.36517176,-1.7610233
-2.899022,-2.9559336
-2.6972136,-3.0489216
1.9725617,-1.1314623
3.2976573,-1.5727677
-2.6763713,2.4300852
-1.5691565,-1.6067349
-2.616888,-1.4223831
-1.4913067,3.5464404
-2.4217997,-2.3477316
-2.5734327,2.1971014
-2.0172915,-3.0709383
-0.93370646,2.0562215
-1.3620279,-1.7296365
-2.1970043,-1.6231291
-0.84593964,-3.5644426
-1.9686528,-1.6146654
-1.2234733,-3.7956927
-2.0164459,-2.3866398
-0.16117251,2.0115502
3.0478652,2.2002783
1.199722,-2.813374
-2.6408212,-0.44648722
-1.8691453,0.23959938
-0.8782047,2.5886958
3.4138634,2.404688
-1.3788619,-0.3870148
3.1570039,-1.6047385
0.005593562,2.6238847
-0.6741275,1.9924498
2.2746615,-2.3642945
2.5663054,1.0817314
2.4863126,0.7138096
-2.3295577,0.95466936
-0.85477304,3.0451832
2.5920603,-1.9368697
-2.4010327,-3.1775532
0.8192675,1.441524
2.292519,1.6728032
-1.132073,2.1992822
2.8881435,0.7382905
3.37188,3.3269715
-2.1575727,-1.5163693
1.3874965,0.0575936
3.4850097,2.7970812
-1.2437747,3.2244027
-1.0450206,-0.362808
-1.2511219,1.0777203
1.6040881,0.027092246
-1.0679678,-1.5325654
-1.2586476,-0.017530823
-2.272289,-2.8632612
2.173361,0.23881598
2.735176,1.0017911
-0.8120128,-0.1481503
1.3209448,0.07496068
3.0856514,2.507215
-1.6424975,-0.4084534
1.1701236,3.0002604
3.963985,3.3784125
1.2749861,-2.8522255
-0.2639631,-1.4040667
-0.6471296,0.51380634
3.2576852,3.66263
0.544794,-1.791346
-2.0281487,0.6206799
2.9643416,-2.4555461
1.1907308,0.8672369
-0.37114128,1.2166225
-1.1468781,-0.16783445
2.4835944,0.4999624
-0.43547657,-2.7284184
0.56685823,0.22345681
2.8798714,-1.647506
-0.60540074,-0.10699845
-1.0471427,0.8133077
-0.62136614,-1.4057895
-0.36238265,-1.5271653
3.1808236,0.577032
-3.3218374,-3.1886995
-1.3460842,-3.0295327
-2.0818524,0.7604353
-1.5709618,-4.206131
-2.4120562,-1.4885439
-1.8772703,-4.207549
0.80964607,1.7703308
2.7342563,2.8293324
-1.0872234,2.433925
0.70764667,0.48172912
-3.3775864,-3.9241197
-2.4427533,-2.562376
-1.3756816,-0.12068444
0.469605,1.8110433
2.8336587,3.2218478
-1.2739568,-0.54906595
-3.47005,-3.5399277
-2.6482341,-1.2687483
0.71351796,3.5313237
-0.8830389,-0.22735871
-0.54728764,-0.74288344
1.2918972,-2.0817587
