embed_1,embed_2
-0.090799056,1.0418892
-0.017659051,-0.3895399
0.2991496,0.14109568
-0.20350583,1.0576661
0.54682195,-0.4565019
-0.5810502,-0.6431405
-0.04115228,-0.54894096
0.17523627,0.32295665
-0.4946439,0.0848769
-0.27463913,0.25293568
-0.9507846,-0.24272312
0.23609626,0.07770144
-0.6894341,0.35045838
-0.039190106,0.32715002
0.063286066,-0.31945652
-0.67461556,0.08317119
0.36729318,-0.3254397
0.012071872,0.16344215
-0.5002941,-0.68938303
-0.27479833,0.5201574
0.3608547,0.019501781
0.4061022,0.090828456
-0.4939699,-0.15635192
-0.104865596,-0.5201097
-0.014952016,0.26127848
-1.1027962,0.61155367
-0.00047041278,0.29956567
0.010657818,0.13075839
-0.005927541,-0.29649433
0.28405547,0.12963903
0.083771504,-0.050779
-0.24054204,-0.46018043
-0.40005407,-0.7154134
-0.1599482,-0.18745376
0.35069934,0.34472248
-0.19329381,0.19724096
0.2708689,-0.0047553456
-0.32082772,-0.68938065
-0.07626109,-0.46854407
-0.39771655,0.18186839
0.41604054,-0.09507481
-0.22907354,-0.4604142
-0.33281678,0.14577165
-0.07597331,0.24577074
-0.022511164,-0.19485751
0.26239058,0.3053152
0.048733182,-0.08110092
-0.49095315,-0.6865407
-0.11664148,1.0288253
0.045180954,0.011995573
-0.21354187,-0.16029756
0.050901096,-0.17730777
0.6608524,0.05078533
-0.096160285,-0.20995979
-0.11826911,-0.15111986
0.6089464,0.1761539
0.24651596,0.6906426
0.008994451,-0.4748599
0.58978033,-0.4984481
0.8256309,-0.3631797
-0.9275482,-0.19285025
-0.63544494,0.50338376
-0.47295448,0.14489315
-0.7185476,0.251619
0.21498616,0.02702318
-0.65240586,-0.29553023
0.4019692,0.28188875
0.027460085,-0.23892754
-0.010488395,-0.050679293
-0.38487023,0.007704764
0.6733537,0.46068153
0.27141756,0.2831086
-0.60041153,-0.5476061
-0.7021732,-0.64462155
-0.4928028,-0.21508673
0.3628548,0.49667653
-0.4238751,0.21169634
-0.26706764,0.59404135
-0.6553426,-0.7230971
-0.69383144,-0.34472388
-0.43462792,0.1150081
-0.123500586,1.1076366
-0.4445699,0.23071246
-0.031102765,0.09091861
0.19364993,0.3705416
0.24044773,0.3505546
0.24934179,0.119780324
0.050471008,0.2158599
0.28555655,0.26278898
0.036619667,-0.4489304
-0.6648034,-0.64660895
-0.4929127,0.06539454
-0.49557847,0.30466926
0.7227396,0.24283616
-0.4014072,0.20826228
-0.31044272,0.87328035
-0.41610515,-0.13183007
0.09277735,-0.1618034
0.5252188,0.18107119
0.35760581,0.14822759
-1.0637199,0.7698202
0.008468182,0.20996197
0.5774951,0.22784328
-0.42118725,1.0033593
-0.18887275,0.98308486
0.2551766,0.2982111
0.5368485,0.53246564
-0.3564717,0.13843103
-0.13636501,-0.00017188927
0.05940393,0.13065611
0.15778348,0.25571516
0.7569412,0.67726475
-0.429998,-0.21090207
-0.23818356,0.65549445
0.10220177,0.35790074
-0.25627142,0.09347234
0.06309314,-0.13443261
-0.26086396,-0.15300068
-0.052782975,0.4621702
0.21302728,0.3949144
0.3319187,0.22124635
-0.32655507,0.34678945
-0.53335935,-0.019679246
0.5526887,-0.25682294
0.19583344,-0.18836835
0.23492882,-0.07231205
-0.101969734,-0.32391474
-0.08677475,1.0264149
0.43870065,0.13766953
0.025319783,-0.12026281
0.060791463,0.017155748
0.46903062,-0.36074647
-0.8640621,0.5894687
0.08121661,-0.4500961
0.5970777,-0.48707324
-0.203433,-0.1046112
0.25268796,0.01676903
0.13961713,-0.3726072
0.43660638,-0.010279927
-0.36453554,-0.09034009
-0.26084778,-0.111934565
-0.37038717,0.09804951
0.16511849,0.045928534
-0.24130002,-0.16214854
-0.50587684,-0.81243914
-0.07097739,-0.12543277
0.16962585,0.124121115
-0.29279765,-0.56850994
-0.17612898,-0.20115656
-0.029295335,-0.10779026
0.14766394,-0.30309346
0.32990035,0.1383221
-0.77761275,0.62274736
0.0036632475,0.23500693
0.29574823,-0.009012406
-0.26772082,0.20600568
0.66753906,-0.3805175
-0.14576574,-0.045923613
-0.34197155,0.06214089
0.6618998,-0.49684954
0.7230245,-0.5139718
1.0239624,-0.43436748
0.19963992,-0.1593738
-0.20511164,0.13972682
0.52231205,0.057851035
0.1321985,-0.2834175
0.8300236,-0.47502282
-0.4838841,-0.09148236
-0.32041946,0.10990839
0.051397372,0.22316013
0.12511674,-0.19693957
0.05863368,0.2415173
0.062342048,0.1115369
0.6067257,-0.26593584
0.667147,-0.33562472
-0.03658676,-0.49581277
0.15679356,-0.15169823
-0.17078127,1.0520902
0.45490783,0.0032944088
0.66952354,0.09724952
0.80308294,0.9302639
0.020064354,-0.10945123
-0.09867379,0.836349
0.5201485,-0.14341962
-0.2968263,0.5474637
0.46735656,0.30984205
0.38747928,0.30238444
0.5138166,-0.34966698
0.52617353,0.061870802
0.38256326,-0.38096014
0.097230256,-0.08077636
-0.25575638,0.13670027
-0.65862393,-0.12895155
0.1501081,-0.18216482
0.011458952,0.55434865
-0.11108821,0.4427507
-0.17735358,0.52084804
-0.4548472,-0.2710662
0.074668236,0.05113784
-0.15932591,-0.45499015
-0.23513336,0.16905457
-0.30854517,0.3498601
0.20938095,-0.497591
-0.5973874,0.19211757
-0.017760826,0.066294625
-0.23188552,0.3847133
-0.049010575,0.40754765
0.14591752,-0.5747425
0.7577882,-0.42769596
-0.13103037,0.16824359
-0.6592725,0.13400693
-0.07954617,0.46145278
-0.58505297,-0.11354928
-0.34861338,-0.622441
0.49841195,0.35268193
-0.23861064,0.093664974
-0.5221394,-0.5171401
-0.36914092,0.5672946
-0.013581701,0.107866205
-0.6874889,0.30199692
-0.2895307,0.18939917
0.51326716,0.13689396
0.08907935,0.15897898
0.62008053,-0.38899666
-0.36174452,-0.005157379
-0.6455232,-0.05429827
0.059363462,0.16841245
-0.07042948,-0.19080724
-0.6190732,-0.55610275
0.091859385,0.29153007
-0.7409169,-0.20304896
-0.48399225,-0.64783525
0.34413666,-0.051261175
0.3607345,0.2625042
0.27293995,0.064284526
-0.388507,-0.7738408
0.22211985,-0.018542577
0.21792476,0.23569918
0.1813856,-0.21870492
-0.31171867,0.0030826486
-0.8917808,0.77542317
0.099139474,-0.009828622
-0.36271426,0.1893805
0.20508188,-0.3941452
-0.16327356,0.23796642
-0.12072494,-0.38533413
-0.046365723,0.09190025
0.1963575,0.33466628
0.0754829,0.13468528
-0.19834973,-0.12020223
-0.5050063,-0.060634445
0.3328094,0.09305604
0.47929204,-0.44705024
0.17339747,0.33194363
0.3619045,-0.44693172
0.75528014,0.27115294
0.45187485,-0.3768577
-0.30546254,-0.14103544
-0.5196595,-0.5783856
-0.12897219,0.30889368
0.12556948,-0.21124262
0.95085335,-0.3850024
0.23843805,-0.051812317
0.16263716,0.24555722
-0.19462642,-0.1194008
-0.1380726,-0.8023171
0.034754753,0.27356467
0.82588744,-0.29252762
0.61813164,0.18219124
-0.91646117,-0.23746029
0.24203423,-0.072478764
0.19762781,-0.23746224
0.16691498,-0.24698313
0.6567871,0.08335371
0.32926515,0.08836198
-0.292171,0.6375764
0.31724575,0.38914338
0.5684492,-0.49538922
0.4019486,-0.15626903
-0.043247588,0.6640968
0.094566144,-0.33011565
0.47541356,-0.30422592
0.059776917,0.2680596
-0.98573613,0.5490259
-0.096698865,0.031243697
0.20806736,0.23733063
-0.7078864,-0.120355345
0.445557,-0.32355088
0.08030516,-0.12916861
0.34584314,-0.38953632
0.65930104,-0.07692637
0.2298503,-0.078417934
0.5204579,-0.41943088
-0.17576787,0.021553004
-0.3620606,-0.729129
0.3094061,0.052512165
0.71028095,0.020247156
0.36340743,-0.17611745
0.241292,-0.079095095
-0.04928448,0.13004515
-0.039726872,-0.37692532
-0.20813859,0.82100356
0.24671581,0.27269325
-0.042996,-0.34812865
0.31517678,0.020733273
0.03789362,-0.3077716
-0.14932163,0.64561135
-0.23627144,0.19399853
0.2875019,0.08568666
-0.062863156,-0.51634496
-0.00018675365,-0.5079727
-0.14307271,0.042426642
-0.27447295,0.17395106
-0.8564984,-0.38884142
0.11128953,0.0019339363
-0.13860747,-0.17590079
0.4252646,0.16435795
-0.46830738,0.09574095
-0.025063196,-0.22493866
-0.3423744,0.001915717
0.27309784,0.197913
-0.46755597,0.0729017
-0.0004481065,0.48936462
-0.14328022,-0.15960668
0.55991864,-0.3712267
0.05333107,-0.12926708
-0.15983374,-0.5687199
0.004162956,0.47722137
-0.040644176,0.62920326
0.6170405,0.17643689
-0.27883437,1.0500311
-0.3849097,-0.036389302
0.2484442,0.29040053
-0.013650134,0.4559224
-0.057794984,0.45418474
0.3118719,0.50369567
-0.47891912,0.1669401
0.6562968,0.29174846
-0.61237925,-0.84646153
-0.6166396,0.37054613
-0.07989647,0.2671159
8.876896e-5,-0.19866024
-0.99576855,0.8066279
0.2727174,0.26494265
-0.14592774,-0.4101853
-0.48218858,-0.67437136
-0.07705983,-0.43971702
-0.1338293,0.8871186
-0.061283126,0.44223806
0.10441368,-0.6601021
0.2950427,0.32940617
0.89783794,-0.30246145
0.23928341,-0.2647268
0.38358352,-0.13022885
-0.03527617,-0.16537227
0.5508942,-0.26683554
0.05913072,-0.5829236
0.00055446906,0.52682436
0.19429787,0.42108336
-0.06401599,-0.45149815
-0.37687552,0.53252244
-1.0044975,0.6575972
-0.1440693,0.29859248
0.44172782,0.40747744
-0.12954272,0.17737187
0.526143,-0.55080926
-0.063909404,0.6178224
0.7045403,0.91894275
0.11883252,0.30032855
-0.43510732,0.12362945
0.21727115,0.0332857
0.6682313,0.13229871
1.179831,-0.2067126
-0.14314945,0.841106
0.6898162,-0.39013052
0.41485703,0.098499134
-0.43004298,0.50282395
0.3029144,-0.20387082
-0.7608566,-0.2792106
-0.012686098,-0.41095737
-0.6236245,-0.088764705
0.013982858,0.17922162
0.1810848,0.119267136
-0.44788775,-0.34062356
-0.1279292,-0.12749892
0.59835875,0.15089208
-0.10267472,-0.20980337
0.45263004,-0.34824362
0.6042876,0.11575906
0.15879849,0.008338784
-0.39303875,-0.08416987
-0.52600455,-0.65789497
-0.4357024,0.9764665
0.2309855,-0.3424925
0.37836972,0.3545889
0.24809296,-0.1758993
0.2568154,-0.2770948
0.25549632,-0.25974098
-0.14868942,-0.5115186
-0.08928842,1.0784241
-0.26497027,-0.14020917
0.038538907,0.28506127
0.2869856,-0.19425277
0.7244754,0.39363906
0.13563788,0.2809415
-0.101353794,-0.39510727
-0.25844577,-0.13275687
0.29125467,-0.1144419
0.081113696,0.01131299
0.102027774,-0.48044434
-0.3536787,0.11428025
0.5005346,0.08304384
0.26151216,0.3910431
0.17247432,-0.10215383
0.0124271065,0.051511556
-0.17889489,-0.18212408
-0.001731614,-0.40470853
-0.09880445,-0.18395476
0.051616225,-0.043023292
0.27950686,-0.4731206
0.02482507,-0.48367047
0.678668,0.31421208
-0.035739537,-0.097443804
-0.032539986,-0.016577657
0.1296067,-0.22061695
-0.045588605,-0.20068066
0.735356,-0.24509211
-0.05983677,-0.09475364
-0.6665885,-0.14650743
-0.5326091,0.26050404
-0.09428301,0.1791268
0.6873048,0.40497234
-0.32041118,0.5833083
0.46873266,0.06892341
0.089761324,0.003601377
0.01273295,-0.11844928
0.086081885,-0.5650876
-0.56931573,0.24861535
0.3024042,-0.3797108
0.15098818,0.13045321
0.5727128,-0.35529694
