embed_1,embed_2
2.5317318,1.6599158
-0.90513927,-1.1488979
-1.7059565,1.2122158
2.8089457,1.7805327
-2.1576607,2.4232297
3.4707117,-4.223616
-2.2448583,-2.0519423
0.43154854,1.6408682
1.3091975,-2.9916391
1.4793832,-0.5595531
3.7918854,-2.272742
-0.38766226,0.29598024
2.2217667,-1.395306
0.34709537,0.5804475
-1.398024,-1.4980973
1.8754125,-1.7582021
-2.7309759,1.870212
-0.12366878,1.0081071
3.6552513,-4.2838545
3.7559512,-3.351791
-1.6394209,2.343331
-0.9755197,1.8618834
2.5870833,-3.6658232
-0.9002201,-1.3076943
-0.43932205,1.0042444
2.3519177,-1.2159761
0.6775115,0.11263664
0.40864652,-0.47752377
-2.4701078,-1.1862836
-2.141078,2.2646534
-1.4124442,-1.944961
-0.93321574,-1.5076127
3.4099522,-4.4873614
0.057303354,-1.0449415
-2.1064966,3.1256104
0.43772566,-0.3451491
-2.0114427,2.1292841
0.40714237,0.34404153
-0.8589787,-1.381022
1.4215835,-2.504099
-1.4279393,0.86451596
-0.8316442,-1.4381791
2.4414582,0.8524025
0.58215755,0.70952237
-1.2814617,0.02473961
-0.8304427,2.075111
-2.058562,2.525177
3.6333518,-4.3886623
2.7593386,1.7481309
-0.32872406,0.7035306
0.21672392,-1.1757436
-2.3109708,-2.0547352
-1.1530231,1.6298826
-2.5907416,-1.4096566
1.2076665,-1.0257185
-1.0614525,1.6109228
-0.11037445,2.7823768
-2.4586453,-1.8316984
-2.7687216,2.159807
-2.7453992,3.497843
4.103584,-1.9571081
3.2251914,-1.6090038
2.8612275,-1.911388
2.6049075,-2.0804331
-2.662593,-0.3788358
2.8510005,-3.6080053
-0.92865926,2.101321
-2.6047652,0.124150224
-0.46987927,0.28580594
0.31845042,-2.2604134
-0.89699763,2.5539348
-1.9242796,2.8309805
3.2139647,-4.03939
3.6630409,-3.6600816
2.4313757,-3.2017689
-0.7044404,2.4936018
2.3036509,-2.4964113
3.6138914,-1.0357943
3.7076235,-3.8929741
1.3397923,-2.94185
2.745534,-1.7655382
2.92864,2.009743
2.1724987,-2.2896626
-1.0709902,0.18376298
0.16779302,1.1324803
-0.08122901,1.1866784
-1.6582333,2.518106
-0.24796376,0.7338794
-0.8128447,1.718529
-2.4953153,-1.7299749
3.338085,-3.9912634
2.294148,-1.9660165
2.2430074,-1.9216251
-1.0038638,2.0958984
1.5316875,-2.39442
2.718456,1.480582
1.2231286,-1.1301357
-2.318937,0.95041203
-1.3408277,1.520978
-0.49615407,0.63184124
2.3177128,-1.1228329
-0.21792266,0.74765116
-1.1503894,2.0497963
2.420938,1.3537525
2.4929597,1.5588412
-0.2505708,0.9496996
-0.5449344,2.6261241
1.6161289,0.060888946
0.166872,-1.5171103
1.6022453,-0.2556366
-0.30536887,1.2765776
1.6549762,4.037802
3.223578,-3.9029574
3.9697447,-0.49087897
0.03352208,1.4114058
0.043193106,-0.91009957
-0.5249061,0.47376066
0.18548353,-1.0492182
0.47142664,1.7698376
0.53475755,2.3357017
-0.45520037,0.9324444
1.6764011,0.44163465
1.284678,-2.8398426
-2.806321,2.0696704
-2.0705893,-1.4423376
-0.40609568,1.068595
-2.3322961,-1.7543702
2.8991616,1.9466916
-1.0684073,2.331494
-0.4162928,0.593238
-1.621069,0.715078
-3.3190513,2.7545123
2.3447855,-0.88142335
-2.589694,-1.4129518
-2.4604657,2.892699
0.86967504,-0.34192738
-1.725626,0.65589696
-2.6612444,-1.9016814
-1.270102,1.7106127
1.1636635,-0.56731534
0.27743253,-1.576084
3.1988704,-1.6250786
-0.2702587,0.9640705
0.095740885,-0.7832621
3.1803443,-4.140291
0.84319377,-0.43227383
0.022694726,1.2466462
3.6741953,-3.6814513
1.7334739,-1.4981008
-1.2828158,0.43829793
-2.3249102,-1.2228464
-2.0754936,3.3775496
2.334005,-0.7405696
0.021760015,1.985144
-2.621807,1.1980554
1.1779453,0.67046833
-2.4848375,3.0192182
2.2295873,-3.3092973
1.2011275,-0.7425831
-2.5978703,3.0902965
-3.1078482,3.2739666
-2.8312824,4.2946143
-2.5659926,1.7702053
0.096663386,-0.6447525
-1.0676979,2.1183114
-2.7965398,-1.1947792
-3.2026472,3.4816425
0.95648587,-1.228653
1.1621118,-0.6365384
-2.1269433,3.6087976
-2.5854442,-2.0956104
0.40502167,0.6964794
0.20686503,0.16100785
-2.4826143,3.3318226
-2.5759933,3.2907398
-1.1084958,-1.1938453
-2.2221668,-1.6381167
2.4787142,2.0527964
-1.5236309,1.5831046
-1.0519578,2.24493
3.9961143,0.24869888
