embed_1,embed_2
-1.3348202,-1.6042589
0.61024684,1.003251
-0.071878344,0.43675694
-1.3044808,-1.779605
-0.65009266,0.13987504
1.6827104,0.8704267
0.056654967,1.4008442
-0.17455807,-0.6849889
1.6237868,-0.5148386
0.16227648,-0.94956887
1.6189861,-1.8523253
0.091192774,-0.26496097
0.67016613,-0.8961007
0.14178668,-0.8519661
-0.13641742,0.90785646
0.5616863,-0.6622768
-0.48562044,0.36696404
-0.31025577,-0.46277362
1.908577,0.7779817
0.15966888,-0.9542364
-0.81771827,0.15914753
-1.1630372,-0.4259806
1.1816616,1.1692673
0.39125988,0.9274769
-0.33963436,-0.39116892
0.7851714,-1.0425858
0.34799996,0.5496392
0.5968524,0.2901771
-0.3630234,1.2238872
-0.3687147,0.44631383
-0.20140412,0.7998764
0.58262134,0.98274785
1.843557,1.1004246
0.64740807,0.3308067
-1.2388133,0.32445648
-0.06434165,-0.7505994
-0.38780144,-0.009694821
-0.42437965,-0.7803535
0.42715153,0.8897855
1.5425801,-0.72174746
0.12814653,0.3863648
0.42627263,0.87148064
-0.054674804,-0.79572505
-0.4572133,-0.8450203
-0.022989864,0.1991225
-0.7844545,-0.42881948
-0.6019335,0.38170972
1.717049,1.029772
-1.3946168,-1.6307822
-0.062160157,-0.34760302
0.7694973,0.5376246
-0.25341013,1.3207594
-1.1808548,-0.44127226
-0.10112505,1.1339636
1.1506597,-0.25074
-1.0509955,-0.41263705
-0.887178,-1.0905734
-0.014501694,1.3414109
-0.54305243,0.38979846
-1.1823869,0.60810184
1.463228,-1.8885489
0.8985118,-1.6599568
1.0124698,-1.5227011
0.9932658,-1.3966806
-0.001607297,0.90023905
1.3543196,1.1793046
-1.381661,-0.46652895
-0.38140196,0.5779655
0.051270086,-0.03792731
-0.1267056,0.5243449
-1.1819853,-0.55152583
-0.6252906,0.44577372
1.386332,0.7450682
1.5610126,0.39655846
1.6724374,-0.19954328
-1.0347252,-0.41327134
1.2662588,-1.1587592
0.71305513,-1.8481574
1.7423044,0.46832806
1.5685512,-0.4380256
0.802891,-1.6133302
-1.0179809,-1.8321924
1.3065757,-1.1190325
0.34387058,0.262715
-0.027379192,-0.29662094
-0.3718879,-0.19965126
-0.7279778,0.09371547
0.14722002,-0.20816933
-1.116834,-0.4423152
-0.25537223,1.5724959
1.6344928,0.6774949
1.3877348,-1.0451775
1.3980373,-1.0190597
-1.4058181,-0.2818862
0.5990397,-0.1311744
-1.4675039,-1.326557
1.0862172,-0.24722554
0.14453524,-0.43462935
-0.952674,-0.34229445
-0.18923639,-0.27584577
0.73417145,-0.979068
0.10152001,-0.1283911
-1.1155548,-0.3263773
-1.4284906,-1.2391931
-1.340806,-1.3777368
-0.39387918,-0.20593369
-0.72533095,-0.83615595
-0.18370898,-1.0399241
0.13080156,0.61766815
0.7835245,-0.037687633
-0.56235594,-0.1339393
-0.12499407,-1.8683765
1.617344,0.64023733
0.27883047,-2.217473
-0.29913837,-0.2288298
0.7168635,0.62321794
0.11699872,-0.035627298
0.61438024,0.48237592
0.15205361,-0.581547
-0.47419366,-0.6473168
-0.37078634,-0.08185527
-0.21192107,-1.1880395
1.5311605,-0.6482847
-0.70207566,0.6276301
-0.14272766,0.96523964
-0.34491706,-0.45150045
-0.19661146,1.0871086
-1.374264,-1.798568
-1.1293755,-0.39738172
0.01088168,-0.2536721
-0.10713143,0.43851674
-0.9932091,0.876055
0.65172553,-1.0021504
-0.3414663,1.1374512
-0.9758795,0.55882066
0.5883358,0.035519622
-0.14791556,0.76049423
-0.21295041,1.2073249
-1.3599573,-0.13949265
0.9830059,0.23598872
0.2329594,0.33871582
0.17408957,-0.76012015
-0.3019264,-0.24399109
0.53002316,0.65716136
1.7675427,0.82377493
0.91023386,0.43361416
-0.094819985,-0.23561662
1.9874859,0.50569254
0.5281343,-0.29798183
0.17150387,0.49320224
-0.0073769917,1.1780761
-1.2141026,0.20547973
0.5545116,-0.9754506
-0.43144345,-0.62031084
-0.041799646,0.65578175
0.079241216,-0.9187877
-1.1008724,0.5125993
1.1355487,1.1850857
1.0276185,-0.07351797
-1.077846,0.3807069
-1.1655151,0.87130976
-1.5594409,0.9533888
-0.55973977,0.23901963
0.4989453,0.60143185
-1.3543692,-0.51389086
-0.24401961,1.4150004
-0.8764267,0.94766617
1.1424543,-0.21834125
1.0609425,-0.047916178
-0.43055165,0.07287905
0.04306352,1.6675552
-0.15422453,-0.56930435
0.14040157,0.52314454
-0.85825807,0.2725023
-0.8420778,0.58611083
0.5370966,1.0683682
7.76053e-5,1.129284
-1.5184371,-1.308599
-1.143822,-0.10660389
-1.1557893,-0.15908645
-0.3879265,-1.6188478
-0.61069006,0.3299689
-1.334443,-1.1543643
-0.7075661,0.45341104
-0.22091109,-1.1459856
-1.0595118,-0.26898843
-1.261023,-0.36342382
-0.5521235,0.6670218
-1.033432,-0.09435395
-0.6166432,0.93712056
-0.53795785,0.098502584
1.02505,0.28958327
1.0496956,0.92683
-0.5142426,0.6437268
-0.6982931,-0.5301249
0.32792008,-0.8343016
-0.33436716,-1.0815179
1.1179746,0.98156446
-0.01795535,-0.11887851
-0.0035627878,1.1733526
1.0265443,0.14280258
-0.0054825074,-1.0062011
-0.28419983,1.2675711
0.019210322,-0.48767614
0.30999812,0.037607953
0.40682665,-1.9258256
-0.33217686,-1.1724685
-0.112898774,1.6198758
-0.9152921,0.38319185
1.1951046,-0.16817597
1.0231123,-1.2157624
-0.12538604,-1.2819954
1.5690118,-0.6909958
1.7754886,0.6112803
-1.1076486,-0.5209964
0.5725141,0.3671421
1.5055072,0.91407853
-0.46123675,-1.5335964
-0.095782086,-0.33536953
1.0806651,-0.9427237
0.5593965,0.38437483
-0.8956708,-0.16692902
-0.18016705,-0.39620617
-0.8041429,0.37071997
0.0767707,0.7423938
1.546461,-0.8227153
-0.050620183,-0.22253484
0.8044214,0.4770235
1.4329295,1.1496893
-0.13181385,-0.37703696
1.5605036,-0.5102963
1.6789247,1.5901954
-0.42833892,0.17502052
-0.7602172,-0.4784609
0.31929094,-0.5089706
1.88009,0.87719524
0.10445353,0.516693
0.3199294,-0.55169904
-0.052249823,1.0984892
0.20085442,0.6044785
0.7519204,-1.0106657
0.21924785,-0.11795314
1.3253387,-0.6540083
-0.4573901,0.75605625
-0.13102074,-0.6556405
-0.2726946,1.1430001
0.067138836,-0.12625857
0.34101185,-0.6972149
-0.8901795,-0.45822498
0.088787414,0.8383238
1.5733802,-0.80933213
-1.2850424,0.21637364
-0.54736507,0.35405135
-0.06494657,-0.60351896
-0.8412743,0.7613291
-1.2922672,-0.33286786
-0.977541,0.7467096
1.1832893,-0.03905622
1.5309697,0.8040596
-0.033161897,-1.0497109
-0.46059898,0.5637962
-1.4704843,0.66085863
-0.59947056,0.045153346
-0.13042396,-0.41438743
1.1889535,0.049856357
1.5804833,0.28448915
-0.14225902,-0.38339624
-1.4419986,0.8217897
-1.1167108,-0.38065255
1.4102867,-1.7725338
-0.08949532,-0.31273904
-0.22420397,0.028776249
0.015837437,0.8194544
-0.9304879,-0.66304505
-0.8254229,-0.04582798
-0.18520072,-1.1645819
-0.7372652,-0.4231218
-1.2267413,0.94902444
-0.93802387,0.20782648
-0.09758698,-1.3209541
0.5315875,1.1516867
-0.91526926,0.42988572
-0.55303997,-0.6503625
0.69157624,-0.95512146
0.00833896,-1.078955
-0.3257124,-0.75756496
1.3689967,-0.9177822
-1.0425563,0.60843575
-0.64717346,0.48500568
-0.39818624,0.040176593
-0.96189904,-0.32689407
-0.03692135,0.4381942
-1.1138577,0.8251387
1.1501907,-0.26183555
1.6276839,0.8340804
-1.1957843,0.30379704
-1.1290029,-0.47107047
-0.49775788,-0.022600615
-0.00881358,-0.30948898
-0.07462261,-0.7101294
0.32952937,1.2360436
-1.5265104,-1.1904703
-0.19058163,-0.57683533
-0.32816562,1.2015448
0.26968816,-0.61558974
-0.20136146,1.1694553
-0.101869896,-1.048713
0.0965605,-0.61682457
-0.085207276,-0.48135078
-0.2385761,1.2838904
-0.26694795,1.2296429
-0.5368214,-0.29140776
1.1799674,-0.4321885
1.5685053,-1.5151368
-0.27606267,-0.26581126
-0.053180847,0.31515303
-1.0444626,-0.105495825
0.83039194,-1.1600368
-0.16872692,0.29742837
1.4827878,-0.44106564
0.10619336,0.009735799
0.726663,-0.41036052
-0.46166405,-0.47695217
0.17601646,0.29114515
-0.8386144,0.8154516
0.054509625,-0.278558
0.6229294,1.2051216
-0.30938312,-0.36690864
-0.05548976,-1.0231287
-0.07691507,0.47405672
-1.3438355,-1.6499667
1.0672728,-0.21476004
-0.015224896,-0.30775076
-0.56373715,-0.4953629
-0.42296284,-0.5050177
-0.68460923,-0.36961368
0.35670424,-0.4739596
-1.267207,-0.15676896
1.6490138,0.797109
0.25853375,-0.74789923
1.1773523,-0.04015698
0.715884,0.5544508
0.72004426,-1.0053909
-0.2686391,-0.055117767
-0.23180315,0.8781698
1.8127068,0.7873431
0.6021648,1.1666285
-1.050459,-0.9808625
-0.23836955,-0.9279945
-0.45627034,-0.31375295
-0.46502942,-0.59981656
-1.551928,0.44589305
-1.0496635,-0.09152092
-1.054014,0.5156007
0.739713,0.5444472
-1.1162329,0.80363923
-0.3848574,1.3266695
-0.3194749,-0.6442006
-0.6767662,0.09726097
0.35768518,0.9267354
0.44368163,-1.8565822
0.7139003,-0.96487755
-0.026758313,0.43634093
-1.5800282,0.8023535
-0.20435904,-0.9596716
-0.9448104,0.52712256
-0.29598895,-1.3336587
-0.38358012,-1.877231
-0.47235358,-0.33916378
0.8999267,-0.012425599
-0.25170815,-0.23629823
-1.187874,-0.35009375
-0.48653042,-1.0195305
-1.2133758,-1.2629733
-1.2371284,0.70491517
-0.60797894,0.2705133
0.8954872,-1.6513981
-0.32899165,0.44783816
1.4090534,-0.4031504
-0.11293108,1.5646561
1.0738358,-0.53382325
-0.52157646,-0.74376565
-0.7171176,-0.42347142
1.1724011,1.0614743
-0.07491643,0.27462965
-1.2874234,-0.36507887
-0.22979845,0.86039954
-0.74868053,0.33956257
-1.2930402,-0.43811277
-0.07776231,0.7144282
1.0322441,-0.0056882706
1.3704678,0.43155718
-1.5228581,-1.3530341
-0.9245884,0.45622474
-0.97452193,-0.95084846
-0.156476,1.003821
-0.51949257,0.31904542
-0.075084776,0.36899945
0.008390899,1.2109847
-1.2223392,-1.4655762
0.46793196,0.26500893
-0.35167748,-0.32794443
-0.118811846,0.5457767
-1.2846854,-0.5861117
-0.56982046,-0.63274676
-0.39192197,1.1474984
0.77385956,0.19118667
-0.16840328,-0.0084950905
0.2858665,-0.5765032
0.007551936,0.9686136
1.0393782,-0.28712407
-1.0814106,-0.20614254
-0.6399268,-1.0494448
0.20770906,-0.25685605
0.08362524,-0.37552518
0.054406628,0.66587627
-0.10501892,1.0836062
-0.25804502,0.7032409
0.10588009,0.09352323
-0.1324563,1.1581367
0.09342021,1.2484987
-1.2519392,-0.33890057
-0.19252427,-0.0135521
0.30336002,-0.27090064
0.0037310133,0.69221234
0.3435119,0.3591543
-0.86145604,0.24170396
-0.16267292,-0.0013050077
1.4035509,-0.6528092
0.9991162,-0.89861155
0.7350845,0.33161405
-1.1930324,-0.51602966
-0.2607838,-1.1088116
-0.07432907,0.5173952
0.045231204,0.0113022495
-0.14068027,-0.29363412
0.45199776,1.091406
0.2836776,-0.25478303
-0.3485334,0.6122859
-0.3772419,0.20394452
-0.9894257,0.6793187
-0.63399893,0.58407485
0.3053196,-0.023306267
1.4373598,-0.5695825
-0.0013899726,-1.0686394
-0.7893206,0.27587762
0.011285398,-1.0475845
-0.32272652,1.440031
-0.9373151,-0.33722556
0.6076826,1.2054328
0.26647592,1.063262
-1.5553463,-0.9302685
0.098891914,1.2843475
-0.031728607,0.56029767
-0.90115845,-0.44370508
0.5094977,0.29760316
-0.022289887,1.5445981
0.9228985,-1.3264037
-0.45630768,1.3218502
1.906129,0.34834096
0.13999288,-0.4274743
-0.08829618,-0.42346507
0.061395228,0.31533363
-0.1648252,0.3865947
-0.24672166,0.45620286
-0.82824475,-0.40420178
-0.106872596,-0.9148629
0.6490529,0.972964
-0.049305964,-0.911903
-0.33020136,-0.5299698
0.019745138,-0.07939062
-1.4589751,0.4781892
-1.2155946,-0.5270137
0.2557646,-0.61954004
0.064530365,-1.007049
-0.58235395,-0.9209709
-1.3315187,0.32783693
-0.20420308,-1.3251792
-0.105223365,-1.1624649
-1.199673,-0.52018905
-0.11572568,-1.1830654
0.27604067,-0.29157066
-0.027684342,-0.06678715
-0.9572024,-0.36928982
1.1042289,-1.1496837
1.2054071,-0.30409852
-0.14314689,0.8281249
0.21263002,-1.0906736
1.1056775,-0.014456632
-0.6344224,0.5050088
1.7862574,0.8420178
0.3499018,-0.6018304
0.62041265,-0.8859848
-1.2916024,-1.453482
0.05977986,1.2232207
-0.0766457,-0.12706666
0.013007498,0.5724071
-0.6504389,1.3279989
1.1773114,0.03724798
0.10786552,-1.0918869
-0.2018459,-0.2855495
-0.0069164303,-0.5848959
0.19175383,-0.45198622
0.015484678,-0.764206
0.6445546,1.1160388
-1.2157016,-0.47838962
0.57166505,0.6393493
1.385398,0.7013729
-0.44306442,0.36896557
-0.3591367,-0.47763357
1.1698378,-0.86236906
-0.43211305,-0.02134145
0.0056371116,0.35450485
0.6040871,0.03904636
-0.6294583,0.5271772
-0.56843114,0.1508448
0.03990474,-0.90538853
-1.0086143,0.73746085
1.1134405,-1.2418534
0.6887159,0.47023204
-1.2187756,-0.58857733
-0.9653791,-0.29714897
-1.2608739,-0.4804832
0.53500134,-0.091633074
-0.004885983,-0.15627703
-0.23018283,0.5779097
-0.85836494,-0.13607003
1.3470128,1.0164267
0.090728976,-0.26399833
-0.19139631,1.0790476
0.20916113,-0.19956282
-0.14740843,-0.5089193
-1.079834,0.5627912
-1.3706219,-1.5773406
-0.60385835,0.07053685
-0.74957293,-0.22436158
-1.5149537,-1.3569976
-0.20816045,1.0227296
-0.34504968,-0.5361135
-0.64368224,0.095118895
-0.94249934,0.2353915
0.75480014,0.28611776
0.68122417,1.1639997
1.6770796,0.7872901
-0.2618897,-0.43310815
1.7555567,0.65647256
-0.6252212,-0.7980989
1.2605587,-1.2612506
-0.6480925,0.37238464
0.04786375,-0.8245452
0.042050473,-1.3361658
-0.5498202,-0.8173967
1.6107844,-0.60786235
0.61707413,-0.3765149
-0.40548366,-0.4255134
-1.0934047,-0.11988794
-0.4318143,-0.6720592
1.0038056,0.24017571
1.3614204,0.9764407
-0.4373866,1.0820531
0.5965127,0.32240653
-1.3863971,-0.14873116
-0.48442098,0.6230402
1.1899598,-1.3147782
-0.2672266,1.207477
-1.4279454,0.8837619
-0.11978033,-0.25951448
-0.81684804,0.38985616
1.5235131,0.71153986
0.06669537,0.42126474
1.1542346,-0.35225776
-0.25766638,0.67938435
1.1296809,-0.021866752
-0.6077491,0.46989223
-1.0512031,0.5644771
0.15802068,-0.076112494
-0.2928051,1.3349601
0.6799417,-0.6147194
1.1439844,-1.0251545
-0.67711896,0.2402059
0.06445715,-0.23943278
-1.0443621,0.73732466
0.6642754,-1.241801
0.26283368,1.1344314
-0.79366696,0.50553507
-1.2960953,-0.37113348
-1.4440796,-1.3239789
0.13604006,0.33233607
-0.57584697,-1.4667469
-0.1653178,-0.293251
0.24475534,-0.69744915
0.33757254,0.550395
0.8022553,-1.5049833
-0.3118616,-0.27622765
-0.19747323,-1.3251598
-0.24338798,0.3413008
0.33430383,-0.40085107
-0.018214235,1.313926
-0.9189396,-0.35420576
0.17911707,-0.3597643
-0.6804883,-0.7712239
-0.94025576,-1.8134825
1.4860973,0.8830357
0.1846232,-0.37190518
-1.2063837,-0.33603844
-0.57361615,-0.6086921
-0.547091,-0.54019034
-0.5666702,0.4615903
-0.47878426,-0.044243198
1.9412583,1.0325117
-1.1813629,0.6029456
1.0851127,-1.2668473
-1.1042441,0.528974
-0.6001142,-0.7564811
-1.0419595,-1.5670145
-0.29083315,-0.89722675
-0.042253885,-0.27245593
-0.30296826,-1.2687867
-1.1156994,-0.3519337
-0.251129,-0.35172296
-0.9007187,0.88168055
-0.31455103,0.25051978
0.032805093,-0.075914636
1.047475,-1.1934347
-0.16818425,-0.20028765
1.8285654,-1.9055003
-0.66189533,0.6792581
0.05320165,-1.0173837
-1.2399803,-0.40752712
-0.7442807,0.9104489
-1.2243452,-0.49578193
0.012228585,1.5926381
1.0317203,-0.90411747
-0.4447391,0.46871093
-1.0262405,-0.17981192
1.1472236,-0.585484
-0.50718564,-0.23149857
0.80698884,0.31407705
0.07122269,0.37082052
-0.53160965,0.36464766
-0.8748826,0.9133615
0.37494975,0.9577378
0.49282825,-0.6851253
1.7199785,-2.1736245
0.3085017,-0.593788
-0.29802245,-0.6504978
-0.28830627,0.11983706
-0.76432526,0.34544972
0.9352128,-0.28028297
-1.2522782,-1.5085733
0.2720988,0.54723805
-0.34300765,-0.92127126
1.5578214,-0.78822064
0.37203133,0.61066115
-0.10174854,-0.6428341
-0.06361525,1.4142329
-0.29510224,-0.6052188
-1.2070123,-0.37683886
-0.73039716,-0.60459006
1.0982206,1.143011
-0.66583246,-0.18288063
-1.4517287,-1.2815882
1.1133335,0.36996284
-0.073604584,-0.84972113
-0.48364624,0.1810355
0.8939734,0.64207125
-1.4695481,0.6212165
0.41800684,0.9474346
-1.2875347,-0.4382923
1.3714792,0.41128302
0.95800954,-1.1777549
-1.1960183,-0.29725474
-0.06410896,0.5634592
-1.1632582,-0.120542295
-1.3414677,-0.16471149
-0.7877546,0.6271265
-1.2908522,-0.54295814
1.4315711,0.48180464
0.25327918,0.26025584
-0.010625096,-0.330022
0.6429815,0.8511007
-1.5344932,-1.3856355
0.5861915,-0.05729822
-1.296466,-0.53991836
1.519238,-0.70891494
1.2902691,-0.5028178
-0.8876952,0.5930502
-0.06970029,-0.88264996
0.09745226,-0.989828
-0.45068184,0.4327611
