embed_1,embed_2
1.6015139,-1.3056481
-0.836309,0.85793513
0.10886361,-1.5890416
1.7734784,-1.0839753
-0.7006461,-0.8871546
0.35656798,1.891417
-1.4207579,0.2344537
0.4598534,-0.41821322
0.52015936,1.1271018
0.36073598,0.55745214
1.96892,1.166638
-0.21964133,-0.2910496
1.2748532,0.27452224
0.97208154,0.44319138
-0.96730614,0.6393477
1.2702214,0.32371634
-0.89664465,-0.5652654
0.1594877,-0.54720837
0.5200806,2.1769996
0.8286193,1.4094522
-0.38281214,-1.115003
0.18000537,-1.2733095
0.006423182,1.3658413
-0.83047587,1.1559912
0.31189457,-0.835355
2.0863922,0.57324064
-0.45777556,0.19956918
-0.39615485,0.60136896
-0.57955873,-0.37816578
-0.6705407,-0.55895096
-0.92594355,0.21971427
-1.1235874,0.99705297
0.1297601,2.0315073
-0.33924335,0.6829092
-0.79713374,-1.0181782
-0.30272123,0.764274
-0.47980398,-0.9479563
0.5524909,-0.1590118
-1.0364826,1.1130596
0.47687995,0.93990934
-0.32292983,0.019279301
-0.9265277,0.8717793
-0.14924048,0.08957992
0.5957079,-0.17639513
-0.82907766,0.06578182
0.105806105,-1.0742009
-0.32952225,-0.8484555
0.3415792,2.1757436
1.3988822,-1.4761235
-0.11965214,-0.5195997
-0.25540948,0.8514243
-1.1923772,0.21270864
-0.028459063,-1.6748904
-1.2876952,0.2350094
0.15850288,0.5991994
-0.0754683,-1.0443916
0.57182044,-1.1110525
-1.1543629,0.25262496
-0.663367,-0.63018227
-0.95582914,-1.0336543
2.071811,1.1628853
1.7510831,-0.13798155
1.2578037,1.202965
0.95975995,0.8538842
-1.1452192,0.11716328
-0.14119153,1.5632471
0.44895926,-1.4596168
-0.9468366,0.11278154
0.05816882,-0.24092562
-0.0422128,0.12715733
0.3251227,-1.0862045
-0.55825746,-0.15754585
0.4328733,1.8742774
0.6837374,1.5251362
-0.1199134,1.4249032
0.59457445,-1.313191
1.1324459,1.1232513
1.7366673,-0.22714822
0.4559443,1.7503521
0.22446197,1.2053783
0.9506768,1.0688322
1.585567,-1.1431649
0.9350121,1.142723
-0.72226644,0.50964755
0.32218114,-0.46961197
-0.017305152,-0.65746766
-0.14963165,-0.8895711
-0.14706145,-0.28148842
0.27001563,-1.1338942
-1.8273408,-0.0066013923
