embed_1,embed_2
1.2501708,-1.626515
-1.2468238,0.8095154
-1.0848534,-1.0265864
1.6645514,-1.5369314
-0.28436267,-0.64027125
0.0075697475,1.5853279
-1.7175449,0.13118519
0.6906417,-0.2760727
0.6175171,1.1208032
-0.021902362,0.692266
1.9127576,1.7048515
0.22872913,0.2046628
1.1753957,0.2992537
0.9127652,-0.5271315
-2.0028505,0.6075
0.70039433,0.072333544
-0.65874374,-0.58743894
0.1541951,-0.07877601
0.1872634,1.7603431
0.15656574,1.3891429
-0.03698858,-0.08538842
-0.5126015,-1.1440204
-0.44002667,1.5684047
-1.1065323,1.0169814
-0.13544503,-0.24913019
1.262931,0.013050968
-0.49222666,0.35642198
-0.5155476,0.76416606
-1.1365759,-0.13719456
-0.27276865,-0.18164082
-1.7572311,0.25036988
-1.5576309,1.1534802
-0.024322592,1.7046562
-0.774322,0.7816181
-0.009191721,-0.53860885
-0.56886846,0.7760685
-0.054161508,-0.13601172
0.79944277,-0.6323516
-1.3612092,0.83041084
0.5513986,0.9981942
-0.36834964,0.097471364
-1.395925,0.8890669
0.7652198,-1.5190408
0.7525398,-0.3972698
-0.7748673,0.22862181
-0.019759048,-1.2064848
-0.026561087,-0.53979176
0.44138458,2.0206244
1.4782124,-1.6298159
0.18420227,-0.1825051
-0.508541,0.6143698
-1.6260064,-0.0047096754
-0.94800025,-1.5098509
-1.4993225,-0.012137512
0.22355878,1.0104114
-0.2611889,-1.1729896
0.17269677,-0.8927336
-1.4399352,-0.16346785
-0.5451731,-0.61753976
-0.0643459,-0.6019976
2.127169,1.6554129
1.6287547,0.63150215
1.5205408,0.69613737
1.6417085,0.83195
-0.89255095,0.11240177
-0.12521157,1.5017517
-0.5853399,-1.4797885
-0.71625787,-0.21750394
0.21759722,0.19031474
-0.42983106,0.37072083
-0.20840707,-1.1976751
-0.14254344,-0.6299878
0.16470888,1.8559153
-0.04727982,1.6741127
-0.21001533,1.3427603
-0.14151928,-1.8333383
1.1636134,0.7549724
2.0499039,0.47735897
0.5226982,1.9154841
0.61051303,1.2329022
1.8706951,0.82159525
1.6673344,-1.6092769
1.217334,0.643487
-0.50685585,0.07011389
0.45566693,-0.10029743
0.2519139,-0.06735489
0.020814663,-0.14043534
-0.037514552,-0.090295546
-0.64555895,-1.3100919
-1.4865417,0.045046605
0.08735998,1.6901888
1.031377,0.82949615
0.8402425,0.71976197
-0.6117587,-1.6715089
-0.9109078,-0.09325604
1.3171915,-1.7070316
0.15540542,0.86252606
0.37332752,0.13453057
-0.72831297,-1.337741
0.4787379,-0.09108797
1.1531022,-0.21727557
0.5090508,-0.11046722
-0.44232824,-1.3001794
0.93201387,-1.5946006
1.0843594,-1.479022
0.37877804,-0.011310499
0.24440514,-1.3040029
1.1700325,-0.9401056
-0.7432834,0.1337002
0.016024416,0.07970497
-0.15289958,-0.42669275
2.438916,-0.7798594
0.059632905,1.4704692
2.234324,0.30667442
0.324564,-0.30480748
-0.7132172,0.9520914
0.53483725,-0.03717325
-0.8099506,0.5232901
0.1416083,-0.6682299
0.6167901,-0.5011003
0.17379281,-0.25167665
1.5810457,-0.8512217
0.8537285,1.0848733
-0.6855556,-0.3104635
-1.7212374,0.17743231
0.24111076,-0.06722618
-1.4762219,-0.120700054
