embed_1,embed_2
-1.5954338,-4.467261
2.8821821,2.245777
3.4380343,-3.3452272
-2.2735481,-4.0945826
0.87574553,-1.3597895
-2.1617577,4.005693
4.358815,1.9627775
-0.7780086,-1.4854329
-0.30171067,2.9227374
-0.2302098,1.1980363
-4.347605,2.1167815
-0.43022603,-0.5057066
-1.9809619,1.1163504
-0.9018728,0.5270474
2.6996741,3.5507128
-1.973505,0.11259545
2.4070332,-1.050132
-1.0486504,-0.21098422
-2.7658904,4.37411
-2.1112053,3.113952
0.45018163,-0.6855622
2.0993202,-2.9916983
-0.716897,3.6694853
2.685586,1.6849494
0.31463188,-0.53000623
-2.614185,0.7759025
1.412352,0.53178674
1.3157675,1.6946435
0.35354587,-0.6130533
0.7104429,-0.6466014
3.3791938,2.9191716
2.240342,2.257778
-2.0889268,4.6563053
1.283581,1.9069527
1.1999509,-1.3085353
-0.21966092,0.039118875
0.6799167,-1.0149963
-1.4543191,-1.0493681
2.5405772,2.3432407
-0.82717484,2.4553194
0.765638,0.077566974
2.301237,2.1480484
-0.9337219,0.9430716
-1.4555316,-1.3141279
1.6304876,0.6436351
2.1205885,-2.8979
0.8949806,-0.8873534
-3.0465434,4.5506463
-2.0270994,-3.5960195
-0.15028445,-0.8523201
0.74469703,2.2563865
4.74424,2.882784
3.016133,-3.4671268
4.2136645,0.51342463
-0.24325311,1.4786155
2.0101726,-2.7432194
0.8232834,-3.013149
4.4349103,2.4991639
2.1438687,-0.7461565
1.2295325,-1.7518607
-4.25657,1.9708751
-3.3432713,-0.18915665
-2.2909334,1.9577434
-1.7875493,1.8084401
0.97478443,-0.0838674
-1.3332114,3.2669148
2.0448802,-4.035417
3.772539,0.055323936
2.9009864,0.62321824
3.6486247,3.2808595
1.5408467,-3.09885
0.8581829,-0.52228117
-2.1269913,4.296298
-2.8010025,3.6907792
-1.2588943,3.2925515
1.5540957,-4.530694
-1.7172791,1.970581
-3.7807705,-0.5636903
-2.9271579,4.1719756
-0.09918159,2.593598
-2.2536705,1.9555137
-2.8160605,-3.8043723
-1.6794407,1.7883508
1.7226632,0.8349245
-0.5940271,-0.41078335
-0.55378467,-0.9670611
0.41432983,-1.3040729
0.102842376,-0.73968047
2.854912,-3.675163
4.2086515,0.84909266
-2.2335696,3.8126476
-1.4786037,1.6029245
-1.5436339,1.8786356
2.2989156,-3.9811068
1.2755334,-0.3770532
-1.9224854,-3.5203025
-0.29462793,1.5398856
2.8113496,-0.23452677
2.732472,-2.7921484
-0.56163126,-0.31820193
-2.596693,0.9453346
-0.22786032,-0.51297224
2.1804574,-2.5070386
-1.2728823,-3.7110415
-1.6884228,-3.4364812
-0.34385476,-0.61523217
0.9401829,-2.9817057
-2.0371153,-1.7882007
1.1119374,1.0133106
-0.94661045,0.9636014
0.34279424,-1.3072507
-4.338465,-1.8168597
-1.9271193,3.944935
-3.794311,-0.42577747
0.14853169,-1.1538045
1.0304352,2.520775
-0.1781696,-0.532919
0.9513633,2.0916924
-2.366624,-0.22636417
-0.64811915,-1.46217
-0.13104956,-0.8656511
-1.9373732,-2.3004751
-0.26797217,2.8511233
1.7308925,-0.45346385
3.9111154,3.101428
0.5421022,-0.20253398
4.2353077,2.276371
-2.5484385,-4.027095
2.101087,-2.760957
-0.4922214,0.04436966
0.67432857,0.45489177
1.5908607,-1.1311005
-3.0039158,0.6557736
4.1385016,0.39533192
2.1616168,-0.8603737
0.65283847,1.0590652
0.89528894,0.37257412
4.068377,1.813105
2.8709338,-3.3264244
-0.24118057,0.9360106
1.0241714,1.0260068
-0.005358222,2.480284
-0.5558386,-0.85511345
1.0299028,2.0700345
-2.5445747,4.147806
0.522879,0.9266342
-0.63304454,-0.9963528
-3.0068212,3.4705038
-1.563806,1.0098882
1.3527157,0.3068869
3.614683,2.214354
0.30780473,-1.6170322
-2.879647,0.5932513
-0.14119981,-1.5678213
1.6477243,-0.070761845
-1.5486943,-1.9123938
0.72035855,-1.246969
-1.0931141,3.3450644
-0.34486988,1.4701387
1.0940651,-1.1514096
1.5898468,-1.8208476
1.3468041,-1.9920318
2.2327402,-0.46570018
1.052921,1.7967833
2.8419297,-3.8332775
3.5758555,0.6058482
1.6376421,-1.7243676
-0.63497424,1.812137
-0.09939211,1.2349708
0.35653087,-1.7387842
4.575739,1.4902747
2.7129297,1.7446777
1.8246725,0.58842677
0.75224894,-1.1709123
1.1679893,-1.4030595
2.360728,1.6042134
4.1695137,2.6127346
-1.8100983,-4.1433163
2.9005415,-2.4251394
2.231738,-3.8473172
-3.2870173,-1.5937117
0.82279927,-0.7434409
-1.8981136,-3.2016873
1.0373923,-1.1589296
-1.7221411,-2.025391
1.8029319,-2.8516793
2.595404,-3.3109713
2.8687906,-0.70204717
2.6176665,-3.2266183
1.55117,-0.91640335
0.99705744,-0.86442935
0.03165257,0.6442355
-1.4082892,3.3932621
3.5277596,-0.24405606
0.12139048,-1.5012177
-1.7175614,-0.34380662
-2.5124705,-1.4206424
-1.4350889,3.9780178
-0.8510978,-0.1519373
3.487424,2.564781
0.15593769,1.2077497
-2.061651,-1.8117547
3.5266526,0.514705
-1.1910068,2.476377
-0.6413166,0.36116916
-4.0416493,-0.6723717
-2.6695578,-1.0958567
3.7255766,1.232824
1.0808887,-1.5379893
-0.08967724,1.6353136
-2.1213815,2.0526834
-2.4204292,-2.0730047
-0.17643099,2.6019878
-2.9139795,4.035171
1.5105003,-3.2802465
1.2028224,2.6056435
-1.9090556,3.8861814
-3.4175012,-1.5540577
-0.9332799,0.03435163
-1.750083,1.791703
1.1776226,2.6525474
2.391952,-2.2278135
-0.98624444,-0.16647832
0.81024,-1.372651
-0.31128192,2.2863863
-0.80306536,2.3084724
-0.53675693,-0.20482247
1.1493229,2.5607047
-1.8551574,3.6732533
-0.3254845,-1.1147792
-3.829758,2.1999638
-1.3556778,4.740086
3.4830124,-0.15491998
1.372795,-2.6564915
-1.5433816,0.4348653
-3.0579777,4.0486894
