embed_1,embed_2
0.6873587,3.8498085
0.3880933,-2.3051817
-1.5612444,0.32374346
0.9267148,4.2734485
-2.7498734,0.27683464
3.272187,-2.6762092
-0.40987584,-3.9299607
-0.8999042,2.1157053
1.4481338,-1.689243
0.98702735,1.2164056
4.1280055,0.9706538
-0.61131287,0.96236926
2.0706608,0.8738601
-0.2364964,2.07385
0.8567694,-3.3912725
1.8339682,0.9942499
-2.67157,-2.168944
-0.42747116,1.3261958
3.9038553,-2.786806
3.059669,-1.4310666
-2.3358305,0.20994762
-1.8776989,0.42571744
2.2132435,-2.7506647
0.24577045,-2.073262
-0.8712972,-2.58484
2.111292,1.9048513
-0.7049508,-1.3104826
-0.019340822,-0.6840415
-1.2770665,-2.9196591
-0.7615391,0.6624509
0.54116946,-4.0367856
0.48893547,-2.480428
3.687021,-3.2364776
0.16276257,-0.35485876
-3.3177106,0.62658155
-0.00845064,-0.67580456
-2.9571397,0.48716325
0.2014682,-2.3425193
0.4278308,-2.1140358
1.493842,-1.0154305
-1.5575653,-0.34656423
0.44303682,-2.1160126
1.1156151,3.064943
-0.3550627,2.55286
-0.7690024,-1.1147794
-2.218818,0.043827556
-3.1651285,-0.04977135
3.8878233,-2.4664216
0.65807277,4.091465
-0.89814276,1.1008127
0.47279516,-0.72830695
-0.50649554,-4.247083
-1.6938882,0.9664995
-0.8925897,-3.5482655
0.94205445,1.0622755
-1.702096,0.31320134
-1.941576,2.8056946
-0.41637874,-3.9159718
-2.952147,-1.3067712
-3.968176,-0.095191516
4.290925,1.5052131
3.0301564,1.2379082
2.860872,0.2101932
2.7029393,0.14470805
-1.4815221,-2.0927975
2.7072883,-2.1811163
-2.1250162,1.3902285
-1.5256733,-2.1777012
-0.84423435,1.0538278
1.081703,-3.9584205
-1.9458957,1.3153304
-0.90023893,2.4134822
3.4479706,-2.8822703
3.9063005,-1.9169849
2.6522548,-1.9443414
-1.9141067,1.4022971
2.5552175,-0.34326276
3.0508833,1.0769683
4.0289283,-2.5554056
1.3006369,-1.7988797
2.6413364,0.4215121
0.55939704,4.37259
2.2476752,-0.20118017
-0.90865135,-1.4834691
-0.602532,1.3647684
-1.2424537,1.3067706
-2.9923024,1.1636959
-0.7864083,1.0366985
-1.7514018,0.78375405
-0.7280787,-3.608732
3.4088829,-2.4379961
2.186805,-0.2636451
2.0491054,-0.47537798
-2.0934541,1.2861822
-1.9946957,-1.8209006
1.0116937,3.8048635
0.9948038,0.74253964
-2.1903787,-3.0084898
-1.9882256,0.12589502
-0.4523013,0.83033574
1.8117528,1.9256591
-0.90710634,1.1075755
-2.2138536,0.21945183
0.7269976,3.460762
0.5712757,3.5817454
-1.2099186,1.1479819
-2.0467227,2.294607
0.7952546,1.8428265
-0.6774917,-0.7450715
1.49887,0.14371623
-1.1684328,1.9475687
2.6430857,5.0570416
3.04442,-2.2835417
2.8367877,4.53387
-1.0451952,1.9249201
0.2089828,-0.6132238
-0.92820513,0.7184615
0.049866293,-0.3326954
-1.1596967,2.4769542
-1.2905192,2.5088186
-1.3026253,1.1537576
0.6367422,2.1718116
1.7008667,-1.7739092
-2.3908303,-1.1842681
-0.049587995,-3.944871
-1.0401137,-2.3523273
-0.5678867,-3.7686152
0.78351253,4.5682263
-2.281405,1.0316124
-0.6349353,0.9770803
-1.4908195,-0.2802332
-3.847879,-1.6861696
2.0119004,2.2375917
-0.82981247,-3.9955559
-3.0213046,-1.8979816
0.17139164,0.45371547
-1.5090579,-0.260478
-0.6769267,-3.6719663
-1.6880888,0.9061315
0.21525396,1.4177185
1.0249554,-0.13051726
3.0770035,2.4084346
-1.1877489,1.1524993
0.34045556,-0.7304489
3.524586,-2.6636221
0.16713594,0.975662
-1.1836125,1.6728916
3.9554362,-1.9642917
1.5229993,0.9449904
-1.3257498,-1.6362624
-0.24483386,-3.909865
-3.5786371,0.9285766
2.0507336,1.9895773
-3.1868715,1.9399037
-2.2101543,-1.6332096
0.07781193,1.7857249
-3.108811,-0.016107723
2.1247654,-2.1375148
0.74781954,0.9235319
-3.4944541,-1.2754428
-3.7891977,-0.5361258
-4.4873734,0.28664586
-2.284637,-2.2768407
-0.10275084,-0.35558295
-1.6839967,1.0772822
-1.2028451,-3.1325853
-4.288996,-1.0920886
0.8577562,0.7002853
0.6937211,1.0016482
-3.5423164,1.0114472
-0.6903179,-3.1723328
-0.073286794,-1.9083545
