embed_1,embed_2
-2.0967138,-3.6373456
-1.7535931,-1.3552327
1.1475601,-0.654163
-1.9656119,-4.0738316
-1.0582289,0.25158212
2.484739,2.906426
-1.1561725,2.1440263
-0.6763909,-1.5411005
2.546886,1.4851338
-1.8289071,-2.371007
3.7692134,0.89879346
-1.9959209,0.4354046
1.2471676,-2.3736556
-0.98921764,-1.0526196
-0.4216379,1.779659
1.4285961,-2.121768
-0.6038651,0.5626859
-2.08278,-0.43573403
2.6931815,2.9150841
-2.5627265,-0.7450937
0.11605637,-0.052907664
0.6752045,-0.5397873
1.8732207,2.366699
-0.03872958,2.3597937
-1.1834216,-0.96799076
2.436309,-3.1429546
0.97793734,0.6141212
-1.2827209,-1.54018
-1.3269773,1.6643157
-1.304747,0.33553818
-0.7118241,1.9212143
0.2446414,2.1191776
2.3566968,3.0110233
1.0619909,1.4522481
-0.8218018,-0.20653968
-1.2786627,-1.480799
-0.09722751,0.053909335
-2.0469916,-1.1280949
0.085601404,2.1162724
2.2286468,-0.71173304
1.1090225,-0.101751685
0.30747098,2.0190055
0.9257434,-1.876827
-1.9890351,-1.0756756
0.9298045,0.57640517
0.84469914,-1.563846
-1.1578383,-0.012422528
2.9102764,2.7053862
-2.247119,-3.5378637
-1.4634761,0.13671885
1.0270913,1.3558155
-1.1392683,1.756758
0.6529296,-0.791058
-1.6721752,1.8688557
2.222603,0.21813649
0.8607813,-0.55403066
0.23820142,-1.6752062
-1.2797377,2.013589
-0.46047533,0.4169502
-0.6829291,-0.009772033
-3.3221247,-1.0835061
-3.7775621,0.6533582
3.4550192,-1.0910853
3.1201224,-1.1244377
-0.49674246,1.3840591
1.7724873,2.081392
0.3390453,-1.1547583
0.07373803,0.6840302
-1.759163,0.19443893
1.4590636,-0.25143638
0.3054842,-1.0281776
-1.052496,-0.8061749
1.8709953,3.0875535
2.6099916,2.702893
1.8481047,2.202304
0.24145463,-1.2167264
3.059503,-1.0684655
-0.3953912,-1.957392
2.5448928,3.1612177
2.6443114,1.4399097
-3.0862987,0.6997236
-2.1533723,-3.8227053
3.0489402,-1.1373602
0.68821657,0.574359
-2.1417043,-0.48213354
-1.4309622,-0.23875873
-0.036965035,-0.7828806
-1.399375,0.8531632
0.6186545,-0.94683635
-1.79393,1.933993
2.3572545,2.5296159
2.503917,-0.60764915
-3.003066,0.7025237
0.3558023,-1.1010834
1.870183,-1.0366706
-2.691455,-3.307216
2.1363168,0.39863274
-2.0300024,0.6800974
1.0703939,-0.47648984
-1.80533,-0.0028219456
2.2221045,-2.9560685
-1.6751311,0.16556458
0.615694,-0.68769324
-2.491586,-3.0629797
0.52332526,-1.8135061
-1.4294084,0.08969557
0.3260011,-1.7924967
-1.967396,-2.6175191
1.217225,0.68328756
1.5065126,-0.9350556
-0.15428068,-0.8402374
4.9765625,-0.9020261
2.1030667,2.6354432
4.2129064,-0.78151363
-1.2916541,-0.53835696
1.1273708,1.2644805
-1.7222762,0.22144257
1.2322868,1.391346
0.65138626,-2.0593638
-0.47724354,-1.2256682
-1.6384246,-0.061422303
2.682932,0.119457476
2.2957134,1.2785635
-0.5760427,0.45947883
-0.9035241,1.9080342
0.3921885,1.024785
-1.0166503,1.9020394
4.5703974,-0.9213992
0.37760326,-0.88653517
-2.1505492,-0.2295135
1.1210898,-0.21558455
-0.19681567,0.1713985
1.8248618,-3.3448048
-1.4554675,1.5845255
-0.7574768,0.28332448
1.7807909,0.9444086
1.11617,-0.2437647
-1.1663852,1.9529296
0.64828724,-1.0855128
1.8829336,0.68856144
1.1969262,0.69316703
-2.7102387,2.2434754
-1.7063346,-0.15532869
1.2400167,1.5818752
2.5923946,3.2037623
1.8639215,0.64559364
-1.6772512,-0.380913
3.0423238,2.608403
1.4199555,-2.1505992
0.40522683,0.3849179
-0.8510012,1.689871
-0.80917186,-0.04533814
1.6994365,-3.411022
-0.57079715,-0.94940436
0.5153724,0.7714658
-0.91736186,-1.1269207
-0.7757591,-0.0051208283
1.6578377,2.0503345
2.0613556,0.17741443
-0.22157556,0.16387865
-0.37501213,0.01361828
-0.39711165,0.03439828
-1.14112,1.0632261
0.84069914,1.3004217
0.67126626,-0.85707074
-1.4449302,1.5374768
-0.22231622,0.10503605
2.2064168,-0.21425992
2.3500266,0.17127696
-0.7430107,-0.32679835
-1.3295743,2.3441699
0.35685173,2.457801
0.72125715,0.6194444
-0.7064223,0.19317465
-0.64692646,0.30061933
-0.007729145,2.798735
-0.7847961,2.0324008
-2.2568443,-3.765088
0.7095485,-0.6409729
0.4419613,-1.1145282
-0.5766865,-2.64955
0.19961697,0.88930696
-2.318401,-3.5358143
-1.0049057,0.41310662
-1.4514188,-2.7751496
0.7944163,-0.5394844
0.7464364,-0.5939543
-0.542104,0.44288814
0.71386516,-0.5688267
-0.4450445,0.3478618
-0.09197403,0.21343699
1.6262752,0.6345338
1.8339396,2.2913613
-1.1693256,1.0081935
-0.31221354,-0.73359734
-1.2301954,-1.1755813
