embed_1,embed_2
-0.5128675,-1.0340635
-0.070245676,0.031996224
-0.40938514,0.04346028
-0.32187513,-1.228392
-0.30102435,0.30331486
0.22781333,0.60216904
0.13302284,0.3470352
-0.04875569,-0.3296571
0.23770788,0.19203417
0.26997775,-0.13520218
0.8136438,0.8190211
0.101592466,0.088540345
0.6664267,0.024525749
0.054824516,-0.14735809
-0.1162763,0.34316987
0.59164035,0.19546856
-0.4861268,0.44499126
-0.11825317,-0.074481115
0.18388309,0.68884087
0.049227137,0.6869099
-0.40965906,-0.10526547
-0.41298437,-0.07522558
0.50523263,0.63920444
-0.037292656,-0.030243639
-0.14094952,-0.05496852
1.0125278,0.18210733
0.20214692,-0.13552795
0.008983895,-0.118418165
0.06369646,0.11363933
-0.21831115,0.31531554
0.10832699,0.38013572
0.0009843598,0.18946747
0.20820442,0.6770576
-0.0073873806,0.20272514
-0.7391705,0.20561384
0.0049467417,-0.15630174
-0.37175816,0.21124865
0.20962706,-0.15185931
-0.035170324,0.027978197
0.44194058,0.15304114
-0.31962565,-0.060710914
0.026918828,0.016115436
-0.0018626692,-0.26312304
-0.022378374,-0.41006705
-0.087247655,0.16956836
-0.367037,-0.34129524
-0.3373816,0.020118207
0.33771348,0.84141636
-0.1441134,-1.1092529
0.06724118,-0.14382927
0.11793279,-0.052140206
-0.041090034,0.20563535
-0.45663112,-0.22637767
-0.07361356,0.19216347
0.42041716,0.0583157
-0.4263644,-0.27017826
-0.13545519,-0.72013247
-0.07651438,0.20569293
-0.6328604,0.38944563
-0.84633666,0.22575036
0.8334145,0.83270013
0.4989345,-0.3778873
0.56177235,-0.069675624
0.4842395,0.028039342
0.105129905,0.1155195
0.21316536,0.43278852
-0.60625553,-0.3998791
0.0075543155,-0.041776456
-0.096410416,-0.072675996
0.027377648,0.021439707
-0.5122316,-0.50318134
0.066979095,-0.3318886
0.43269125,0.7427574
0.23204398,0.52351457
0.48128065,0.2719111
-0.4685396,-0.46130386
0.5016912,0.043346155
0.51713157,-0.64566106
0.19929297,0.863522
0.3973306,0.17662433
0.7372822,-0.4078993
-0.5440012,-1.0854928
0.7976878,0.106116675
-0.1713976,-0.32725224
-0.1952586,-0.3952034
-0.084930696,-0.44101602
-0.333783,-0.19504307
0.06235309,0.09477106
-0.40908575,-0.31047127
-0.05622579,0.075518645
0.23839863,0.6823917
0.61467797,-0.0479633
0.77534664,-0.085703604
-0.5097233,-0.32415894
0.029205121,0.28655824
-0.4080012,-0.93251145
0.45655805,0.092582814
-0.19402768,0.101928405
-0.49214467,-0.04367539
-0.21700934,-0.12519826
0.9493042,-0.21935551
0.1436678,-0.21913885
-0.32549217,-0.31137127
-0.8373925,-0.8122844
-0.7114474,-0.87934524
0.06778947,-0.29849032
-0.38196665,-0.5835496
0.22598249,-0.4605579
0.27223507,0.16125715
-0.21339759,-0.1587597
0.004454989,-0.25170162
-1.4523841,-0.41922504
0.14367437,0.596092
-0.98568505,-0.51692545
-0.22725151,-0.39745647
0.3570949,-0.14410576
-0.19531985,-0.0045968257
0.3238107,-0.1140077
0.64455855,-0.4598459
-0.13839272,-0.6568995
0.048001572,-0.13176633
0.35818917,-0.57714885
0.6045672,0.42299363
-0.434953,0.20043293
0.2120366,0.15493587
-0.23658566,-0.15117201
0.19534837,0.10355326
-0.30503255,-1.0692284
-0.44789654,-0.22614239
-0.14335105,-0.10174701
0.12931174,0.019728271
-0.59202385,0.19927251
1.169373,-0.10949617
0.17519677,0.19456711
-0.6158852,0.39706382
0.35128322,-0.0970314
0.14380527,0.14131089
0.19944689,0.115377165
-0.29080757,-0.29684645
0.14231975,-0.14887774
0.3333119,0.047693238
0.53995955,-0.038199555
0.17344515,-0.0226228
0.21995276,-0.06091623
0.052513517,0.5704444
0.3425694,0.016931614
0.16199057,-0.120681025
0.01339412,0.6133445
0.12564228,0.19735484
-0.16383344,0.05914358
-0.11287254,-0.066817455
-0.601,0.15360163
1.2069786,-0.40080383
-0.17505336,-0.17299178
-0.11666442,0.28371435
0.4659327,-0.09040775
-0.4324462,0.29992485
0.15322518,0.55049825
0.35934544,0.04084099
-0.44934738,0.3176028
-0.49210206,0.3544859
-0.67881143,0.34097663
-0.32039225,0.109259896
0.015144133,0.10285814
-0.5875509,0.021473227
-0.19546568,-0.05654737
-0.5476104,0.39340305
0.19057608,0.2107143
0.35002246,0.08908562
-0.7398819,0.1442781
0.2009556,0.19374755
0.25132427,-0.11300939
0.122817986,0.0121191535
-0.5586533,0.35779577
-0.5222565,0.39250988
0.18130966,0.15111789
-0.0366769,0.14835098
-0.16511077,-0.7015601
-0.46653143,0.02322457
-0.559934,0.03612526
0.37645757,-0.9017625
-0.11488525,0.2575437
-0.35093045,-0.59160686
-0.5782828,0.25192237
0.50283176,-0.3900549
-0.3847948,-0.09851207
-0.28590018,-0.33347586
-0.48979422,0.53492534
-0.33849567,0.02246215
-0.46115765,0.3749535
-0.30962464,-0.0076930835
0.39904416,-0.079256415
0.31779745,0.42793882
-0.03391135,0.25747433
0.06597138,-0.28580773
0.12910116,-0.2976971
0.29965892,-0.49764544
0.2195449,0.40745914
0.061136074,-0.10474306
0.14940389,0.16913211
0.3578966,-0.36818385
0.41465753,-0.3762863
-0.20946118,0.17682856
0.48032218,-0.010909432
0.16523376,0.047395404
0.62292194,-0.6174033
0.19530888,-0.6115592
0.083912954,0.011068351
-0.74124354,0.22677977
0.18341106,0.2111209
0.81884515,0.04801788
0.46400732,-0.7057633
0.6315485,0.045336105
0.31356516,0.69989514
-0.24685189,-0.02606044
0.18516561,-0.3342329
