embed_1,embed_2
-2.7310953,3.3311899
1.3276947,-2.2449512
2.112598,0.96093196
-2.9774404,3.8082812
3.0183115,1.9699798
-2.4644518,-3.8037312
2.5107272,-4.1506543
0.3548583,2.621946
-0.83533406,-2.3809981
-1.1950749,0.11771089
-4.5587964,-0.9749502
0.4985319,1.3648556
-2.2254317,0.13353756
0.05435606,1.7251432
3.5432296,-1.1262887
-1.8526677,-0.30952865
3.9946275,1.1036732
0.34091684,1.370504
-3.3351753,-4.4473076
-2.7319257,-2.9568584
2.8933802,1.9431832
1.9463961,1.7681865
-1.6978672,-3.8476832
1.59219,-2.3419127
0.15497147,1.7931587
-2.7898307,0.40352157
1.4944205,-0.2630461
0.38890192,-0.6346659
3.59237,-2.723148
3.1114187,1.5696899
1.3730109,-3.8554113
1.2580178,-2.6360397
-2.7194445,-4.7613335
0.2852465,-0.865662
3.135768,3.017688
0.36445034,-0.91932374
2.8233237,1.9635426
-0.29819652,1.8488628
1.3017352,-2.51291
-1.1752074,-1.6750057
1.7086173,0.6232601
1.372219,-2.4381702
-1.3674473,0.4530598
-0.29823598,2.195061
1.3623874,-0.372288
1.5100297,1.3677055
3.2775798,2.3209198
-3.3492732,-4.568979
-3.0474982,3.0945559
0.8613737,1.5782344
0.32846197,-1.2673459
2.1318445,-3.9240131
2.2286603,1.7978727
3.28661,-3.559709
-1.0538297,0.14801468
1.6148875,1.1260238
1.180519,3.0800152
2.7225556,-3.8091767
3.8284867,1.5179284
4.1787043,3.333433
-4.8044558,-0.9084203
-3.2587035,-1.5165944
-2.9641104,-1.6386641
-2.7215016,-1.650535
4.3020244,-1.3775793
-2.0567493,-3.646464
1.9977663,2.344861
4.1213584,-1.6476089
3.0615194,-1.257698
0.25796038,-3.4574084
1.766548,2.188569
3.143503,3.177085
-2.2892873,-4.1432414
-3.226123,-3.8072476
-2.081698,-3.3198466
1.8907063,2.3383405
-2.4606051,-1.8905544
-1.0727931,2.8636873
-3.173011,-4.133408
-1.0369629,-2.5650258
-2.9149399,-1.7457377
-3.185011,3.81698
-2.482436,-1.7269386
1.7028997,-0.7460155
0.47987774,1.4349667
0.7862945,1.9448055
1.2053605,1.047039
0.68904245,1.601908
1.6895362,1.7602193
3.8720005,-3.855001
-2.5342731,-4.0061817
-1.8279388,-1.2781744
-1.932136,-1.8119218
2.0695007,2.2145524
-1.4586136,-1.3035058
-3.2909484,3.0847259
-0.8206046,0.07014952
3.3803003,-0.54647446
2.142087,1.2399331
0.4650374,1.3132585
-2.7309217,0.43192026
0.592615,1.5798002
1.8527689,1.59514
-2.7726088,2.5147579
-2.8979726,2.9748688
0.8386487,1.77363
1.3999735,2.9548297
-1.0669444,1.1622146
0.97996557,-0.19519053
-1.3259742,-0.2079556
2.6655462,2.8924916
-0.3564963,4.7147164
-2.749166,-4.02511
-1.3010093,3.3663707
0.66162324,1.978691
0.38505688,-1.4270804
0.6980582,1.09391
0.40688172,-1.2229861
0.4627197,2.586345
0.4679754,2.6362731
0.93594015,1.700475
-1.2739727,1.7361215
-1.2464974,-2.5693502
3.5529597,1.0761966
2.0093954,-3.732584
0.84738797,0.7207699
2.7632644,-3.6887617
-3.2270331,3.5468564
1.8633068,2.0044787
0.6195744,1.1252702
1.4611386,0.5783929
4.9540157,1.8893886
-2.7220623,0.52919453
2.7580411,-3.5548918
3.849159,1.8171288
-0.09970677,0.23225291
1.8121349,0.57401216
3.0104194,-3.8763127
2.227755,1.6871233
-0.75639206,1.0113126
1.2559097,-0.24721162
-4.1621428,0.8788466
0.78134197,1.574449
0.40704077,-1.2893572
-2.8481402,-4.1771245
-0.29736757,0.5727285
0.6515258,1.7874713
-3.5728877,-3.5575542
-2.0160873,-0.39519602
1.5952662,-0.3943913
2.402953,-3.0554047
3.191334,2.8817492
-2.6543977,0.81435174
0.5498915,2.545587
3.129741,0.21640395
-0.7410573,1.4376603
3.5230825,2.2881734
-1.582851,-3.23625
-0.9043645,0.20596448
3.7815642,2.234582
4.1592627,2.3927047
4.223956,3.6384895
3.4522722,0.27683777
0.42403352,-0.99755925
1.9059892,1.8905402
3.461772,-2.5641356
4.87189,2.5166936
-0.9478704,-0.6063788
-0.87859535,0.18666233
3.2189436,3.3425422
3.6996107,-4.4913874
-0.4441505,2.1103792
1.3529431,-0.68902004
3.3055968,2.4128268
3.7071054,2.531887
1.7209808,-2.3351593
2.0177617,-3.6269982
-3.3702164,3.0156593
2.089908,1.2056699
1.9867465,2.1572328
-0.6778787,4.0850954
2.6972435,2.1393619
-2.9051554,2.87487
3.2678893,1.9128354
-1.550085,1.5831459
1.4714314,0.9080763
1.7808802,1.5875543
4.526495,1.6266009
1.9560981,1.6916825
4.786271,1.6995374
2.7725844,2.0385702
-0.86561745,0.7659061
-1.90747,-3.0203257
3.9806511,-1.3087698
2.2124023,3.134051
-0.2326749,2.28203
-0.94201076,1.6655041
-1.8752382,-3.5617177
0.5700119,1.296778
2.208857,-3.5621395
-0.797992,0.40702748
-1.10264,1.0801845
3.0467496,-2.4612052
2.8089206,2.521567
-1.1507512,-1.3969485
-1.349883,3.011335
-0.8028613,2.3759735
3.5751042,-3.2082171
3.8512068,2.7795641
-1.0482651,-0.7444587
-2.413576,-1.4944274
-1.5298516,2.272071
-1.123849,-2.1991014
-3.4652593,-4.130122
1.5554848,2.2877808
0.12332374,-1.8860879
-2.6341054,-4.1667542
-0.95332223,2.289335
0.15275882,1.0253423
-2.4438431,-1.4291205
0.06801108,-1.6405569
2.0133963,0.8193971
0.2505046,1.3131776
3.7429743,2.5004601
-0.70988095,-1.4926587
-1.3355793,-1.8857509
0.29717752,1.2133229
0.33582118,-1.5210711
-2.2511733,-3.4937277
0.48156723,1.7472779
-4.083291,-1.3554782
-3.115111,-4.9244
3.6904893,-1.123533
1.515226,0.2442996
-2.3362417,-0.7895476
-3.7894175,-4.3315816
1.9017214,-0.3279999
-0.169979,2.6151445
2.8665674,-3.708147
0.93018645,-0.23384805
-3.0371726,0.70972264
3.149404,-0.70431304
-0.8414451,-2.4743733
2.9615378,1.0154703
0.23947825,-0.8814129
2.5624156,-3.486432
0.3218418,1.0140226
0.93155456,2.6871629
1.2425748,0.47715348
1.4232818,0.24947043
-1.1521484,-2.8563085
3.334025,3.2254417
3.5954058,1.5238495
-0.16663505,2.6529698
4.9095855,2.1862864
1.6473062,2.0173469
4.758703,2.5012035
-1.0427393,-0.37151965
-2.842248,-3.6544511
-1.2984102,1.6318872
0.43380138,-0.3473566
4.0669823,3.6460547
2.6840138,1.9856454
0.30347833,0.72417754
-1.1135259,-0.19786039
-3.2502346,-3.542944
0.5576788,1.5508096
3.637783,3.31458
1.7371631,2.2939527
-4.156253,-0.955058
3.2792773,-1.0509973
2.998759,-0.8839875
1.0557046,0.1644891
1.8071313,2.207064
2.541183,2.3348374
-0.87319225,2.1284173
2.6221657,3.214227
5.3375144,2.1707764
3.3826182,1.4769143
-1.0623716,2.8644977
1.4579071,-2.0808187
4.0851607,1.5301508
0.57840806,2.450099
-2.778959,0.42846206
-1.2024237,0.34466365
-0.24224846,2.437315
-2.3104289,-1.9604294
5.2550445,2.559283
4.193588,-0.22312117
3.3042092,-0.8183541
1.8922665,1.2924271
2.1082542,-0.50727266
4.188766,2.7765355
-0.8748553,0.19997008
-3.0208004,-3.7067664
2.9182713,3.259335
1.6104743,2.2591875
