embed_1,embed_2
3.4659526,2.1744847
-1.4245456,-1.9824109
1.5094311,-0.6055607
3.686799,2.7105463
2.4381762,-1.8126371
-3.8562942,1.333047
-1.3268688,-3.37037
1.0642534,1.1769409
-2.6644766,-0.68852586
-1.1217891,0.39077243
-2.4255636,3.8736277
0.6760086,0.20491232
-0.6765125,2.013047
-0.16857727,0.8360369
-2.6159942,-2.4895527
-0.6003986,1.5160397
1.9343356,-2.969878
0.27424297,1.0594639
-4.438135,1.9236199
-3.2465627,1.4418223
1.8945037,-1.3904003
1.4583632,-0.2192115
-3.6008205,0.11962093
-1.2387366,-2.2862673
1.6429682,1.1034994
-1.215332,2.523886
0.12406232,-1.6233985
-0.5903222,-1.1254524
-0.020546926,-2.9650474
1.6417309,-1.9100013
-2.1556013,-3.6271205
-1.7859459,-2.2355742
-4.462444,1.1961136
-0.60188574,-1.1325413
3.1632307,-1.5970805
-0.36029732,-1.2549603
2.011722,-1.6679575
-1.1238672,-2.292615
-1.6853675,-1.9000357
-2.4600823,0.2869325
1.1767797,-0.8527942
-1.809021,-2.020447
-0.5515996,0.9265618
1.2192366,1.2713165
0.43902326,-1.351575
1.6074947,-0.67715085
2.5117257,-1.6131983
-4.5156655,2.036805
3.5647864,2.3150542
0.9768245,0.19543079
-1.1654432,-0.8310233
-1.3347764,-4.170215
1.9252294,-0.2932158
-0.33972424,-3.753922
-1.2825282,0.24571796
1.518542,-0.27098435
2.3121738,0.90305054
-1.0373533,-3.9506946
2.2399316,-2.4326742
3.7643814,-2.4864209
-2.4044633,3.9445367
-0.08576688,2.73787
-2.3684177,1.9183055
-2.0694675,1.4727074
0.62286943,-3.8557613
-3.3136938,0.5567664
2.3152304,-0.14733301
0.4719622,-3.3046608
0.87321246,0.2046568
-2.546301,-3.6771479
1.9033432,0.1254536
0.17963816,1.5038611
-4.017919,1.016176
-3.6135936,2.2267685
-2.9353242,0.74871886
2.8373787,-0.02978688
-2.3128524,1.2577585
0.12784065,2.5793188
-4.164959,1.8859308
-2.310406,-0.42456585
0.1067125,2.3674157
3.7859523,3.0235474
-2.1374981,1.4984797
0.01811797,-1.8874784
0.32075062,1.0136383
1.0127959,0.5669164
1.5848972,1.0002074
0.4618874,-3.1551244
1.7085314,-0.16037944
-0.77882856,-3.2443569
-3.674417,1.4529439
-1.6346575,0.979646
-1.946694,0.8058829
2.2224228,-0.5108301
0.9361738,-2.2394025
3.6128478,2.221045
-1.3587198,0.41393042
0.75281405,-2.6695714
1.4467672,-0.57786286
0.33781773,0.33947295
-1.215609,2.6686468
0.52972287,0.74236363
1.5538309,-0.75312316
3.6516325,1.7597147
3.4166756,2.1259139
1.0094006,0.6698582
2.3823614,1.0072287
-1.0239828,0.48759225
0.1052412,-1.0613605
0.811155,-0.9201538
1.681391,1.1348253
0.7082196,4.8420215
-3.9032402,1.1004066
0.52294815,2.6756005
0.57332104,1.0973594
-1.0792614,-0.92116445
0.5971015,0.4515437
-0.84044725,-0.8808969
0.14437155,1.5493798
1.5830237,1.6311735
1.0587356,0.5204534
1.3041054,3.094796
-2.3530128,-0.6448546
1.6740502,-2.0916293
-1.9712454,-3.9658995
0.11385621,1.31285
-1.2621762,-3.8053405
4.0932684,2.8201036
1.741468,-0.12707935
0.24279888,0.4577273
0.6844957,-0.7916185
3.0446916,-3.6820564
-0.85807097,2.8532145
-0.32865608,-3.943948
2.3416553,-2.7878375
-0.76241404,-0.45420745
0.70783585,-0.9904154
-1.0977851,-3.692321
1.8525031,-0.37559468
-0.62216496,0.24223578
0.21705869,-1.4492161
-1.663251,-0.8763081
1.0131347,0.575696
-1.0215458,-1.1582019
-4.4010944,1.7453861
-0.76255816,-0.10006695
1.0531325,0.82587606
-3.9808457,2.5050552
-1.0013992,1.5057696
0.45400205,-1.6836232
-1.3853606,-3.526924
3.0331674,-1.305515
-0.7272437,2.742434
2.0378864,1.3097427
0.94860584,-2.1019685
0.45266524,1.7571106
2.6928387,-1.8237786
-3.2931294,0.28704366
-1.2704555,0.4089876
3.0463512,-3.0493324
3.37572,-2.8955388
4.2800035,-2.3570552
1.2490557,-2.5047894
-0.5209786,-1.2411422
2.4955409,-0.41250286
