embed_1,embed_2
-1.4902856,1.1363139
0.50727165,-1.1088954
-1.6718503,-0.5574629
-1.5918773,1.3365206
-0.4808681,-0.56506795
1.8682727,0.5771477
-0.33978328,-1.4890406
-0.667152,0.5566162
1.2032341,0.28858447
-0.8718997,1.3370119
1.3036089,2.1775517
-0.1680161,0.34068558
0.22380702,0.72654116
-0.2612842,0.82066137
-0.0847958,-0.9884134
-0.029192852,0.5189612
-0.506935,-0.8145929
-0.15795714,-0.07542878
2.0478032,0.7027098
1.454301,0.7406639
-0.3352914,-0.12669502
-1.2256804,-0.06454194
1.416218,-0.19377808
0.46621034,-1.3169975
-0.616463,-0.02511763
0.3326172,1.2971449
0.49984095,-0.8444174
1.1528355,-0.56831634
-0.068649195,-1.3208978
-0.50971514,-0.41096953
-0.012454863,-2.079058
0.52037835,-1.1992754
1.8276719,0.17717026
1.2318221,-0.7937493
-0.80239594,-0.16609038
-0.32877442,0.7737044
-0.5498039,-0.41892272
-0.58868194,0.81289285
0.7615312,-1.1910908
0.91889775,0.56062347
0.08789037,-0.4291088
0.56597114,-1.2107329
0.46335784,-0.40475875
-0.6260645,0.77288634
0.014092351,-0.5593893
-1.1462941,0.032698356
-0.4797851,-0.40271148
2.0200028,0.45346436
-1.3714082,1.2775995
-0.08729839,0.27778783
1.2159603,-0.77115506
-0.35650972,-1.7181685
-1.7634333,-0.020629305
-0.11326431,-1.4521749
0.7055528,-0.33973923
-1.2715107,-0.15268055
-0.8273422,0.6140556
-0.36418372,-1.3877484
-0.4629436,-0.7458433
-0.9339366,-0.8660712
0.87680715,2.01698
0.6344549,1.3133264
0.7315103,1.1355027
1.035865,1.444132
0.12399145,-0.9641181
1.2612543,-0.2373106
-1.3774273,0.2990506
0.0350409,-0.32538757
-0.21011026,0.35825756
0.43572953,-0.44794708
-1.4272703,-0.04287039
-0.55681413,0.01800443
1.6810585,0.16659263
1.6530218,0.61029005
1.2464966,-0.15717249
-1.2360379,0.4367893
0.8169244,1.0977348
0.8294919,1.8359447
1.7848135,0.7974938
0.9994228,0.51163983
0.91522264,1.492218
-1.5221411,1.5075138
1.0348613,0.86699075
0.3602514,-0.73886067
-0.4551692,0.40215206
-0.14680584,0.05557681
-0.5187967,0.0011600647
-0.124003045,-0.20781137
0.08307763,-0.10021264
-0.19910857,-1.3857797
1.6029171,0.6164819
0.8859677,0.61460304
0.5524805,0.6421524
-1.6284045,0.15303935
0.5433589,0.54959774
-1.5363383,1.2983832
0.82903016,-0.19345163
0.30410317,0.54301476
-1.2896941,-0.34735653
-0.2322002,0.32015526
0.34178546,1.3094004
0.022133837,0.11639129
-1.3709477,0.08989189
-1.6620488,1.2139736
-1.5894823,1.332884
-0.3912529,0.079290904
-0.945757,0.4791654
-0.95829225,1.4431573
0.40264663,-0.7078497
0.32729763,-0.13703963
-0.59819436,0.05957226
-0.33741218,2.3427684
1.798373,0.5503006
0.24770717,1.7175494
-0.37441897,-0.060597222
1.2369722,-0.81032974
0.07899227,0.109472014
1.1771318,-0.720763
-0.546792,0.37446892
-0.6736909,0.32479236
-0.09475263,0.26021603
-0.80500126,1.3824035
1.0931404,0.5683978
-0.54679763,-0.46452016
0.1331648,-1.746508
-0.11280114,-0.34908488
-0.061832342,-1.3644464
-1.4718231,1.668259
-1.2693477,-0.06618026
-0.057636123,0.27185577
0.42494017,-0.1459442
-0.7658013,-0.91656756
0.20408541,1.3279716
-0.3740064,-1.2731775
-0.7432944,-0.62464815
0.52031153,-0.76722926
0.40350455,-0.36889496
-0.29111078,-1.3574392
-1.7329147,-0.28914064
0.7587699,-0.5904634
0.24080539,-0.5027954
-0.37863174,1.4135991
-0.33138308,0.16714005
1.4322786,-0.8934048
1.9536499,0.580438
0.8003455,-0.43290663
-0.38717365,0.48000377
1.9541167,1.0313145
0.5996835,0.49696139
0.023863653,-0.78872854
-0.06430092,-1.5317087
-0.8512641,-0.0022149037
0.36606032,1.0286131
-0.8094213,-0.09853328
-0.10335492,-0.5375834
-0.8326826,0.9102296
-0.8026849,-0.38125613
1.4150902,-0.13299826
0.91827667,-0.20674208
-0.8184024,-0.47366455
-0.70904905,-0.6277271
-1.0772789,-1.0475122
-0.17631616,-0.62853485
1.2683139,-0.7256104
-1.4175278,-0.1380057
-0.13734286,-1.408265
-0.73125434,-0.8568273
0.8502076,-0.12281142
0.64979064,-0.36102253
-0.6589927,-0.35063675
-0.11752953,-1.5184864
0.56226957,-1.1468061
0.21801671,-0.8351606
-0.7305194,-0.6023889
-0.8600487,-0.689495
0.8380478,-1.39737
-0.20340791,-1.7453591
-1.3713357,1.2460983
0.110930726,-0.10064486
-1.7335873,-0.104171485
-0.6598514,1.9017503
-0.28155592,-0.10930267
-1.4429753,1.0659791
-0.39376506,-0.37391055
-0.9392403,1.0521276
-1.2578093,0.08199071
-1.5130992,-0.21803747
-0.28269428,-0.60011965
-1.6017544,0.0018377877
-0.639517,-0.94464886
-0.36253047,-0.19471428
0.90056974,-0.6158304
1.374534,0.10749927
-0.024657,-1.0972474
-0.7994821,-0.09423976
-0.3997028,0.5914011
-0.53704774,0.85137594
1.6327134,0.06810694
-0.28015086,0.3765496
-0.03564956,-1.6628835
0.8343,-0.5482164
-0.86471874,1.2777817
-0.24968119,-1.2893388
0.8044929,0.41874418
0.31130874,0.34154302
0.8048431,1.5325278
-0.6589133,1.0996996
-0.08933657,-1.2057716
-0.843329,-0.45498535
0.9069554,0.2633161
0.8175644,0.8153589
-0.63051957,1.0321453
0.8556701,0.272452
2.0373726,0.5994933
-1.3523637,0.25611237
1.1064115,-0.77407855
1.8027269,0.2664709
-0.39795294,1.8267341
-0.24673925,0.066513985
0.933304,0.9429351
1.0468411,-0.75390285
0.003994424,-0.28814444
-0.31666663,0.1422301
-0.78770256,-0.6338805
0.7411361,0.16726924
0.73677975,0.36687472
-0.15389623,0.033583764
1.064649,-0.8978958
1.766076,0.10082265
-0.3832187,0.32871112
1.5865134,2.0672462
2.3769515,0.1848626
-0.33389702,-0.2500026
-0.99837834,-0.17220138
0.4341651,0.723257
2.0760548,0.6908753
0.113968916,-0.78075546
0.040878728,0.7627264
-0.26629734,-1.2058378
0.4629338,-0.81650054
0.05285727,1.0343301
0.20758791,0.4614079
1.0470058,0.26565987
-0.1808538,-0.9495562
-0.42664278,1.0558726
0.19300498,-1.3555518
0.21461122,0.08022818
-0.22955894,0.905018
0.36281145,-0.38271302
0.18100266,-0.17923246
0.92844087,0.42213327
-0.91652507,-0.1760586
-0.47814524,-0.8177337
-0.4938883,0.06942791
-0.820503,-1.0298721
-1.5970321,0.023706617
-0.9132673,-1.0455416
0.6975131,-0.24889208
1.4262037,0.4337913
-0.6923265,1.183082
0.11266074,-0.9160607
-1.2809347,-1.0807863
-0.53117687,-0.43651497
0.022472128,0.38018033
0.9478483,-0.31373578
1.4483622,0.9445847
-0.03903216,0.07454955
-1.1844141,-0.67043775
-1.5688846,0.21340898
1.1107671,1.9545832
0.15826006,0.17073168
0.14778115,0.022624487
-0.032755222,-0.6858864
-1.2709552,0.31567422
-0.41094142,-0.39906532
-0.6591376,1.6928223
-0.5430412,-0.18493977
-0.6849773,-0.6247317
-0.37495258,-0.31218854
-0.36942255,1.5593622
0.669411,-1.1381046
-0.31778166,-0.5744319
-0.36389557,0.22663315
0.23174179,1.0682759
0.905744,-0.046914473
-0.39819953,0.41068193
0.7822306,0.98730826
-0.7630515,-0.9259366
-0.38024434,-0.64002365
-0.28190708,-0.90548444
-1.2117985,-0.2762478
0.34540102,-0.6572264
-0.8685524,-0.80613804
0.94615036,-0.102344826
1.4425621,0.65970457
-0.7258273,-0.103306174
-1.3818437,0.21263649
-0.037792873,-0.14937907
-0.18068556,0.39262325
-0.54598814,0.99128824
0.48025805,-1.1365484
-1.6990156,1.1331087
-0.5812398,0.5033091
-0.27274883,-1.6760937
0.35416755,0.64224297
-0.30992663,-1.395067
-0.9375252,1.5559845
-0.22882567,1.3919489
-0.26339588,0.63152164
-0.3247716,-1.8122684
0.07431401,-1.814796
-1.2466955,1.0343403
0.96113193,0.5541041
1.4369195,2.0793898
-0.14617638,-1.273133
0.3786573,-0.80982566
-1.6375123,-0.09609478
0.6226057,1.2774224
0.27177283,-0.77691025
1.1384443,0.5522676
0.17911467,0.14081107
0.7662098,-0.11122475
-0.5670052,0.034509864
0.4226401,-0.5730601
-0.32506284,-0.7615402
0.08704366,0.36210778
0.8167441,-1.1373239
-0.45488557,0.22635545
-0.6717322,1.1372063
0.46517086,-0.13700402
-1.3491257,1.1304766
0.8284015,-0.09187504
0.01306267,0.1329617
-0.9197071,0.16015382
-0.50023586,0.20177183
-0.7900881,0.23223259
0.41543037,0.9681881
-1.4326665,-0.08382809
1.6814723,0.7072405
0.77278835,0.61362815
0.72068894,-0.3581064
1.4913551,-0.53176093
0.3279262,1.2742629
0.0060657514,0.3167738
-0.22789931,-1.8560998
1.7506518,0.69857746
0.8387947,-1.1560055
-1.230398,0.8122361
-0.92345375,1.3431498
0.5448595,-1.1167288
-0.51593316,0.062060136
-1.1212922,-0.92281884
-1.295495,-0.017495729
-0.5606223,-0.57256377
1.1495157,-0.8451912
-0.66066796,-0.62363887
-0.002862228,-1.5409944
-0.74025714,0.5050183
-0.6029883,0.08235194
0.515573,-1.3249692
0.65309024,1.6631144
0.20966503,1.2192308
0.13145359,-0.8372729
-0.9522114,-0.87018645
-0.89361626,1.0831536
-0.5077342,-0.37519634
-0.5758234,1.469994
-0.46070492,1.9820263
-0.41229174,-0.0063472884
0.6988382,-0.032794397
-0.29590276,0.09096845
0.33895382,-0.37893465
-1.2535325,-0.9253465
-1.3330718,1.2470917
-0.998756,-0.7822233
-0.39989868,-0.39545166
-0.23965189,1.6663759
-0.33429754,-0.916772
0.9632247,0.16295192
-0.17755784,-1.2650352
0.6938825,0.35876662
-0.39239156,0.4970525
