embed_1,embed_2
-3.9655275,-4.334248
0.12824613,1.8110206
-1.1424258,0.7679259
-4.516137,-3.824269
0.29298833,-0.92973924
3.2615044,3.7601187
1.5856855,0.89822114
-1.5546743,-1.1707914
3.8785825,1.0359273
-0.4114372,3.5054476
3.6732032,2.4573185
-0.00026498767,0.074468434
0.8093407,-3.1007183
-0.55196613,-2.3107398
2.2732232,1.1109442
2.7080815,-0.50711334
0.9540921,-0.65066636
-0.72637373,-1.6481903
3.8405175,4.4142222
-0.9851197,-3.0023944
-0.054557938,-1.1817654
-1.9680775,0.28752628
1.8552953,3.8909078
0.5318102,1.4677033
-0.41837758,-1.676703
-4.033539,2.6197562
-1.9752394,-1.8628389
2.080701,2.163691
1.3739715,0.26517197
1.3962373,-0.77355456
1.9268792,0.64495873
0.57987756,1.7537928
3.3039482,4.6067348
2.049374,2.082973
0.19407383,-2.2760675
2.1108222,2.1803453
-0.018581295,-0.99777544
0.57533747,1.4380428
0.5223154,1.6803257
3.2911623,0.28237516
-1.5680562,0.8147978
0.50743973,1.7047954
-2.307751,1.0432671
-2.1362746,-1.5796826
-1.2756829,1.891056
-1.9809347,0.44275174
0.059422072,-1.7390525
3.5029473,4.8876486
-4.38532,-4.179741
-0.12951137,0.20780027
1.4934044,2.0389118
1.6987582,0.57520354
-1.3504457,0.36140656
1.3653975,0.26814383
-0.34058535,3.6424017
-1.858547,0.48614565
-2.6792655,0.059717182
1.609975,0.48868746
0.64935535,-0.84970796
0.6253372,-1.9756992
-1.4761207,-3.4305127
1.7497486,-5.098925
3.5216615,-2.3284009
3.1529274,-1.9458166
1.9923067,0.3448483
2.2494717,3.8736906
-1.6414161,-0.24910216
1.7096468,-0.28494686
-0.2003148,0.4709548
-1.6572561,1.769438
-2.1784015,0.2639576
0.047644228,-2.4200053
3.0727394,3.9476523
4.487863,3.9750097
1.5316695,3.4925988
-2.0014923,-0.3098009
4.0173206,-1.7975956
1.1135182,-4.729569
4.1164427,4.3871512
3.826192,0.92835385
2.0227165,-3.9114332
-4.817997,-3.578633
3.740042,-1.8138562
-0.843456,1.5398532
-1.1278987,-1.7348101
-1.4736892,-1.042842
-0.5567701,-1.1270944
1.455564,-0.4569564
-1.3023187,0.15996403
1.2432948,0.4534919
3.3278656,3.7938526
3.4604971,-1.2596166
3.790622,-1.0377263
-1.3747048,-0.14416379
1.9143723,-0.79248327
-3.9859345,-4.093453
-0.5983366,3.615577
2.3701487,-0.96010464
-1.8420422,0.5758442
0.094931565,-0.041029084
-3.716265,2.2526827
0.0392484,0.15509789
-1.8032968,0.63857764
-3.1881762,-4.4255867
-3.5274258,-3.9649284
-1.2351388,-0.9776414
-2.5317626,0.3816138
-3.1306546,-2.8408945
-0.9231797,2.174232
-1.8576006,1.5180889
-0.5516083,-0.950352
-6.655345,-5.425015
3.3491273,3.9414365
0.87919027,-4.610889
-0.45137897,-1.5957114
1.7199416,2.439426
0.1368693,0.31152147
1.7301213,2.1595995
-0.102541596,-2.5403888
-1.6442857,-1.1819171
-0.53256434,0.2712665
-3.5751636,-2.5912597
3.8198075,0.8791375
0.80226487,-0.78287846
1.6139082,0.77476555
1.4663979,-0.038556606
1.5052598,0.7519723
-4.7235174,-3.6425505
-1.33169,0.044559013
0.14300616,0.20122945
-1.4892671,1.4628376
1.3555403,-1.3618298
-4.120191,2.0044765
1.2937999,0.55398464
0.6038903,-1.094591
-0.08993587,2.7504005
-1.4400104,1.4013364
1.212134,0.7738884
-1.3421279,0.4429046
0.29320446,3.2059152
-0.98812425,2.2108226
3.069,1.7234308
-1.5256937,-1.0609826
1.4601247,2.2671762
3.7698677,4.0779943
0.31924188,2.7997074
-1.3910261,-1.1787351
4.3216333,4.210703
-2.57366,2.2203846
-1.3264222,1.5921994
1.5529386,0.35187486
0.066407114,-1.5792581
-3.932122,1.7731632
-0.4485689,-1.308083
-1.1586927,1.9499022
-2.400386,-3.2016075
0.14024274,-1.2654284
1.7175133,3.590743
-0.21922201,3.5381384
0.8955744,-1.211124
0.96635,-1.334121
0.9869046,-1.9599501
1.17354,-0.39548597
1.7236316,1.9323014
-1.2922877,-0.09628267
1.314309,0.41069195
1.2855644,-1.709974
-1.1087307,3.4959762
-0.3531497,3.5951397
0.38613626,-2.0606716
1.0114925,0.87467945
0.23491088,1.6878183
-0.6911537,1.9748974
0.4640241,-1.2872381
0.5640218,-1.2158903
0.290706,1.5982962
1.5129014,0.5866582
-4.132876,-4.3393416
-1.5803951,0.61121863
-1.3982416,-0.10417107
-3.742813,-1.3770847
-0.12976703,-1.1351352
-3.736886,-3.7506511
0.33113068,-0.9774715
-3.392735,-3.139147
-2.285549,0.9112096
-1.4882581,0.39259177
1.2739224,-0.8912974
-1.6414503,0.4395562
1.0020853,-1.0915067
1.7281313,-1.1158192
0.5260089,2.8949187
1.8976243,3.4419167
1.2541349,-0.3193643
-0.6799996,-1.2884175
-0.196629,-2.7329404
-2.9046907,-1.9813735
2.2229662,3.789819
-0.9699975,-1.6040251
1.6725602,0.5297045
-3.1625316,-2.6976576
-3.1014879,-2.9690983
1.1625403,0.112343416
3.380126,0.061033715
2.8184383,0.13523366
0.91708106,-4.0748367
-3.201208,-1.8764445
1.1291797,0.46001855
0.68052095,-1.7856435
-0.66901004,3.729226
3.5752764,-2.0635095
-3.7446074,-2.370228
3.6001968,0.75084376
3.9389956,4.3005505
-1.8550259,-0.058540393
1.5603653,2.2512598
3.113705,3.949119
-3.817093,-1.6557492
0.31025913,0.21299279
3.0475807,-1.4843183
-2.168648,-2.178913
-1.2093589,0.8757216
-1.1102929,-1.7062305
0.29683298,-1.4108436
-2.8130567,-1.7772121
3.4355597,-0.031278037
0.17813364,0.009547352
1.7038945,2.3131733
2.6342692,3.448301
-1.2387887,-1.293942
3.2725718,2.1377065
3.2528486,4.797091
1.4143498,-0.4629955
-1.7189963,1.2197512
2.3405492,-0.8363708
4.3926754,4.634228
-1.0125985,1.5606875
-0.23496178,-2.6164422
1.1853456,0.38298598
-1.2787318,2.5109046
-4.134109,2.3770475
0.3126832,0.011519723
3.9282258,1.1501472
1.523237,-0.9277681
-1.9222124,-2.0761855
1.5106202,0.760355
0.40983215,0.23277557
-2.9328592,1.0697426
-2.2110178,1.4261348
-1.9276335,1.4133317
3.7626612,0.81852776
0.22617885,-1.603555
0.76113206,-0.670527
1.89418,-2.6515765
1.1541225,-1.5899259
-1.6531904,0.13396725
0.99298155,-1.6579437
-0.45665085,3.863013
3.3721917,3.795394
-3.5421562,-2.6516607
-1.669855,1.7502052
0.65725535,-1.8433853
-0.21531811,-0.7470387
-1.1148933,-2.0313296
-0.43263304,3.814187
4.0440373,3.3634534
-1.2472281,-1.2430439
0.51402223,-1.8370898
-1.6543972,0.03353774
3.6256135,2.218496
0.24458718,0.34966388
0.10389044,0.46333733
-1.8189193,1.727808
-1.5681188,0.083630815
-0.041958727,-1.0329634
-3.3175347,-1.5275999
-0.4613131,-1.335616
0.83507496,-2.293774
0.25466627,-0.6873837
-3.7610753,-1.1911955
0.27940202,1.4204957
0.6368886,-1.0663613
-1.5215318,-1.3912512
-4.177021,2.58534
-0.63054055,3.280853
-2.0052712,-1.3245516
3.9338014,-1.0687554
1.2209775,-1.3565494
1.4282889,-0.68458945
0.14093922,-0.48372492
-1.8773695,0.5694776
-0.821629,1.3561245
0.93373996,-1.493576
-0.1939564,3.4665778
3.7742622,3.7240343
0.21289438,-2.2144706
-1.7645829,-0.14033459
-0.3440962,-0.6786229
0.13808864,0.06017999
-2.813693,-2.691668
0.25795513,1.4571965
-3.190289,-4.538907
-1.2823957,-1.9314133
1.7004281,0.6495831
-0.7468528,-2.4664092
1.7889214,0.48942012
-3.6387887,-2.145539
-1.4651461,-4.1795325
-1.0025392,-2.2334495
1.5288492,0.93673
1.7425525,0.8412877
-1.9286793,-0.5910816
3.326302,0.017705413
3.566611,2.315612
-0.1253002,0.5889485
-0.9813314,1.7091045
-1.5377548,0.5377314
3.245583,-1.9012073
-1.0470552,1.5089624
3.6614335,0.41651037
0.16706912,0.020040844
-0.81018454,3.4121218
-1.6424657,-1.2702638
-0.9299056,1.7407607
1.1061469,-0.8506946
-0.017613055,0.42364588
0.6208047,1.7280731
-1.4460915,-1.0941015
-3.7298806,-2.59044
-2.093144,0.9028499
-3.983678,-4.3061767
-0.43811393,3.8809676
-1.2192321,-1.602516
-2.6311553,-0.77744126
-1.9437785,-1.2501085
-0.31772178,-1.9867945
-2.5781846,1.95997
-1.3783668,0.44772026
3.4819336,3.896105
-0.20761985,-2.6147008
-2.6878457,-2.7397182
1.8279595,1.825118
-3.9139788,2.7574215
0.08357888,0.2485969
1.7370661,0.8518184
3.4513233,4.188661
0.68856144,1.7306023
-3.0165272,-3.9105654
-2.8405578,-2.5975807
-2.094959,-1.5606827
-0.74982375,-2.055898
0.7197172,-1.6444612
-0.58031446,-0.09832657
0.5313443,-1.2898741
1.753828,2.0111694
0.9189358,-1.4826444
1.3572773,0.86567634
-1.6566133,-1.3523405
-0.6526905,-0.9067106
0.5741101,1.7653397
1.2234033,-3.9359577
-3.9625726,2.6539023
-1.786573,-1.6743238
0.7972933,-1.6232542
-3.1689727,-2.8945258
0.36988014,-1.798433
-3.4739194,-1.8046521
-6.364009,-5.3159885
-1.4670357,-1.1257306
-0.46534765,4.0149145
-0.970153,-1.9995756
-1.5742416,0.8779495
0.42554706,-2.2911937
-3.7574227,-4.858786
0.7384806,-1.7405366
-0.0034689396,-0.8079322
2.0133727,-3.394438
1.4406294,-0.17701384
3.5751374,2.12618
1.3485067,0.88932633
3.3733776,0.09081801
-2.119944,-1.2669857
-1.1694273,-0.6276208
3.1035073,4.315988
-0.8235568,1.9379042
-1.277096,0.14917016
2.042107,0.6804476
0.73583055,-1.227433
-1.6195556,-0.067819685
-1.6003615,1.3361427
0.7330498,3.050943
3.8477972,3.976708
-3.798353,-4.563086
0.30197385,-0.82931995
-2.5296333,0.27386492
1.6176063,0.45506498
-0.24276337,-0.99580973
-0.588572,1.57621
1.2915792,0.8712508
-4.049236,-4.5378256
2.1177773,2.2135167
-1.2737442,-1.884388
-1.2476103,1.2191877
-1.6604012,0.023151528
-2.7491155,-0.5603863
1.5103484,0.59100133
0.019831663,2.785608
0.2010876,0.25263146
-0.6266734,-2.042367
1.8053734,0.82893634
-0.108933784,3.9311044
-1.6949521,-0.124874234
-3.598697,-0.7397807
2.0061896,-0.7849845
-0.22877541,-2.867038
-1.6940322,1.267837
1.4862471,0.49333513
-2.2107358,1.340824
-0.8898344,-0.9798121
1.3670157,0.40843913
1.8665079,0.8536703
-1.8181669,-0.21816109
0.13313764,0.29070184
2.6522768,-0.43515882
-1.9177959,1.48309
-1.1576993,2.283165
-1.8274331,0.58326083
0.14371862,0.3618217
3.7238185,0.9144458
3.5726528,-1.7795701
0.7008964,2.925554
-1.9438059,-0.39938974
-3.2649548,-1.6040574
-1.2285292,0.36558923
0.07346569,0.12134892
0.44091406,0.2567272
0.4835533,1.5876715
3.4019473,-0.21279572
1.0006075,-0.10583247
-0.13705589,-0.7473135
0.72874296,-1.7078615
0.85942626,-0.77222615
2.954043,0.2529308
3.9443786,1.2158782
