embed_1,embed_2
-1.2671652,-1.0340459
-0.6161823,-0.018535566
0.13282883,-1.7992717
-1.5212982,-0.9009069
0.61221,-0.8160929
0.4470444,1.6393291
1.4784361,0.29211202
-0.37476608,-0.652399
-0.48776257,1.1200318
-0.47008616,0.5149792
-0.89013374,1.9513346
-0.15665072,-0.45111936
-1.8021882,0.7382359
-0.2367033,-0.24150294
1.1434869,0.5965285
-1.8375238,1.5432078
0.80159247,-0.53841466
-0.16685145,-0.31506327
0.8284997,1.9660999
-0.93851274,0.22370113
0.20695052,-0.8636566
0.08964146,-1.2354343
-0.09461731,1.1495539
1.1432579,0.9227754
-0.26685956,-0.36239067
-2.1644619,0.03041465
0.4581242,0.16426808
0.6323352,0.79072464
1.5771438,-0.18557088
0.27553326,-0.26000348
1.1833705,0.28216797
1.1114862,0.65137374
0.81607544,1.8096119
0.5938156,0.77413535
0.6481828,-0.657985
-0.38905773,-0.1612593
0.41930836,-0.814471
-0.6749527,-0.020694071
1.2167276,0.73441744
-0.58687454,1.0063376
0.3654589,0.082503475
0.95245934,0.72875386
0.03548047,0.36000875
-0.70736176,-0.0658932
0.4723942,0.043244924
6.709099e-5,-0.96705437
0.48796043,-0.52336305
0.68730235,1.9595923
-1.2379444,-1.2375082
-0.02028237,-0.46128556
0.40942645,0.8156661
1.2458235,0.21469586
0.08667158,-1.7156171
1.3120956,-0.0033067446
-0.34286854,0.5723408
0.14437962,-1.1148378
-0.8177909,-0.9587907
1.2999942,-0.04935863
0.83904696,-0.5085733
1.110028,-1.2156962
-1.2709562,2.4234362
-1.376246,0.48814017
-1.3214471,0.6078019
-1.3669646,0.7372341
0.7653387,-0.00085508934
-0.053977884,1.2555691
-0.23238172,-1.2226977
0.7916531,-0.16807462
-0.1759461,-0.18158187
0.80332965,0.37779272
-0.30764014,-1.3090361
0.42676103,-0.7220703
0.57417345,1.7007306
0.07098478,1.7879276
-0.06863986,1.3637393
-0.24914928,-1.3481225
-0.9207117,0.8691497
-1.2382386,-0.020212615
0.41952685,1.9678925
-0.5468851,1.2406926
-1.2862923,0.3692694
-1.5105491,-1.1042029
-0.9617022,0.65633976
0.72044444,0.32311594
-0.2455245,-0.5152158
-0.087063335,-0.6414132
0.25377643,-0.61285347
0.28790832,-0.42167023
-0.099027626,-1.5216295
1.8192018,-0.21843371
0.24729806,1.5863295
-0.79246575,0.7529864
-0.84373355,0.7846028
-0.020193418,-1.1797491
0.60264283,-0.1947711
-1.1160243,-1.5141482
-0.31767014,0.8499632
0.3029058,-0.1877054
0.34030783,-1.5957874
-0.13101533,-0.18449683
-2.1831212,-0.086535424
-0.23488368,-0.49631345
0.23712733,-1.3096397
-0.88234633,-1.4055578
-0.84175825,-1.4864724
-0.010263512,-0.32854062
-0.4219774,-1.1315587
-0.28391093,0.35302922
0.5338789,0.24024943
-0.24822383,0.27179524
0.1359201,-0.6629567
-1.3115774,-0.33360812
0.32491162,1.4994196
-1.2038373,0.07083412
0.16346306,-0.5284006
0.5352434,0.8047806
-0.14682682,-0.19061252
0.6438273,0.95021045
-0.40626404,-0.4108002
-0.4923882,-0.4362195
0.052751075,-0.54119164
-0.38753343,0.3585875
-0.58117336,1.3053063
0.5616661,-0.48218447
1.2335227,0.27517337
0.24652515,0.1514819
1.3578628,-0.130663
-1.1825368,-1.3191227
-0.09578504,-1.1766112
0.043851893,-0.33791402
0.05536899,0.2457651
0.82958853,-0.86185557
-2.097842,0.06289888
1.3707048,-0.17756045
0.6609892,-0.7050593
-0.5433814,0.20363113
0.22181481,0.30760345
1.4976603,-0.15417993
-0.12236209,-1.6944098
-0.502388,0.51236117
0.69252026,0.45211178
-1.0330697,0.19319226
-0.08601991,-0.34194234
0.63922685,0.99018127
0.59538525,1.6234276
-0.29291978,0.21979935
-0.17574057,-0.35451654
0.3813863,1.89407
-1.5526886,0.9669615
0.57366455,0.28552762
1.3888938,0.15611632
0.15853196,-0.96896183
-1.6846522,0.048119906
-0.044355474,-0.8982864
0.80420667,-0.1447607
-0.76460695,0.19048291
0.42953327,-1.0169203
0.038307913,1.3520992
-0.37986973,0.5497006
0.54571915,-0.9066859
0.97712046,-1.0591065
1.0962609,-1.2501132
0.62317055,-0.4230542
0.58689266,1.069185
-0.24578017,-1.39972
1.5443496,-0.5755481
1.2854273,-0.79950327
-0.4228245,0.66371596
-0.3982591,0.5648392
0.28958097,-1.0204996
1.9647324,0.10562111
-0.5157833,-0.24705753
0.43574288,0.20809878
0.7433448,-0.7468698
0.7689382,-0.7854588
1.0881952,0.75056094
1.4041369,0.17903394
-1.2841558,-1.2439967
0.18590358,-1.4089662
-0.30212453,-1.48335
-1.4179034,-0.42594305
0.24595232,-0.73173904
-1.1581985,-1.1818426
0.64454216,-0.6629766
-0.4571099,0.34029642
-0.470498,-1.0958107
-0.02748575,-1.3097512
0.76442045,-0.37491843
-0.09219325,-1.3808329
0.91849697,-0.41414422
0.2157464,-0.59120494
-0.5318203,0.44798428
0.040110886,1.4732231
0.93464345,-0.037256017
0.11372121,-0.6891787
-0.632548,-0.2804548
-0.8167993,0.28710446
0.110384755,1.2494066
-0.044731423,-0.4451371
1.0836246,0.0066011455
-0.3594429,0.54344004
-0.6348244,0.19953768
1.1598481,-0.47354847
-0.7377974,0.7749617
-0.21862042,-0.15378743
-1.4535004,-0.012254264
-1.0059004,0.045712434
1.7295928,-0.4101278
0.7669897,-0.72302854
-0.05264021,1.0392653
-1.3316079,0.5745085
-0.7483292,0.34892157
-0.6884368,0.95765454
0.54363865,1.9459809
-0.4528842,-1.2437794
0.65916646,1.0804774
0.39653772,1.4317005
-0.9493205,-0.37497622
-0.23664346,-0.43955234
-1.217045,0.65006626
0.45325705,0.9665147
0.38161582,-1.6676345
-0.33155304,-0.44263795
0.43763614,-0.6379966
-0.79320514,0.12812957
-0.8359912,1.2530223
-0.158005,-0.19526853
0.4605203,1.2082734
0.2582433,1.3477741
-0.3111925,-0.37652242
-0.70251095,1.7376021
0.78452396,1.6627165
0.41697675,-0.41207933
-0.15906683,-1.1352333
-1.2545831,1.2226255
0.57785994,1.9016206
0.44087926,0.013894496
-0.5450968,-0.21967664
1.3196874,0.10673502
0.6383533,0.42147434
-1.7296264,-0.064626835
0.20348454,-0.29127812
-0.6613688,1.1495303
0.6605981,-0.47555435
-0.44967562,-0.2207299
1.2189391,-0.112315565
0.08216001,0.01743181
0.35152584,0.36482826
0.2553473,0.39870304
0.26225272,0.4420112
-0.7415268,1.1379068
0.56235987,-0.96464396
0.5664338,-0.25021297
-0.39852372,-0.40423846
0.8470826,-0.5041845
-0.37256002,-1.2779815
0.8644989,-0.6069964
-0.0766787,0.82252866
0.04383924,1.4384604
-0.7082193,0.60570186
0.68599236,-0.09737319
0.8756164,-1.0221835
0.16636804,-0.5145153
-0.3332354,-0.15517722
-0.36381853,0.609902
0.095512085,1.9194423
-0.2525518,-0.500018
0.69559973,-1.2543178
-0.357915,-1.5279037
-0.7865299,2.0561712
0.19196297,-0.463917
-0.10156844,-0.41563293
0.9864634,0.2367914
-0.37849668,-1.1313986
0.11189829,-0.86655456
-0.9596002,0.02190659
0.09656791,-0.8486409
1.159965,-0.8596183
0.34725687,-0.48813087
-0.92525923,0.099210754
1.1859396,1.0375092
0.5687236,-0.68123275
-0.3740474,-0.45264927
-2.238673,-0.03516793
-0.48210916,0.5289213
-0.46459153,-0.24094379
-1.0802581,1.0265714
1.1203591,-0.7901681
0.92496943,-0.40276742
0.16395016,-0.5191593
0.16529179,-1.3381634
0.37969148,0.29706496
1.0244076,-0.93348664
-0.18975054,0.68211055
0.40032554,1.7898054
0.23338142,-0.7117335
-0.10787331,-1.4098262
0.5142647,-0.6100104
-0.049858652,-0.18291056
-0.3535348,0.37056708
1.1993377,0.73440623
-0.75242126,-1.6060162
-0.39348826,-0.49448454
1.3458604,0.09535796
-0.024575364,-0.43886742
1.2456373,-0.0653335
-0.5777279,0.1267603
-0.9178319,0.31899333
-0.17945153,-0.42556274
1.438601,0.03903024
1.3600526,0.24631906
-0.43497568,0.30973735
-0.64807844,1.0738761
-0.6980114,1.6755409
1.7630705,0.59817547
0.7562083,0.17397107
0.27440822,-1.6446599
-1.3673624,0.7484193
0.78265804,0.028617093
-0.8553463,1.278161
0.098703004,-0.12287184
-0.2414495,0.46579286
-0.45144323,-0.6082494
0.7016903,0.4821727
0.72796863,-0.6662348
0.09340119,-0.24789762
1.2668353,0.9395662
-0.3461312,-0.44168964
-0.5351912,0.16552852
0.31437853,0.145953
-1.0586298,-1.3717357
-0.2955004,0.98304784
-0.03488409,-0.26643747
-0.7611242,-0.7748601
-0.46878704,-0.524296
0.12647603,-0.71040803
-1.9547206,0.96887213
-0.40956983,-1.3497502
0.36984962,1.8223711
-0.8786192,1.1944143
-0.26568046,0.21516427
0.38098443,0.7221608
-1.8946654,0.23542793
-0.16564137,-0.2580308
1.3117765,0.3135804
0.48098597,1.6474805
1.061152,1.0198429
-0.72841686,-0.81890696
-0.43441528,0.42307463
1.0969188,0.98206496
-0.45692018,-0.39564973
1.2459373,-1.3411431
0.32044703,0.18464442
0.642004,-0.63683283
0.31496271,0.72702456
0.7822737,-0.74518615
1.4710829,-0.17155212
-0.7028212,-0.81938297
0.30418772,-0.98521876
1.01784,0.9910632
-1.41893,0.051535234
-1.9287494,0.18962689
0.42088938,0.21055622
0.88216573,-1.2783109
-0.364226,0.44730636
0.6882058,-0.9457547
-0.91148716,0.18648003
-1.2575336,-0.4887621
-0.3897334,-0.6551042
-0.2955382,0.60268766
-0.31069666,-0.43369892
0.2751585,0.3299121
-0.9137525,-0.65732497
-0.96940625,-1.3125442
0.71611404,-0.9778944
0.45769346,-0.5770981
-1.3068947,0.33410656
0.45746198,-0.44856516
-0.7824204,1.8043761
1.4639212,0.08020051
-0.8264011,1.2374287
-0.45662996,-0.35317853
-0.2832112,-1.1361043
0.59536505,1.3805695
0.64546055,0.13430761
-0.06061234,-1.4229158
1.3116544,0.26187888
0.8480694,-0.61886185
-0.15324898,-1.3658593
0.68790203,-0.11236778
-0.4344707,0.2933599
0.5548669,1.6748868
-0.9899191,0.31736505
0.4202219,-0.58718306
-0.65667117,-0.95190674
1.1792192,-0.2648772
0.4328079,-0.8099358
0.6938005,-0.00062680454
1.3862756,0.15167843
-1.0399054,-1.5113388
0.53109634,0.90099233
-0.5474562,-0.44352657
0.4748341,-0.21454944
-0.42633104,-1.3382099
-0.92388856,-0.70547235
1.4173859,-0.095999785
-0.3806226,0.59690964
0.02142312,-0.34929723
0.34372094,-0.22819318
1.1271759,-0.03559895
-0.21988831,0.8724767
-0.4458838,-1.1557004
-1.2949157,-0.90954316
0.4594694,-0.22459918
-0.2065015,-0.45260522
0.17560779,0.122760765
1.3014768,-0.0074152774
0.14485207,0.24964641
0.686395,0.13542734
1.4316041,-0.11394959
1.2113143,0.04993985
-0.46374854,-1.2008549
-0.18197347,-0.43216613
0.15093581,-0.2153524
0.3161721,0.18313885
0.75230914,0.5449681
0.52340156,-1.5675445
-0.19400513,-0.4219828
-0.46560955,1.2681156
-1.2688988,0.8535051
-0.49061415,0.46177053
-0.59812087,-1.0233724
-0.8477757,0.18279447
0.27520117,-1.5641603
-0.107351206,-0.2606025
-0.09963553,-0.39504012
1.1345621,0.5092629
-0.84241676,1.028996
0.37942123,-0.24927422
0.38231498,-0.84470105
1.1486753,-0.80706257
0.8012572,-0.44728038
0.54485184,-0.093418956
-0.4068784,1.2636932
-1.0942782,0.40070298
0.83509684,-0.9520357
-0.9033908,-0.18793188
1.602056,-0.09987347
0.32532555,0.122930154
1.2776434,0.8566155
0.9884742,0.58499634
-0.32648513,0.05845132
1.3964101,0.054101843
0.17630002,0.46936402
-0.5649844,-1.1116396
0.62977797,1.069354
1.6895076,0.048385743
-0.97951895,0.5053869
1.4355426,-0.1707868
0.39777303,2.254324
-0.13285986,-0.4994554
0.021565469,-0.2539368
0.80708873,0.24918559
0.267867,0.30225512
0.3371009,0.33854648
-0.088742316,-1.139506
0.124682434,1.7202054
1.2723073,0.93008006
-0.9354085,-0.55634403
-0.41431364,-0.3971233
